island_id,bombus_species,source_region_id,candidate_basis,review_status
gshhg_2.3.7_h_3f48d601bf60ade348ae,Bombus ardens,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_3f48d601bf60ade348ae,Bombus diversus,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_3f48d601bf60ade348ae,Bombus hypocrita,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_79143661e5762bf8fa25,Bombus ardens,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_79143661e5762bf8fa25,Bombus diversus,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_79143661e5762bf8fa25,Bombus hypocrita,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_80bd057071c9043cebcc,Bombus ardens,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_80bd057071c9043cebcc,Bombus diversus,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_80bd057071c9043cebcc,Bombus hypocrita,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_ab48ddfcdcd4ccc62870,Bombus ardens,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_ab48ddfcdcd4ccc62870,Bombus diversus,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_ab48ddfcdcd4ccc62870,Bombus hypocrita,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_cc2a3ac665156bf28969,Bombus ardens,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_cc2a3ac665156bf28969,Bombus diversus,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_cc2a3ac665156bf28969,Bombus hypocrita,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_78b9099b78b447bab1fd,Bombus ardens,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_78b9099b78b447bab1fd,Bombus diversus,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
gshhg_2.3.7_h_78b9099b78b447bab1fd,Bombus hypocrita,temperate_japan_main_islands,Named example in accepted source-region applicability rationale,exploratory_not_source_pool_complete
