source_excerpt_id,source_lineage,source_url,section,source_excerpt
higashiyama2006:sc,doi:10.1104/pp.106.083832,https://pmc.ncbi.nlm.nih.gov/articles/PMC1586061/,Materials and Methods / Plant Materials and Growth Conditions,None of these plants exhibited self incompatibility.
higashiyama2006:automatic_self_pollination,doi:10.1104/pp.106.083832,https://pmc.ncbi.nlm.nih.gov/articles/PMC1586061/,Materials and Methods / Plant Materials and Growth Conditions,these plants were automatically self pollinating
