stratum,context,colour,support_tier,threshold,model,status,n_unique_islands,n_clusters,median_trials,distance_estimate,distance_se,distance_p,selfing_core_estimate,selfing_core_se,selfing_core_p,distance_q
all_observed,northern_midlatitude,white,confirmatory,50,unconditional,fit,2166,85,129.0,-0.012647657636865539,0.020255324974315293,0.532357381491836,,,,0.532357381491836
all_observed,northern_midlatitude,white,confirmatory,50,conditional_selfing,fit,1986,85,158.0,-0.011829290915320884,0.019899667504264053,0.5522134071358347,-0.037724845424328114,0.02106004381650769,0.07324525040328092,0.5522134071358347
all_observed,northern_midlatitude,white,pilot,30,unconditional,fit,2166,85,129.0,-0.012647657636865539,0.020255324974315293,0.532357381491836,,,,0.532357381491836
all_observed,northern_midlatitude,white,pilot,30,conditional_selfing,fit,1986,85,158.0,-0.011829290915320884,0.019899667504264053,0.5522134071358347,-0.037724845424328114,0.02106004381650769,0.07324525040328092,0.5522134071358347
all_observed,northern_midlatitude,red_pink,confirmatory,50,unconditional,fit,2166,85,129.0,-0.033766747591051,0.011910464292966744,0.004581868506693054,,,,0.011454671266732636
all_observed,northern_midlatitude,red_pink,confirmatory,50,conditional_selfing,fit,1986,85,158.0,-0.033158608387042515,0.01186046627623352,0.005178335712862119,-0.014678697001161367,0.024250968422610777,0.5449910275481522,0.012945839282155298
all_observed,northern_midlatitude,red_pink,pilot,30,unconditional,fit,2166,85,129.0,-0.033766747591051,0.011910464292966744,0.004581868506693054,,,,0.011454671266732636
all_observed,northern_midlatitude,red_pink,pilot,30,conditional_selfing,fit,1986,85,158.0,-0.033158608387042515,0.01186046627623352,0.005178335712862119,-0.014678697001161367,0.024250968422610777,0.5449910275481522,0.012945839282155298
all_observed,northern_midlatitude,yellow_orange,confirmatory,50,unconditional,fit,2166,85,129.0,-0.015664731982780178,0.022305370912081426,0.4825013180498906,,,,0.532357381491836
all_observed,northern_midlatitude,yellow_orange,confirmatory,50,conditional_selfing,fit,1986,85,158.0,-0.013339658036678255,0.021220806457665182,0.5296029649994884,-0.11384076723501527,0.03568985265412149,0.0014240889805120303,0.5522134071358347
all_observed,northern_midlatitude,yellow_orange,pilot,30,unconditional,fit,2166,85,129.0,-0.015664731982780178,0.022305370912081426,0.4825013180498906,,,,0.532357381491836
all_observed,northern_midlatitude,yellow_orange,pilot,30,conditional_selfing,fit,1986,85,158.0,-0.013339658036678255,0.021220806457665182,0.5296029649994884,-0.11384076723501527,0.03568985265412149,0.0014240889805120303,0.5522134071358347
all_observed,northern_midlatitude,blue_purple,confirmatory,50,unconditional,fit,2166,85,129.0,-0.008990594728522733,0.011901718012579806,0.45000715141850645,,,,0.532357381491836
all_observed,northern_midlatitude,blue_purple,confirmatory,50,conditional_selfing,fit,1986,85,158.0,-0.009243426162914112,0.011665521159061814,0.4281441090496532,0.015276758831932136,0.020211486927309022,0.4497419105671258,0.5522134071358347
all_observed,northern_midlatitude,blue_purple,pilot,30,unconditional,fit,2166,85,129.0,-0.008990594728522733,0.011901718012579806,0.45000715141850645,,,,0.532357381491836
all_observed,northern_midlatitude,blue_purple,pilot,30,conditional_selfing,fit,1986,85,158.0,-0.009243426162914112,0.011665521159061814,0.4281441090496532,0.015276758831932136,0.020211486927309022,0.4497419105671258,0.5522134071358347
all_observed,northern_midlatitude,green_brown_inconspicuous,confirmatory,50,unconditional,fit,2166,85,129.0,0.03131076952779782,0.00936933758927488,0.0008322686259935945,,,,0.004161343129967973
all_observed,northern_midlatitude,green_brown_inconspicuous,confirmatory,50,conditional_selfing,fit,1986,85,158.0,0.028909749627194496,0.009105580150749719,0.0014986300649081632,0.12257301975325574,0.033451326648722315,0.00024809348616212023,0.007493150324540816
all_observed,northern_midlatitude,green_brown_inconspicuous,pilot,30,unconditional,fit,2166,85,129.0,0.03131076952779782,0.00936933758927488,0.0008322686259935945,,,,0.004161343129967973
all_observed,northern_midlatitude,green_brown_inconspicuous,pilot,30,conditional_selfing,fit,1986,85,158.0,0.028909749627194496,0.009105580150749719,0.0014986300649081632,0.12257301975325574,0.033451326648722315,0.00024809348616212023,0.007493150324540816
all_observed,northern_high_latitude,white,confirmatory,50,unconditional,fit,407,63,22.0,0.04159438786873707,0.023549177880635236,0.07734927004841556,,,,0.2854685647520132
