stratum,context,combination,architecture_label,support_tier,threshold,model,status,n_unique_islands,n_clusters,median_trials,distance_estimate,distance_se,distance_p,selfing_core_estimate,selfing_core_se,selfing_core_p,distance_q
all_observed,northern_midlatitude,red_pink__butterfly_form,butterfly_associated_form,confirmatory,50,unconditional,fit,1981,84,59.0,-0.0317313813029837,0.019827216592305387,0.10951095002840697,,,,0.22008396942568909
all_observed,northern_midlatitude,red_pink__butterfly_form,butterfly_associated_form,confirmatory,50,conditional_selfing,fit,1920,84,62.0,-0.02998859082568872,0.01950450136949265,0.12416564638438318,-0.06122686697540375,0.05041936548369213,0.2246132634147655,0.24525006051199688
all_observed,northern_midlatitude,red_pink__butterfly_form,butterfly_associated_form,pilot,30,unconditional,fit,1981,84,59.0,-0.0317313813029837,0.019827216592305387,0.10951095002840697,,,,0.22008396942568909
all_observed,northern_midlatitude,red_pink__butterfly_form,butterfly_associated_form,pilot,30,conditional_selfing,fit,1920,84,62.0,-0.02998859082568872,0.01950450136949265,0.12416564638438318,-0.06122686697540375,0.05041936548369213,0.2246132634147655,0.24525006051199688
all_observed,northern_midlatitude,yellow_orange__butterfly_form,butterfly_associated_form,confirmatory,50,unconditional,fit,1981,84,59.0,-0.052846234731272757,0.04018123186722429,0.18844371047780017,,,,0.22008396942568909
all_observed,northern_midlatitude,yellow_orange__butterfly_form,butterfly_associated_form,confirmatory,50,conditional_selfing,fit,1920,84,62.0,-0.0483322449774225,0.03951451108506451,0.2212723704580174,-0.13960762450798858,0.07377920231531943,0.05845961270604357,0.25815109886768695
all_observed,northern_midlatitude,yellow_orange__butterfly_form,butterfly_associated_form,pilot,30,unconditional,fit,1981,84,59.0,-0.052846234731272757,0.04018123186722429,0.18844371047780017,,,,0.22008396942568909
all_observed,northern_midlatitude,yellow_orange__butterfly_form,butterfly_associated_form,pilot,30,conditional_selfing,fit,1920,84,62.0,-0.0483322449774225,0.03951451108506451,0.2212723704580174,-0.13960762450798858,0.07377920231531943,0.05845961270604357,0.25815109886768695
all_observed,northern_midlatitude,blue_purple__butterfly_form,butterfly_associated_form,confirmatory,50,unconditional,fit,1981,84,59.0,-0.02818215820910963,0.019812202376062234,0.15489139654224382,,,,0.22008396942568909
all_observed,northern_midlatitude,blue_purple__butterfly_form,butterfly_associated_form,confirmatory,50,conditional_selfing,fit,1920,84,62.0,-0.02776765180251528,0.01979757518146831,0.16074258938140187,-0.009150107157347653,0.048212301465727234,0.8494754077333427,0.24525006051199688
all_observed,northern_midlatitude,blue_purple__butterfly_form,butterfly_associated_form,pilot,30,unconditional,fit,1981,84,59.0,-0.02818215820910963,0.019812202376062234,0.15489139654224382,,,,0.22008396942568909
all_observed,northern_midlatitude,blue_purple__butterfly_form,butterfly_associated_form,pilot,30,conditional_selfing,fit,1920,84,62.0,-0.02776765180251528,0.01979757518146831,0.16074258938140187,-0.009150107157347653,0.048212301465727234,0.8494754077333427,0.24525006051199688
all_observed,northern_midlatitude,red_pink__bird_form,bird_associated_form,confirmatory,50,unconditional,fit,1981,84,59.0,-0.008946437469266766,0.024999214808403055,0.7204415464256502,,,,0.7204415464256501
all_observed,northern_midlatitude,red_pink__bird_form,bird_associated_form,confirmatory,50,conditional_selfing,fit,1920,84,62.0,-0.007610691269665959,0.024664886912041092,0.75765336016797,-0.05023298221305028,0.054312049069264755,0.3550201485190838,0.7576533601679701
all_observed,northern_midlatitude,red_pink__bird_form,bird_associated_form,pilot,30,unconditional,fit,1981,84,59.0,-0.008946437469266766,0.024999214808403055,0.7204415464256502,,,,0.7204415464256501
all_observed,northern_midlatitude,red_pink__bird_form,bird_associated_form,pilot,30,conditional_selfing,fit,1920,84,62.0,-0.007610691269665959,0.024664886912041092,0.75765336016797,-0.05023298221305028,0.054312049069264755,0.3550201485190838,0.7576533601679701
all_observed,northern_midlatitude,yellow_orange__bird_form,bird_associated_form,confirmatory,50,unconditional,fit,1981,84,59.0,-0.10394820414658101,0.06268245702631606,0.09725086025963707,,,,0.22008396942568909
all_observed,northern_midlatitude,yellow_orange__bird_form,bird_associated_form,confirmatory,50,conditional_selfing,fit,1920,84,62.0,-0.09857140973504785,0.06150357444622027,0.10900222888104318,-0.17293087185264389,0.07922446486285648,0.02905081141908123,0.24525006051199688
all_observed,northern_midlatitude,yellow_orange__bird_form,bird_associated_form,pilot,30,unconditional,fit,1981,84,59.0,-0.10394820414658101,0.06268245702631606,0.09725086025963707,,,,0.22008396942568909
all_observed,northern_midlatitude,yellow_orange__bird_form,bird_associated_form,pilot,30,conditional_selfing,fit,1920,84,62.0,-0.09857140973504785,0.06150357444622027,0.10900222888104318,-0.17293087185264389,0.07922446486285648,0.02905081141908123,0.24525006051199688
all_observed,northern_midlatitude,blue_purple__large_bee_form,large_bee_associated_form,confirmatory,50,unconditional,fit,1981,84,59.0,-0.02779799136149369,0.02114554275330426,0.18864340236487637,,,,0.22008396942568909
all_observed,northern_midlatitude,blue_purple__large_bee_form,large_bee_associated_form,confirmatory,50,conditional_selfing,fit,1920,84,62.0,-0.028126525481448228,0.020746095002281136,0.17517861465142637,0.025351688314135146,0.03736348835445111,0.4974451992152604,0.24525006051199688
all_observed,northern_midlatitude,blue_purple__large_bee_form,large_bee_associated_form,pilot,30,unconditional,fit,1981,84,59.0,-0.02779799136149369,0.02114554275330426,0.18864340236487637,,,,0.22008396942568909
all_observed,northern_midlatitude,blue_purple__large_bee_form,large_bee_associated_form,pilot,30,conditional_selfing,fit,1920,84,62.0,-0.028126525481448228,0.020746095002281136,0.17517861465142637,0.025351688314135146,0.03736348835445111,0.4974451992152604,0.24525006051199688
all_observed,northern_midlatitude,yellow_orange__large_bee_form,large_bee_associated_form,confirmatory,50,unconditional,fit,1981,84,59.0,-0.08419249733905348,0.01627129310379563,2.2877111384682984e-07,,,,1.6013977969278088e-06
all_observed,northern_midlatitude,yellow_orange__large_bee_form,large_bee_associated_form,confirmatory,50,conditional_selfing,fit,1920,84,62.0,-0.08199943255040965,0.01594876195214407,2.726562027514756e-07,-0.07658857456727342,0.03535312412891433,0.030281570272138247,1.9085934192603294e-06
all_observed,northern_midlatitude,yellow_orange__large_bee_form,large_bee_associated_form,pilot,30,unconditional,fit,1981,84,59.0,-0.08419249733905348,0.01627129310379563,2.2877111384682984e-07,,,,1.6013977969278088e-06
all_observed,northern_midlatitude,yellow_orange__large_bee_form,large_bee_associated_form,pilot,30,conditional_selfing,fit,1920,84,62.0,-0.08199943255040965,0.01594876195214407,2.726562027514756e-07,-0.07658857456727342,0.03535312412891433,0.030281570272138247,1.9085934192603294e-06
all_observed,northern_high_latitude,red_pink__butterfly_form,butterfly_associated_form,confirmatory,50,unconditional,fit,345,61,10.0,-0.21780073123443877,0.08112397661766016,0.007257568512106524,,,,0.016934326528248556
all_observed,northern_high_latitude,red_pink__butterfly_form,butterfly_associated_form,confirmatory,50,conditional_selfing,fit,322,59,14.0,-0.20585448479601087,0.07833168624353463,0.00858923407235467,-0.13702842253494563,0.11847666889393749,0.2474416622306996,0.020041546168827563
all_observed,northern_high_latitude,red_pink__butterfly_form,butterfly_associated_form,pilot,30,unconditional,fit,345,61,10.0,-0.21780073123443877,0.08112397661766016,0.007257568512106524,,,,0.016934326528248556
all_observed,northern_high_latitude,red_pink__butterfly_form,butterfly_associated_form,pilot,30,conditional_selfing,fit,322,59,14.0,-0.20585448479601087,0.07833168624353463,0.00858923407235467,-0.13702842253494563,0.11847666889393749,0.2474416622306996,0.020041546168827563
all_observed,northern_high_latitude,yellow_orange__butterfly_form,butterfly_associated_form,confirmatory,50,unconditional,fit,345,61,10.0,-0.30368266215606643,0.09582432011939127,0.0015287988167795162,,,,0.0053507958587283065
