stratum,context,support_tier,threshold,model,status,n_retained_colours,retained_colours,n_unique_islands,n_clusters,wald_chisq,df,p_value,distance_slopes
all_observed,northern_midlatitude,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,2166,85,26.14513764967684,5,8.363412620058966e-05,white:-0.012647658;red_pink:-0.033766748;yellow_orange:-0.015664732;blue_purple:-0.0089905947;green_brown_inconspicuous:0.03131077
all_observed,northern_midlatitude,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1986,85,25.9459372146291,5,9.141630901755831e-05,white:-0.011829291;red_pink:-0.033158608;yellow_orange:-0.013339658;blue_purple:-0.0092434262;green_brown_inconspicuous:0.02890975
all_observed,northern_midlatitude,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,2166,85,26.14513764967684,5,8.363412620058966e-05,white:-0.012647658;red_pink:-0.033766748;yellow_orange:-0.015664732;blue_purple:-0.0089905947;green_brown_inconspicuous:0.03131077
all_observed,northern_midlatitude,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1986,85,25.9459372146291,5,9.141630901755831e-05,white:-0.011829291;red_pink:-0.033158608;yellow_orange:-0.013339658;blue_purple:-0.0092434262;green_brown_inconspicuous:0.02890975
all_observed,northern_high_latitude,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,407,63,12.785825825651479,5,0.025470647765494805,white:0.041594388;red_pink:0.0031207255;yellow_orange:-0.017261858;blue_purple:0.013346163;green_brown_inconspicuous:0.034384702
all_observed,northern_high_latitude,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,347,61,8.515873265101296,5,0.13000354265984845,white:0.027727897;red_pink:0.0077761054;yellow_orange:0.0054366696;blue_purple:0.0074900378;green_brown_inconspicuous:0.034207575
all_observed,northern_high_latitude,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,407,63,12.785825825651479,5,0.025470647765494805,white:0.041594388;red_pink:0.0031207255;yellow_orange:-0.017261858;blue_purple:0.013346163;green_brown_inconspicuous:0.034384702
all_observed,northern_high_latitude,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,347,61,8.515873265101296,5,0.13000354265984845,white:0.027727897;red_pink:0.0077761054;yellow_orange:0.0054366696;blue_purple:0.0074900378;green_brown_inconspicuous:0.034207575
all_observed,tropical,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1494,111,20.212695747913056,5,0.0011399173662612213,white:0.048802221;red_pink:0.04279202;yellow_orange:0.032464129;blue_purple:-0.0042038398;green_brown_inconspicuous:0.03474482
all_observed,tropical,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1103,104,32.92683516049193,5,3.891442603033337e-06,white:0.068137231;red_pink:0.03888365;yellow_orange:0.026598241;blue_purple:-0.060462168;green_brown_inconspicuous:0.041217358
all_observed,tropical,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1494,111,20.212695747913056,5,0.0011399173662612213,white:0.048802221;red_pink:0.04279202;yellow_orange:0.032464129;blue_purple:-0.0042038398;green_brown_inconspicuous:0.03474482
all_observed,tropical,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1103,104,32.92683516049193,5,3.891442603033337e-06,white:0.068137231;red_pink:0.03888365;yellow_orange:0.026598241;blue_purple:-0.060462168;green_brown_inconspicuous:0.041217358
all_observed,southern_extratropical,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,288,40,9.8062605472646,5,0.08091461813947765,white:0.012273291;red_pink:0.025511374;yellow_orange:-0.034473236;blue_purple:-0.046318836;green_brown_inconspicuous:-0.00074306029
all_observed,southern_extratropical,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,245,39,15.487342024592717,5,0.00847086097522879,white:0.031236159;red_pink:0.030041045;yellow_orange:-0.021212413;blue_purple:-0.047879787;green_brown_inconspicuous:-0.00076149521
all_observed,southern_extratropical,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,288,40,9.8062605472646,5,0.08091461813947765,white:0.012273291;red_pink:0.025511374;yellow_orange:-0.034473236;blue_purple:-0.046318836;green_brown_inconspicuous:-0.00074306029
all_observed,southern_extratropical,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,245,39,15.487342024592717,5,0.00847086097522879,white:0.031236159;red_pink:0.030041045;yellow_orange:-0.021212413;blue_purple:-0.047879787;green_brown_inconspicuous:-0.00076149521
