accepted_species,genus,family,n_islands,n_records
Neottia nidus-avis,Neottia,Orchidaceae,114,15978
Erigeron canadensis,Erigeron,Asteraceae,490,58855
Oldenlandia corymbosa,Oldenlandia,Rubiaceae,161,3957
Trifolium hybridum,Trifolium,Fabaceae,374,43156
Holcus lanatus,Holcus,Poaceae,527,527945
Carex demissa,Carex,Cyperaceae,371,93315
Melaleuca quinquenervia,Melaleuca,Myrtaceae,59,1131
Acalypha wilkesiana,Acalypha,Euphorbiaceae,149,930
Rosa mollis,Rosa,Rosaceae,287,11397
Trachelospermum asiaticum,Trachelospermum,Apocynaceae,99,4280
Ajuga pyramidalis,Ajuga,Lamiaceae,235,3922
Memecylon paniculatum,Memecylon,Melastomataceae,19,367
Ceiba pentandra,Ceiba,Malvaceae,135,1620
Kalmia procumbens,Kalmia,Ericaceae,251,8657
Serenoa repens,Serenoa,Arecaceae,35,512
Andrographis paniculata,Andrographis,Acanthaceae,59,432
Machilus japonica,Machilus,Lauraceae,33,4092
Lysimachia clethroides,Lysimachia,Primulaceae,95,2918
Aeschynanthus pulcher,Aeschynanthus,Gesneriaceae,8,87
Flueggea suffruticosa,Flueggea,Phyllanthaceae,51,640
Xanthosoma sagittifolium,Xanthosoma,Araceae,76,1023
Actaea spicata,Actaea,Ranunculaceae,190,3674
Annona montana,Annona,Annonaceae,25,136
Lepidium virginicum,Lepidium,Brassicaceae,280,5764
Acer tataricum,Acer,Sapindaceae,55,3859
Zanthoxylum ailanthoides,Zanthoxylum,Rutaceae,46,2190
Silene uniflora,Silene,Caryophyllaceae,329,31538
Eryngium maritimum,Eryngium,Apiaceae,205,17814
Parietaria officinalis,Parietaria,Urticaceae,54,519
Salix fragilis,Salix,Salicaceae,127,44218
Ficus citrifolia,Ficus,Moraceae,88,718
Peperomia obtusifolia,Peperomia,Piperaceae,28,226
Callitriche stagnalis,Callitriche,Plantaginaceae,243,31471
Heptapleurum arboricola,Heptapleurum,Araliaceae,55,568
Solanum melongena,Solanum,Solanaceae,103,943
Curcuma zedoaria,Curcuma,Zingiberaceae,19,81
Ruscus aculeatus,Ruscus,Asparagaceae,101,21358
Planchonella duclitan,Planchonella,Sapotaceae,27,105
Begonia rex,Begonia,Begoniaceae,8,83
Amaranthus retroflexus,Amaranthus,Amaranthaceae,170,6966
Ipomoea nil,Ipomoea,Convolvulaceae,108,1391
Freycinetia urvilleana,Freycinetia,Pandanaceae,9,30
Campanula lasiocarpa,Campanula,Campanulaceae,63,623
Quercus pubescens,Quercus,Fagaceae,48,2033
Coccoloba uvifera,Coccoloba,Polygonaceae,209,10589
Paxistima myrsinites,Paxistima,Celastraceae,29,1549
Grevillea dryandri,Grevillea,Proteaceae,17,84
Orobanche minor,Orobanche,Orobanchaceae,125,18163
Ziziphus angustifolia,Ziziphus,Rhamnaceae,30,194
Elaeocarpus reticulatus,Elaeocarpus,Elaeocarpaceae,11,434
Asperugo procumbens,Asperugo,Boraginaceae,123,1626
Toona ciliata,Toona,Meliaceae,30,314
Ligustrum sinense,Ligustrum,Oleaceae,48,2037
Diospyros geminata,Diospyros,Ebenaceae,19,125
Sedum sexangulare,Sedum,Crassulaceae,75,1824
Schenkia spicata,Schenkia,Gentianaceae,52,244
Spondias mombin,Spondias,Anacardiaceae,55,526
Cissus adnata,Cissus,Vitaceae,40,197
Viola selkirkii,Viola,Violaceae,58,1030
Dipterocarpus alatus,Dipterocarpus,Dipterocarpaceae,11,22
Tabebuia aurea,Tabebuia,Bignoniaceae,31,203
Knema cinerea,Knema,Myristicaceae,15,151
Bryonia alba,Bryonia,Cucurbitaceae,52,401
Sternbergia lutea,Sternbergia,Amaryllidaceae,84,877
Bunchosia glandulosa,Bunchosia,Malpighiaceae,14,139
Epilobium anagallidifolium,Epilobium,Onagraceae,107,6195
Dendrophthoe acacioides,Dendrophthoe,Loranthaceae,13,20
Sisyrinchium rosulatum,Sisyrinchium,Iridaceae,45,737
Wikstroemia retusa,Wikstroemia,Thymelaeaceae,14,104
