source_group,resolved_species_trait_cells,unique_species_axis,exclusive_marginal_species_axis,exclusive_marginal_flower_colour,exclusive_marginal_floral_structural_complexity,exclusive_marginal_reproductive_assurance
latest_public_web,95482,76122,65841,19770,43154,2917
expanded_wave,15081,14713,8679,7193,1040,446
efloras,6829,6773,3428,3251,156,21
pladias,8091,6157,2387,1451,811,125
austraits,3504,3504,1167,1007,160,0
floraweb_biolflor_bulk,6803,3891,1048,27,259,762
three_pass_medium,1739,1734,901,771,97,33
ferrer_2024_si,1425,1425,852,0,0,852
meyer_2026,1377,1377,839,0,0,839
three_pass_high,1072,1009,696,404,222,70
gift,912,912,539,539,0,0
glopl_2025_trait_compilation,1226,849,294,0,118,176
eol_traitbank,650,650,275,275,0,0
promoted_public_web,341,341,103,64,13,26
razanajatovo_2016,504,368,92,0,0,92
usda_plants,86,86,34,34,0,0
useful_plants_public_web,20,20,20,0,0,20
targeted_reacquisition,1,1,0,0,0,0
