accepted_species,genus,family,n_islands,n_records
Furcraea hexapetala,Furcraea,Asparagaceae,15,119
Callicarpa americana,Callicarpa,Lamiaceae,48,798
Iberis umbellata,Iberis,Brassicaceae,46,2638
Anthoshorea javanica,Anthoshorea,Dipterocarpaceae,3,62
Eucalyptus gomphocephala,Eucalyptus,Myrtaceae,14,84
Ophrys bertolonii,Ophrys,Orchidaceae,27,637
Polygala nana,Polygala,Polygalaceae,3,6
Muehlenbeckia australis,Muehlenbeckia,Polygonaceae,16,7387
Aria edulis,Aria,Rosaceae,74,22282
Asparagus prostratus,Asparagus,Asparagaceae,14,1046
Salvia pratensis,Salvia,Lamiaceae,47,2760
