searched_name,accepted_species,target_universe_status,family,name_match_method,wfo_match_id,wfo_release,wfo_status,wfo_rank,gbif_query_usage_key,gbif_query_status,gbif_usage_key,gbif_status,gbif_rank,gbif_match_type,gbif_confidence,gbif_family,prior_formal_source,identity_decision
Callicarpa americana,Callicarpa americana,fixed_target,Lamiaceae,strict_wfo_gbif_two_backbone,wfo-0000767775,2026-06,accepted,species,5341129,ACCEPTED,5341129,ACCEPTED,SPECIES,EXACT,98,Lamiaceae,"Frozen WFO accepted name plus live strict GBIF match retrieved 2026-08-31",accepted_direct
Pelargonium candicans,Pelargonium candicans,fixed_target,Geraniaceae,strict_wfo_gbif_two_backbone,wfo-0001064173,2026-06,accepted,species,3827975,ACCEPTED,3827975,ACCEPTED,SPECIES,EXACT,99,Geraniaceae,"Frozen WFO accepted name plus live strict GBIF match retrieved 2026-08-31",accepted_direct
Pelargonium oblongatum,Pelargonium oblongatum,external_congener_only,Geraniaceae,strict_wfo_gbif_two_backbone,wfo-0001064311,2026-06,accepted,species,3827350,ACCEPTED,3827350,ACCEPTED,SPECIES,EXACT,97,Geraniaceae,"Frozen WFO accepted name plus live strict GBIF match retrieved 2026-08-31; absent from fixed denominator",accepted_external_only
Spermacoce articularis,Spermacoce articularis,fixed_target,Rubiaceae,strict_wfo_gbif_two_backbone,wfo-0000312245,2026-06,accepted,species,2918203,ACCEPTED,2918203,ACCEPTED,SPECIES,EXACT,99,Rubiaceae,"Frozen WFO accepted name plus live strict GBIF match retrieved 2026-08-31",accepted_direct
Spermacoce hispida L.,Spermacoce hispida,fixed_target,Rubiaceae,strict_wfo_gbif_two_backbone,wfo-0000312472,2026-06,accepted,species,2916044,ACCEPTED,2916044,ACCEPTED,SPECIES,EXACT,97,Rubiaceae,"Authorship-disambiguated frozen WFO accepted route plus live strict GBIF match retrieved 2026-08-31",accepted_direct
Spermacoce pusilla,Spermacoce pusilla,fixed_target,Rubiaceae,strict_wfo_gbif_two_backbone,wfo-0000312683,2026-06,accepted,species,2918384,ACCEPTED,2918384,ACCEPTED,SPECIES,EXACT,97,Rubiaceae,"Frozen WFO accepted name plus live strict GBIF match retrieved 2026-08-31",accepted_direct
Torenia baillonii,Torenia flava,fixed_target,Linderniaceae,strict_wfo_gbif_two_backbone,wfo-0001140253,2026-06,accepted,species,8015136,SYNONYM,3725668,ACCEPTED,SPECIES,EXACT,97,Linderniaceae,"Exact synonym route in frozen WFO and GBIF; accepted Torenia flava independently exact-matched 2026-08-31",accepted_direct_synonym
Torenia concolor,Torenia concolor,fixed_target,Linderniaceae,strict_wfo_gbif_two_backbone,wfo-0001140275,2026-06,accepted,species,7331731,ACCEPTED,7331731,ACCEPTED,SPECIES,EXACT,99,Linderniaceae,"Frozen WFO accepted name plus live strict GBIF match retrieved 2026-08-31",accepted_direct
Lindernia crustacea,Torenia crustacea,fixed_target,Linderniaceae,strict_wfo_gbif_two_backbone,wfo-0000458830,2026-06,accepted,species,3171890,SYNONYM,3171892,ACCEPTED,SPECIES,EXACT,98,Linderniaceae,"Exact synonym route in frozen WFO and GBIF; accepted Torenia crustacea independently exact-matched 2026-08-31",accepted_direct_synonym
Torenia fournieri,Torenia fournieri,fixed_target,Linderniaceae,strict_wfo_gbif_two_backbone,wfo-0000458503,2026-06,accepted,species,3172203,ACCEPTED,3172203,ACCEPTED,SPECIES,EXACT,97,Linderniaceae,"Frozen WFO accepted name plus live strict GBIF match retrieved 2026-08-31",accepted_direct
