"Data_source","Species","Family","Self-compatibility_index_FS","Self-compatibility_index_SFL","Autofertility_index_FS","Autofertility_index_SFL","Annual_Biennial","Listed_in_GloNAF","Number_GloNAF_Regions","Number_Native_Regions"
"Oriani_Scatena_2011","Abolboda_poarchon","Xyridaceae","1","NA","0","NA","0","0","0","2"
"Oriani_Scatena_2011","Abolboda_pulchella","Xyridaceae","0.989010989","NA","0","NA","0","0","0","3"
"Saunders_2006","Abronia_ammophila","Nyctaginaceae","NA","0.87605451","NA","NA","0","0","0","1"
"Saunders_Sipes_2006","Abronia_ammophila","Nyctaginaceae","NA","1","NA","NA","0","0","0","1"
"Williamson_etal_1994","Abronia_macrocarpa","Nyctaginaceae","0","NA","0","NA","0","0","0","1"
"Wolowski_etal_2013","Abutilon_bedfordianum","Malvaceae","0.189522793","NA","0","NA","0","0","0","2"
"Morales_Galetto_2003","Acacia_aroma","Leguminosae","NA","NA","NA","NA","0","1","1","3"
"Morgan_etal_2002","Acacia_baileyana","Leguminosae","0.015591165","0.005988024","NA","NA","0","1","35","1"
"Wagner_2000","Acacia_constricta","Leguminosae","0.066666667","NA","NA","NA","0","1","2","3"
"Correia_etal_2014","Acacia_dealbata","Leguminosae","NA","NA","NA","NA","0","1","61","1"
"Rodger_Johnson_2013","Acacia_dealbata","Leguminosae","0.799568966","0.423076923","0.997844828","NA","0","1","61","1"
"Correia_etal_2014","Acacia_longifolia","Leguminosae","NA","NA","NA","NA","0","1","29","1"
"McMullen_1987","Acacia_macracantha","Leguminosae","NA","NA","NA","NA","0","1","3","7"
"Zapata_Arroyo_1978","Acacia_macracantha","Leguminosae","0","0","NA","NA","0","1","3","7"
"Kenrick_Knox_1989","Acacia_mearnsii","Leguminosae","0","NA","NA","NA","0","1","49","1"
"Rambuda_Johnson_2004","Acacia_mearnsii","Leguminosae","NA","NA","NA","NA","0","1","49","1"
"Correia_etal_2014","Acacia_melanoxylon","Leguminosae","NA","NA","NA","NA","0","1","53","1"
"Kenrick_Knox_1989","Acacia_myrtifolia","Leguminosae","0.169230769","NA","NA","NA","0","0","0","1"
"Kenrick_Knox_1989","Acacia_paradoxa","Leguminosae","0.84645498","NA","NA","NA","0","1","5","1"
"Aizen_Feinsinger_1994","Acacia_praecox","Leguminosae","0.238095238","NA","0","NA","0","0","0","2"
"Morales_Galetto_2003","Acacia_praecox","Leguminosae","NA","NA","NA","NA","0","0","0","2"
"Kenrick_Knox_1989","Acacia_pycnantha","Leguminosae","0.025886865","NA","NA","NA","0","1","18","1"
"Kenrick_Knox_1989","Acacia_retinodes_uncifolia","Leguminosae","0.061752219","NA","NA","NA","0","1","14","1"
"Correia_etal_2014","Acacia_saligna","Leguminosae","NA","NA","NA","NA","0","1","39","1"
"Tandon_Shivanna_2001","Acacia_senegal","Leguminosae","0.100556665","NA","0","NA","0","1","6","7"
"Raju_Rao_2002","Acacia_sinuata","Leguminosae","0","NA","NA","NA","0","0","0","4"
"Kenrick_Knox_1989","Acacia_terminalis","Leguminosae","0.124513619","NA","NA","NA","0","1","2","1"
"Tybirk_1993","Acacia_tortilis","Leguminosae","NA","0.225","NA","0","0","1","1","8"
"Kenrick_Knox_1989","Acacia_ulicifolia","Leguminosae","NA","NA","NA","NA","0","0","0","1"
"Fan_etal_2012","Acampe_rigida","Orchidaceae","1","NA","0","NA","0","0","0","5"
"Razanajatovo_vanKleunen_unpubl","Achillea_millefolium","Compositae","NA","NA","NA","NA","0","1","110","22"
"Borba_etal_2001","Acianthera_adamantinensis","Orchidaceae","0.052982387","NA","0","NA","0","0","0","1"
"Borba_etal_2001","Acianthera_fabiobarrosii","Orchidaceae","0.067430025","NA","0","NA","0","0","0","1"
"Borba_etal_2001","Acianthera_johannensis","Orchidaceae","0.19902414","NA","0","NA","0","0","0","1"
"Borba_etal_2001","Acianthera_ochreata","Orchidaceae","0.314720812","NA","0","NA","0","0","0","1"
"Borba_etal_2001","Acianthera_teres","Orchidaceae","0.261304817","NA","0","NA","0","0","0","1"
"Goldenberg_Shepherd_1998","Acinodendron_pohlianum","Melastomataceae","NA","NA","NA","NA","0","0","0","1"
"Smith_Baum_2007","Acnistus_arborescens","Solanaceae","0.88","0.175103734","0.67","0.008298755","0","0","0","5"
"McMullen_1987","Acnistus_ellipticus","Solanaceae","NA","NA","NA","NA","0","0","0","1"
"Nautiyal_etal_2009","Aconitum_heterophyllum","Ranunculaceae","0.375","0.1875","0","NA","0","0","0","1"
"Hao_etal_2012","Aconitum_kusnezoffii","Ranunculaceae","NA","NA","NA","NA","0","0","0","4"
"Liao_etal_2009","Aconitum_kusnezoffii","Ranunculaceae","NA","NA","NA","NA","0","0","0","4"
"Utelli_Roy_2000","Aconitum_lycoctonum","Ranunculaceae","NA","NA","NA","NA","0","1","1","9"
