accepted_species,genus,family,n_islands,n_records
Eulophia cernua,Eulophia,Orchidaceae,59,391
Erigeron bonariensis,Erigeron,Asteraceae,253,6415
Spermacoce tenuior,Spermacoce,Rubiaceae,61,360
Alysicarpus vaginalis,Alysicarpus,Fabaceae,172,3159
Imperata cylindrica,Imperata,Poaceae,299,6497
Cyperus brevifolius,Cyperus,Cyperaceae,207,5060
Syzygium acuminatissimum,Syzygium,Myrtaceae,28,469
Croton punctatus,Croton,Euphorbiaceae,60,960
Prunus cerasus,Prunus,Rosaceae,156,6910
Asclepias tuberosa,Asclepias,Apocynaceae,39,967
Hyptis capitata,Hyptis,Lamiaceae,95,1416
Miconia sciaphila,Miconia,Melastomataceae,10,166
Adansonia digitata,Adansonia,Malvaceae,60,375
Erica manipuliflora,Erica,Ericaceae,54,395
Pinanga coronata,Pinanga,Arecaceae,18,171
Dicliptera chinensis,Dicliptera,Acanthaceae,23,1744
Beilschmiedia tawa,Beilschmiedia,Lauraceae,13,12910
Cyclamen graecum,Cyclamen,Primulaceae,28,331
Cyrtandra coccinea,Cyrtandra,Gesneriaceae,5,45
Aporosa octandra,Aporosa,Phyllanthaceae,19,332
Philodendron giganteum,Philodendron,Araceae,26,551
Delphinium consolida,Delphinium,Ranunculaceae,62,2960
Sageraea lanceolata,Sageraea,Annonaceae,9,90
Brassica nigra,Brassica,Brassicaceae,113,27189
Dimocarpus malesianus,Dimocarpus,Sapindaceae,24,466
Aegle marmelos,Aegle,Rutaceae,21,79
Moehringia lateriflora,Moehringia,Caryophyllaceae,117,1296
Oenanthe lachenalii,Oenanthe,Apiaceae,73,10267
Cecropia pachystachya,Cecropia,Urticaceae,17,196
Salix scouleriana,Salix,Salicaceae,32,300
Maclura pomifera,Maclura,Moraceae,32,377
Piper aequale,Piper,Piperaceae,10,81
Hippuris lanceolata,Hippuris,Plantaginaceae,77,391
Hydrocotyle dichondroides,Hydrocotyle,Araliaceae,14,101
Solanum laciniatum,Solanum,Solanaceae,37,3292
Meistera echinocarpa,Meistera,Zingiberaceae,8,33
Ornithogalum nutans,Ornithogalum,Asparagaceae,53,2881
Palaquium formosanum,Palaquium,Sapotaceae,8,175
Begonia incisa,Begonia,Begoniaceae,4,7
Alternanthera pungens,Alternanthera,Amaranthaceae,64,591
Convolvulus siculus,Convolvulus,Convolvulaceae,45,646
Freycinetia rigidifolia,Freycinetia,Pandanaceae,4,31
Wahlenbergia lobelioides,Wahlenbergia,Campanulaceae,20,814
Quercus hemisphaerica,Quercus,Fagaceae,11,31
Coccoloba diversifolia,Coccoloba,Polygonaceae,63,716
Salacia korthalsiana,Salacia,Celastraceae,12,68
Hakea ulicina,Hakea,Proteaceae,6,114
Boschniakia rossica,Boschniakia,Orobanchaceae,41,178
Gouania tiliifolia,Gouania,Rhamnaceae,11,259
Elaeocarpus valetonii,Elaeocarpus,Elaeocarpaceae,5,66
Anchusa hybrida,Anchusa,Boraginaceae,26,185
Aglaia parviflora,Aglaia,Meliaceae,15,76
Ligustrum tschonoskii,Ligustrum,Oleaceae,13,1802
