accepted_species,source_excel_row,SI,SC,Mixed mating,autonomous selfing/agagamospermy,evidence for selfing,references,notes,notes.1,notes.2,locality,review_status,source_record,source_sha256,compatibility_flag_present
Apostasia nuda,2,,,,,,"Wood 1999, Huda & Wilcock 2008; Kocyan 2010 cited by Ong 2011b",,,,"Asia Bangladesh, Malaysia (Sarawak)",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Neuwiedia borneensis,3,,,,,,Inoue et al. 1995,,,,Malesia (Sarawak),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Neuwiedia veratrifolia,4,,1,1,1,1,Okada et al. 1996,,,,Malesia (Sumatra),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Neuwiedia zollingeri,5,,,,,,Kocyan 2010 cited by Ong 2011b,,,,"SE Asia, Malesia",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Paphiopedilum hirsutissimum,41,,,,,,Shi et al. 2009 reported in Pemberton 2013,,,,Asia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Paphiopedilum lowii,43,,1,,1,2,Day 1972,,,,"SE Asia, Malesia",pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Paphiopedilum mastersianum,44,,1,,1,2,Day 1972 ,,,,Malesia,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,True
Paphiopedilum purpuratum,47,,,,,,Liu et al. 2004,,,,SE China  (Guangdong),pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Paphiopedilum rothschildianum,48,,,,,,Atwood 1984,,,,Asia Borneo,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
Paphiopedilum sanderianum,49,,,,,,Kramer 1990 cited by van der Cingel 2001,,,,Asia Borneo,pending_original_source_check,10.5281/zenodo.18208949,2d2baaf32eb9e2332117e67fbcc5f9d20a60f202b8bda7935b75df237b2d11a8,False
