evidence_scope,context,response,analysis_role,model_family,status,n_islands,n_clusters,distance_estimate,distance_se,distance_p,selfing_core_estimate,selfing_core_se,selfing_core_p,kappa,optimizer_success,primary_H2b_q
direct_only,northern_midlatitude,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,1954,85,0.02910678698792104,0.014105802573749304,0.03906875864587815,,,,,,
direct_only,northern_midlatitude,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,1860,83,0.01715021185410704,0.01144338208650191,0.1339511337804477,0.037763594631591096,0.015582619062374233,0.015374150680159357,,,0.21432181404871634
direct_only,northern_midlatitude,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1916,85,0.00099897150551051,0.020636357457630188,0.9613908244285045,0.03629133004344134,0.03133265611331426,0.24675836920466193,94.38360769206726,True,0.9613908244285045
direct_only,northern_high_latitude,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,336,60,0.06468671226092694,0.029175171408853808,0.026610546205303443,,,,,,
direct_only,northern_high_latitude,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,301,56,0.11656638715478461,0.03716253182444894,0.0017088165764435202,0.020227487897283177,0.025650685312722212,0.4303604764439156,,,0.006835266305774081
direct_only,northern_high_latitude,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,325,60,0.011630522278664913,0.019866508560830148,0.5582561796051115,0.11236682246366193,0.03363114187526018,0.000834309482128166,987.7402166334615,True,0.7208648066562475
direct_only,tropical,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,1039,104,0.10202737321998487,0.02961373803349713,0.0005704856739640726,,,,,,
direct_only,tropical,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,928,102,0.052487651737015056,0.026162487369013027,0.04483299972505174,0.023882658701370095,0.020340086301783224,0.24032812959111619,,,0.1195546659334713
direct_only,tropical,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1016,104,0.0149482868398219,0.031099369667250187,0.6307567058242166,0.04820411992973189,0.029105284066855135,0.0976816817620666,122.26633738094729,True,0.7208648066562475
direct_only,southern_extratropical,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,238,39,0.1494447697698022,0.048441170473950704,0.002034990536911984,,,,,,
direct_only,southern_extratropical,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,208,38,0.057793669856041785,0.03473122242711466,0.09610716045186399,0.12226600144601338,0.030610153458279887,6.488686866851993e-05,,,0.19221432090372798
direct_only,southern_extratropical,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,219,38,0.08874682475085838,0.01587335622960396,2.2585652735550087e-08,0.07766549781972809,0.038040177517264004,0.04118425411567377,1732.0818389306985,True,1.806852218844007e-07
