stratum,context,outcome,n_islands,n_species_trials,kappa,optimizer_success,geography_slope_log_odds,cluster_robust_se,p_value
all_observed,northern_midlatitude,self_compatibility,2031,272631,257.6175701753633,True,0.03575105938329701,0.02894212188689102,0.21673357670703922
all_observed,northern_midlatitude,selfing_mating_system,1914,211487,176.12925560789364,True,0.06573144514907266,0.01908270765916529,0.0005719992442489488
all_observed,northern_midlatitude,autonomous_selfing,1963,166840,111.52238327757048,True,0.006381084665001801,0.027659460341662185,0.8175465487223416
all_observed,northern_midlatitude,plain_colour,2068,297285,94.12483876957131,True,0.002954624879618093,0.021215145969571563,0.8892371119294653
all_observed,northern_midlatitude,generalized_form,1951,236747,350.9485361955598,True,0.03963826187538105,0.021882642486545874,0.07007865008065847
all_observed,northern_midlatitude,actinomorphic_symmetry,2070,322344,284.12280377439674,True,0.004645052870611973,0.02028168230001573,0.8188479301227711
all_observed,northern_midlatitude,shallow_open_tube,1796,45262,92.6838033307065,True,0.013115723501267438,0.044078774947219054,0.7660451860577827
all_observed,northern_high_latitude,self_compatibility,368,18259,162754.79141900392,True,0.1098978241415799,0.04564214820927365,0.01604833500279489
all_observed,northern_high_latitude,selfing_mating_system,342,14066,162754.79141900392,True,0.08510988860803873,0.027102292630568597,0.0016876301949767243
all_observed,northern_high_latitude,autonomous_selfing,321,9243,162754.79141900392,True,0.14966768449809362,0.05964077359629046,0.012090701896104719
all_observed,northern_high_latitude,plain_colour,380,19686,912.9194956418522,True,0.031323760734480774,0.022297881762337088,0.16008480859076746
all_observed,northern_high_latitude,generalized_form,324,14230,162754.79141900392,True,0.020878908353552796,0.03104297723259929,0.501214063174769
all_observed,northern_high_latitude,actinomorphic_symmetry,359,18114,307.73297266114855,True,0.2236874277757147,0.08662991129821439,0.009820002921075682
all_observed,northern_high_latitude,shallow_open_tube,200,1653,162754.79141900392,False,0.35448136510075595,0.1771125359848227,0.04534423310495102
all_observed,tropical,self_compatibility,1207,48063,119.86830757678165,True,0.10450073086355621,0.0342240100636136,0.0022623903401126633
all_observed,tropical,selfing_mating_system,697,7313,236.4257495744268,True,0.1067250011336287,0.047566351953686324,0.02485119948438245
all_observed,tropical,autonomous_selfing,1204,33814,66.26683851384955,True,0.15419725964566408,0.0384958289363788,6.187135756778229e-05
all_observed,tropical,plain_colour,1359,115451,108.94874622692257,True,0.033064938666189925,0.0329425068902142,0.3155152677584063
all_observed,tropical,generalized_form,1086,30703,157.26059961016588,True,0.18932690764679821,0.04650258440975746,4.674745362378591e-05
all_observed,tropical,actinomorphic_symmetry,1352,107016,40.634551634448684,True,0.08595154275493541,0.03604026137474726,0.017084893968936345
all_observed,tropical,shallow_open_tube,1044,22307,25.38308040456134,True,-0.005451308033026221,0.05496313402361099,0.9209944239443882
all_observed,southern_extratropical,self_compatibility,251,14614,175.94562943818124,True,0.13792159891508593,0.049246903400550844,0.005100538634395228
all_observed,southern_extratropical,selfing_mating_system,209,6737,162754.79141900392,True,0.00893622758953629,0.03286572989877163,0.7856980776329505
all_observed,southern_extratropical,autonomous_selfing,245,10608,173.5254051891635,True,0.09444135980043813,0.06438333934380606,0.14241408181365312
all_observed,southern_extratropical,plain_colour,262,30352,1156.2638376474622,True,0.09348943154378819,0.016775848093304326,2.505927702601816e-08
all_observed,southern_extratropical,generalized_form,241,12034,72.745495104356,True,0.15126902357413533,0.048388918350060185,0.001771360026118361
all_observed,southern_extratropical,actinomorphic_symmetry,264,22412,31.31414621018811,True,0.12147824469411596,0.05218399628670218,0.019918310193915986
all_observed,southern_extratropical,shallow_open_tube,194,3735,32.703292416392465,True,-0.16788574345069057,0.07666942669069396,0.028543445670957106
all_native,northern_midlatitude,self_compatibility,238,26139,145.67636677296494,True,0.01812529273981447,0.03837443768942311,0.6366932206455803
all_native,northern_midlatitude,selfing_mating_system,230,15528,151.2803611107402,True,0.055816870475207864,0.04622467458447847,0.22723484985229744
all_native,northern_midlatitude,autonomous_selfing,236,18061,50.357879998162595,True,-0.07315911543863932,0.09215958572083485,0.42729395353320854
all_native,northern_midlatitude,plain_colour,238,38882,190.6187009045179,True,0.0407984549137168,0.03410048861389415,0.231533291463185
all_native,northern_midlatitude,generalized_form,234,18376,117.38412948415812,True,0.022949933580633693,0.0393439727167928,0.5596811958386381
all_native,northern_midlatitude,actinomorphic_symmetry,237,35783,155.28718155152606,True,0.07596593318495311,0.03185821127742848,0.0171023065811248
all_native,northern_midlatitude,shallow_open_tube,229,4517,101.29065152649545,True,0.03362258479181766,0.0908981915411568,0.7114623810344716
all_native,tropical,self_compatibility,133,7200,319.70639895782955,True,0.022152329106119608,0.05476402096185418,0.6858412836160903
all_native,tropical,selfing_mating_system,90,742,162754.79141900392,True,-0.011104497864261867,0.07405918314400327,0.8808112717890868
all_native,tropical,autonomous_selfing,133,4808,345.7606846782278,True,0.10902343929386302,0.0523394749958919,0.03725067867499576
all_native,tropical,plain_colour,136,20859,247.18461108484303,True,0.03358538752869318,0.03684756710316925,0.3620487068339889
all_native,tropical,generalized_form,132,4895,173.35108785475285,True,-0.04603744060292237,0.0574185698218632,0.42267640390926847
all_native,tropical,actinomorphic_symmetry,135,22918,65.45413032010796,True,-0.015088122179082881,0.048481195209525686,0.7556364433937316
all_native,tropical,shallow_open_tube,125,3379,82.7770909671157,True,-0.08555833387779442,0.11678369406067396,0.46378885051865704
native_nonendemic,northern_midlatitude,self_compatibility,238,25564,242.24694040363076,True,0.03650159342516401,0.032773724150099305,0.26538830983429196
native_nonendemic,northern_midlatitude,selfing_mating_system,230,15326,149.30039138416782,True,0.0534945147144732,0.045967147561312816,0.24452316427454707
native_nonendemic,northern_midlatitude,autonomous_selfing,236,17413,280.03219540751513,True,-0.025165848728669043,0.057583833197813905,0.6620897664649721
native_nonendemic,northern_midlatitude,plain_colour,238,36574,327.92887600997466,True,0.04648489273093417,0.02868311095875478,0.10509564804885413
native_nonendemic,northern_midlatitude,generalized_form,233,17883,125.40434976415712,True,0.020391243838357324,0.038556559313651366,0.596898579541981
native_nonendemic,northern_midlatitude,actinomorphic_symmetry,237,34108,201.390673554173,True,0.06330160819191348,0.02773291610305285,0.02245722809764876
native_nonendemic,northern_midlatitude,shallow_open_tube,228,4313,101.2297845075588,True,0.03496371736608784,0.09935185734595986,0.7248996808414918
native_nonendemic,tropical,self_compatibility,132,6773,622.2992269554409,True,0.01863127068261189,0.04769507038239621,0.6960684945475177
native_nonendemic,tropical,selfing_mating_system,90,731,162754.79141900392,True,-0.015100804596030679,0.07542697272898072,0.8413208010275846
native_nonendemic,tropical,autonomous_selfing,132,4452,162754.79141900392,True,0.11938379463417216,0.0412454761550613,0.0037979916292571166
native_nonendemic,tropical,plain_colour,136,17662,775.0074269845368,True,0.04736513955239777,0.020892180520687503,0.023382722927106855
native_nonendemic,tropical,generalized_form,131,4362,339.66587839432754,True,-0.014469012026227074,0.050810253912820146,0.7758237349785773
native_nonendemic,tropical,actinomorphic_symmetry,133,15675,63.3962173357423,True,-0.0420179351277083,0.05827746797377438,0.4709107740431251
native_nonendemic,tropical,shallow_open_tube,125,3199,162754.79141900392,True,-0.03963403269153533,0.0649949003797312,0.5419928495918912
