evidence_scope_original,context,response,analysis_role_original,model_family_original,status_original,n_islands_original,n_clusters_original,distance_estimate_original,distance_se_original,distance_p_original,selfing_core_estimate_original,selfing_core_se_original,selfing_core_p_original,kappa_original,optimizer_success_original,primary_H2b_q_original,evidence_scope_corrected,analysis_role_corrected,model_family_corrected,status_corrected,n_islands_corrected,n_clusters_corrected,distance_estimate_corrected,distance_se_corrected,distance_p_corrected,selfing_core_estimate_corrected,selfing_core_se_corrected,selfing_core_p_corrected,kappa_corrected,optimizer_success_corrected,primary_H2b_q_corrected,_merge
direct_only,northern_high_latitude,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,301,56,0.1202351671917421,0.0389377746824866,0.0020159000334023,0.0220306458906707,0.0248806997612001,0.3759133191390744,,,0.0080636001336093,direct_only,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,301,56,0.1165663871547846,0.0371625318244489,0.0017088165764435,0.0202274878972831,0.0256506853127222,0.4303604764439156,,,0.006835266305774,both
direct_only,northern_high_latitude,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,325,60,-0.0014657399242576,0.0169194009900242,0.9309650450374146,0.1171756270474086,0.0331666891401352,0.0004109795880303,960.2617974144274,True,0.9996835616054948,direct_only,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,325,60,0.0116305222786649,0.0198665085608301,0.5582561796051115,0.1123668224636619,0.0336311418752601,0.0008343094821281,987.7402166334616,True,0.7208648066562475,both
direct_only,northern_high_latitude,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,336,60,0.0616610813845415,0.0292022129830029,0.0347275682961259,,,,,,,direct_only,H2a_reproductive_assurance,clustered_ols,fit,336,60,0.0646867122609269,0.0291751714088538,0.0266105462053034,,,,,,,both
direct_only,northern_midlatitude,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,1861,83,0.0167737986301028,0.0112309115072287,0.1352962864305532,0.0378905049867909,0.0155045295826712,0.0145320893832313,,,0.2705925728611065,direct_only,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,1860,83,0.017150211854107,0.0114433820865019,0.1339511337804477,0.037763594631591,0.0155826190623742,0.0153741506801593,,,0.2143218140487163,both
direct_only,northern_midlatitude,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1917,85,-8.557394859246823e-06,0.0215770689602023,0.9996835616054948,0.0358710491646516,0.0314243420854523,0.2536597589980178,94.1984468705422,True,0.9996835616054948,direct_only,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1916,85,0.0009989715055105,0.0206363574576301,0.9613908244285044,0.0362913300434413,0.0313326561133142,0.2467583692046619,94.38360769206726,True,0.9613908244285044,both
direct_only,northern_midlatitude,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,1955,85,0.02521231589732,0.0139310350740632,0.070327602806435,,,,,,,direct_only,H2a_reproductive_assurance,clustered_ols,fit,1954,85,0.029106786987921,0.0141058025737493,0.0390687586458781,,,,,,,both
direct_only,southern_extratropical,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,208,38,0.0406305531000647,0.0354946159830465,0.2523350137005299,0.1239665408327829,0.0332370166074319,0.0001916520418158,,,0.4037360219208478,direct_only,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,208,38,0.0577936698560417,0.0347312224271146,0.0961071604518639,0.1222660014460133,0.0306101534582798,6.488686866851993e-05,,,0.1922143209037279,both
direct_only,southern_extratropical,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,219,38,0.0937190780956767,0.0184441646655452,3.749949629212229e-07,0.0730159258950453,0.0375483960522895,0.0518253369460107,1839.796817627596,True,2.9999597033697838e-06,direct_only,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,219,38,0.0887468247508583,0.0158733562296039,2.258565273555009e-08,0.077665497819728,0.038040177517264,0.0411842541156737,1732.0818389306985,True,1.806852218844007e-07,both
direct_only,southern_extratropical,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,238,39,0.156114833191715,0.0516795719634044,0.0025208877887632,,,,,,,direct_only,H2a_reproductive_assurance,clustered_ols,fit,238,39,0.1494447697698022,0.0484411704739507,0.0020349905369119,,,,,,,both
direct_only,tropical,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,928,102,0.0611239986041329,0.0260142849636441,0.0187919754449084,0.0214873307074504,0.0205443825682185,0.2956080813776276,,,0.0501119345197559,direct_only,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,928,102,0.052487651737015,0.026162487369013,0.0448329997250517,0.02388265870137,0.0203400863017832,0.2403281295911161,,,0.1195546659334713,both
direct_only,tropical,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1016,104,0.0144492534067948,0.0307916250103752,0.6388843726717339,0.0477945741165409,0.0284590819172704,0.0930714310436176,122.08903323732449,True,0.8518458302289785,direct_only,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1016,104,0.0149482868398219,0.0310993696672501,0.6307567058242166,0.0482041199297318,0.0291052840668551,0.0976816817620666,122.26633738094728,True,0.7208648066562475,both
direct_only,tropical,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,1039,104,0.1152003929812947,0.0337251482400484,0.0006358086980802,,,,,,,direct_only,H2a_reproductive_assurance,clustered_ols,fit,1039,104,0.1020273732199848,0.0296137380334971,0.000570485673964,,,,,,,both
