stratum,context,outcome,n_islands_original,n_species_trials_original,kappa_original,optimizer_success_original,geography_slope_log_odds_original,cluster_robust_se_original,p_value_original,n_islands_corrected,n_species_trials_corrected,kappa_corrected,optimizer_success_corrected,geography_slope_log_odds_corrected,cluster_robust_se_corrected,p_value_corrected,_merge
all_native,northern_midlatitude,actinomorphic_symmetry,237,35783,147.5464469881302,True,0.0623615878233034,0.0310916409269987,0.0448845446501701,237,35783,155.28718155152606,True,0.0759659331849531,0.0318582112774284,0.0171023065811248,both
all_native,northern_midlatitude,autonomous_selfing,236,18061,49.53228644751198,True,-0.0562774609563451,0.0860307106658477,0.5130116398631763,236,18061,50.3578799981626,True,-0.0731591154386393,0.0921595857208348,0.4272939535332085,both
all_native,northern_midlatitude,generalized_form,234,18376,117.8857782782248,True,0.0191889317919495,0.0332831933148718,0.5642534992137559,234,18376,117.38412948415812,True,0.0229499335806336,0.0393439727167928,0.5596811958386381,both
all_native,northern_midlatitude,plain_colour,238,38882,190.22856758403228,True,0.0406048947501905,0.0305983278977678,0.1844988057082057,238,38882,190.6187009045179,True,0.0407984549137168,0.0341004886138941,0.231533291463185,both
all_native,northern_midlatitude,self_compatibility,238,26139,145.9939704547986,True,0.01948591511767,0.0305167755676732,0.5231279126477549,238,26139,145.67636677296494,True,0.0181252927398144,0.0383744376894231,0.6366932206455803,both
all_native,northern_midlatitude,selfing_mating_system,230,15528,159.3019622725349,True,0.063515426725776,0.040883865771258,0.1202900594793718,230,15528,151.2803611107402,True,0.0558168704752078,0.0462246745844784,0.2272348498522974,both
all_native,northern_midlatitude,shallow_open_tube,229,4517,103.43033133157012,True,0.0159495720552177,0.0822550111917801,0.8462510862000148,229,4517,101.29065152649544,True,0.0336225847918176,0.0908981915411568,0.7114623810344716,both
all_native,tropical,actinomorphic_symmetry,135,22918,65.64183860321533,True,-0.0217181862680459,0.0451372795272556,0.6304038445823912,135,22918,65.45413032010796,True,-0.0150881221790828,0.0484811952095256,0.7556364433937316,both
all_native,tropical,autonomous_selfing,133,4808,375.3231370922887,True,0.1094129298356897,0.0486641278183456,0.0245552712042615,133,4808,345.7606846782278,True,0.109023439293863,0.0523394749958919,0.0372506786749957,both
all_native,tropical,generalized_form,132,4895,171.1364958581917,True,-0.0367510883104327,0.0549557161031595,0.5036613150805941,132,4895,173.35108785475285,True,-0.0460374406029223,0.0574185698218632,0.4226764039092684,both
all_native,tropical,plain_colour,136,20859,237.35195542662777,True,0.0271938164574925,0.0403593952394642,0.5004438953441859,136,20859,247.18461108484303,True,0.0335853875286931,0.0368475671031692,0.3620487068339889,both
all_native,tropical,self_compatibility,133,7200,300.21388823961945,True,0.0172946067818391,0.0555181350044288,0.7554108534077042,133,7200,319.70639895782955,True,0.0221523291061196,0.0547640209618541,0.6858412836160903,both
