stratum,context_a,context_b,outcome,n_islands_context_a,n_islands_context_b,kappa,optimizer_success,slope_difference_b_minus_a,cluster_robust_se,p_value
all_observed,northern_midlatitude,tropical,self_compatibility,2031,1207,227.54258530902973,True,0.060755545885596035,0.046748839859482715,0.1937325718585536
all_observed,northern_midlatitude,tropical,selfing_mating_system,1914,697,177.7721195608841,True,0.028046949306923048,0.04961014923691885,0.5718377626358625
all_observed,northern_midlatitude,tropical,autonomous_selfing,1963,1204,104.72922102490915,True,0.1436560104783989,0.04826118381119706,0.0029142913596058614
all_observed,northern_midlatitude,tropical,plain_colour,2068,1359,97.4698638259019,True,0.0280661453003629,0.04059129951676662,0.48929376130134233
all_observed,northern_midlatitude,tropical,generalized_form,1951,1086,316.9805767581266,True,0.13500441438817493,0.05076560321165766,0.00782874293225671
all_observed,northern_midlatitude,tropical,actinomorphic_symmetry,2070,1352,136.5474240152048,True,0.07570778370118382,0.04109967969080534,0.06546741400019251
all_observed,northern_midlatitude,tropical,shallow_open_tube,1796,1044,53.83177114007311,True,-0.029751978522308768,0.07454797614472983,0.6898206960282824
all_native,northern_midlatitude,tropical,self_compatibility,238,133,171.38753610815394,True,-0.005685458966754367,0.08563675346421336,0.9470670069930139
all_native,northern_midlatitude,tropical,selfing_mating_system,230,90,157.74263018741323,True,-0.07776965750943418,0.10606823971831186,0.4634340167784135
all_native,northern_midlatitude,tropical,autonomous_selfing,236,133,62.21967996171155,True,0.2529786596788964,0.12340786983516815,0.04037034079052158
all_native,northern_midlatitude,tropical,plain_colour,238,136,207.38114784943681,True,0.0011870608670379334,0.06214627861303028,0.9847604720862686
all_native,northern_midlatitude,tropical,generalized_form,234,132,134.1509991409209,True,-0.08617906509465555,0.08768231707496535,0.32567846366416137
all_native,northern_midlatitude,tropical,actinomorphic_symmetry,237,135,96.32286857724237,True,-0.1011559051138893,0.07417144325027511,0.17262673935243836
all_native,northern_midlatitude,tropical,shallow_open_tube,229,125,94.6309976576873,True,-0.14413340878045733,0.16786295735930296,0.39054061212002145
native_nonendemic,northern_midlatitude,tropical,self_compatibility,238,132,286.4464177860236,True,-0.029466534445892905,0.07392437842784322,0.6901851981627387
native_nonendemic,northern_midlatitude,tropical,selfing_mating_system,230,90,153.9530259004774,True,-0.08090409922519319,0.1074702407693873,0.45156729958364566
native_nonendemic,northern_midlatitude,tropical,autonomous_selfing,236,132,408.1899619588239,True,0.1989195509210516,0.08950597803647078,0.02625517996163432
native_nonendemic,northern_midlatitude,tropical,plain_colour,238,136,419.5662986720661,True,0.01373672752103446,0.04455428509637959,0.7578431124545447
native_nonendemic,northern_midlatitude,tropical,generalized_form,233,131,166.36933634439154,True,-0.04505650950381366,0.07704027106949132,0.5586528844950615
native_nonendemic,northern_midlatitude,tropical,actinomorphic_symmetry,237,133,102.66799557899425,True,-0.12711915085251002,0.08705233577848494,0.14421829318434912
native_nonendemic,northern_midlatitude,tropical,shallow_open_tube,228,125,137.98600390749635,True,-0.1300274338209412,0.16870734623364544,0.44086831840776236
