"candidate_id","accepted_species","trait_name","axis","raw_value","normalized_value","source_url","page_title","domain","language","supporting_excerpt","source_lineage","lineage_method","name_match_method","matched_page_name","source_tier","source_type","domain_review_status","evidence_status","content_sha256","retrieved_at_utc","query","search_rank","already_direct_in_baseline","source_run_id","source_artifact_id","source_artifact_name"
"c843b1a40e02f0cfe37670b6","Aneilema acuminatum","flower_size_class","floral_structural_complexity","2–4 mm","very_small","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Aneilema~acuminatum","PlantNET - FloraOnline","plantnet.rbgsyd.nsw.gov.au","unknown_not_recorded","Outer tepals 2–4 mm long;","url:https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Aneilema~acuminatum","canonical_url","exact_accepted_name","Aneilema acuminatum","A","institutional_regional_flora","approved_registry_trait","review_only_not_promoted","11d0a0751bc9570c963c9c5941711fc6af4be1a94064911fd162ae5b55c913ea","2026-08-08T08:00:50.478892Z","inventory:plantnet.rbgsyd.nsw.gov.au","620","False","31247162370","9018965291","open-web-domain-backfill-31247162370"
"903883fcf0ac75da93927d02","Aneilema biflorum","flower_size_class","floral_structural_complexity","2–3 mm","very_small","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Aneilema~biflorum","PlantNET - FloraOnline","plantnet.rbgsyd.nsw.gov.au","unknown_not_recorded","Outer tepals 2–3 mm long;","url:https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Aneilema~biflorum","canonical_url","exact_accepted_name","Aneilema biflorum","A","institutional_regional_flora","approved_registry_trait","review_only_not_promoted","3d780dc568765ebaab719147569a1971c49deadd57e8b19b671219c89ce3be84","2026-08-08T08:00:51.106051Z","inventory:plantnet.rbgsyd.nsw.gov.au","621","False","31247162370","9018965291","open-web-domain-backfill-31247162370"
"92f54b5ef13415791c945888","Arthropodium minus","flower_size_class","floral_structural_complexity","3–6 mm","very_small","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Arthropodium~minus","PlantNET - FloraOnline","plantnet.rbgsyd.nsw.gov.au","unknown_not_recorded","Tepals 3–6 mm long, white to purple;","url:https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Arthropodium~minus","canonical_url","exact_accepted_name","Arthropodium minus","A","institutional_regional_flora","approved_registry_trait","review_only_not_promoted","a7b7f7e4874fdf936c46d0372c73f989fdfd3d1fb2b1d06a96867713aab3431e","2026-08-08T07:55:20.884124Z","inventory:plantnet.rbgsyd.nsw.gov.au","91","False","31247162370","9018965291","open-web-domain-backfill-31247162370"
"378803c94af0457904764f1c","Bauera capitata","flower_size_class","floral_structural_complexity","6 mm","small","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Bauera~capitata","PlantNET - FloraOnline","plantnet.rbgsyd.nsw.gov.au","unknown_not_recorded","Petals 4, c. 6 mm long, deep pink","url:https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Bauera~capitata","canonical_url","exact_accepted_name","Bauera capitata","A","institutional_regional_flora","approved_registry_trait","review_only_not_promoted","52ac17ed33899e1fd5afee8ae5119ff5dda71f67df8c0346e4976d64f57ee4e2","2026-08-08T08:01:20.340287Z","inventory:plantnet.rbgsyd.nsw.gov.au","668","False","31247162370","9018965291","open-web-domain-backfill-31247162370"
"ccc006e9a336a3cda6f8a713","Bauera microphylla","flower_size_class","floral_structural_complexity","3–6 mm","very_small","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Bauera~microphylla","PlantNET - FloraOnline","plantnet.rbgsyd.nsw.gov.au","unknown_not_recorded","Petals 5–7, 3–6 mm long, white or tinged with pink","url:https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Bauera~microphylla","canonical_url","exact_accepted_name","Bauera microphylla","A","institutional_regional_flora","approved_registry_trait","review_only_not_promoted","94486d33d6886786c91b035aaea95ece4a23fcf74d21f79e8fa2dbd4c83d295c","2026-08-08T08:01:20.962682Z","inventory:plantnet.rbgsyd.nsw.gov.au","669","False","31247162370","9018965291","open-web-domain-backfill-31247162370"
"53ca3e73a02f7730d2fd1cbf","Bergia ammannioides","flower_size_class","floral_structural_complexity","1.5–2 mm","very_small","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Bergia~ammannioides","PlantNET - FloraOnline","plantnet.rbgsyd.nsw.gov.au","unknown_not_recorded","Petals 5, 1.5–2 mm long, obtuse","url:https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Bergia~ammannioides","canonical_url","exact_accepted_name","Bergia ammannioides","A","institutional_regional_flora","approved_registry_trait","review_only_not_promoted","4834c1e346bcf15fb2ccc3cf046caed558f2dc8295db321d29708650f68c56d3","2026-08-08T08:03:52.575965Z","inventory:plantnet.rbgsyd.nsw.gov.au","912","False","31247162370","9018965291","open-web-domain-backfill-31247162370"
"088793b0a244d75fdd6caf72","Caesia alpina","flower_size_class","floral_structural_complexity","3–4.5 mm","very_small","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Caesia~alpina","PlantNET - FloraOnline","plantnet.rbgsyd.nsw.gov.au","unknown_not_recorded","Tepals elliptic, 3–4.5 mm long, greenish white","url:https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Caesia~alpina","canonical_url","exact_accepted_name","Caesia alpina","A","institutional_regional_flora","approved_registry_trait","review_only_not_promoted","3a6d763cdff12f943be10b3f2fde3fc68be1c22d429dbde835c1187b520b37bd","2026-08-08T07:55:21.506813Z","inventory:plantnet.rbgsyd.nsw.gov.au","92","False","31247162370","9018965291","open-web-domain-backfill-31247162370"
"1d4b425b193c0db2b3e84952","Caesia calliantha","flower_size_class","floral_structural_complexity","6–10 mm","small","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Caesia~calliantha","PlantNET - FloraOnline","plantnet.rbgsyd.nsw.gov.au","unknown_not_recorded","Tepals narrow-elliptic, 6–10 mm long, usually blue or purple with darker veins","url:https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Caesia~calliantha","canonical_url","exact_accepted_name","Caesia calliantha","A","institutional_regional_flora","approved_registry_trait","review_only_not_promoted","84c73ca40b142fc66ab4997e4da0bbd3696de581f9e5f9a7ef51f3563ac89b84","2026-08-08T07:55:22.127632Z","inventory:plantnet.rbgsyd.nsw.gov.au","93","False","31247162370","9018965291","open-web-domain-backfill-31247162370"
"2e24012c4de92f57580629c5","Caesia parviflora","flower_size_class","floral_structural_complexity","3–8.5 mm","small","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Caesia~parviflora","PlantNET - FloraOnline","plantnet.rbgsyd.nsw.gov.au","unknown_not_recorded","Tepals narrow-elliptic, 3–8.5 mm long, greenish white to blue","url:https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Caesia~parviflora","canonical_url","exact_accepted_name","Caesia parviflora","A","institutional_regional_flora","approved_registry_trait","review_only_not_promoted","da6231132a5ed5d56f6c1e40bfa3cf7bfc668d6ec05c2e398eae245f844f549e","2026-08-08T07:55:22.748846Z","inventory:plantnet.rbgsyd.nsw.gov.au","94","False","31247162370","9018965291","open-web-domain-backfill-31247162370"
"0a8c8241bea5ca179b2bd02b","Capparis mitchellii","flower_size_class","floral_structural_complexity","2–2.5 cm","medium","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Capparis~mitchellii","PlantNET - FloraOnline","plantnet.rbgsyd.nsw.gov.au","unknown_not_recorded","Petals 2–2.5 cm long, cream to yellowish","url:https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Capparis~mitchellii","canonical_url","exact_accepted_name","Capparis mitchellii","A","institutional_regional_flora","approved_registry_trait","review_only_not_promoted","056f0e803ff0e62a9252ac7f380df2e088a9eff4cc45ed0cfbaaf3e4525a2bae","2026-08-08T07:59:59.269381Z","inventory:plantnet.rbgsyd.nsw.gov.au","538","False","31247162370","9018965291","open-web-domain-backfill-31247162370"
