candidate_id,accepted_species,trait_name,normalized_value,evidence_quality,evidence_scope,source_url,source_citation,source_excerpt,source_lineage,name_match_method,source_tier,content_sha256,content_sha256_basis,retrieved_at_utc,inference_rule,source_group,source_provider,source_type,language,source_run_id,source_artifact,source_file
1e51e3e340b7796675629197,Beilschmiedia wangii,flower_size_class,very_small,high,species_direct,https://list.worldfloraonline.org/wfo-0000562154,"Flora of China treatment for Beilschmiedia wangii, distributed by World Flora Online.","Flowers white, 4-5 mm",provider_treatment:flora_of_china_efloras:wfo-0000562154,accepted_name_exact,A,9af9d7d3f07cabf9492888ec9f7c1f8359d334b733a560c14a1c5350a172ccd6,downloaded_wfo_taxon_page_bytes,2026-08-10T07:25:00Z,,latest_public_web,World Flora Online / Flora of China,official_flora_species_treatment,en,agent-promoted-all-pending-20260807,committed-pending-common-evidence,data/v2/staging/traits/direct_llm_pilot/20260807_agent_promoted_all_pending/promoted_common_direct_evidence.csv.gz
da6711eadd8c0da4734cc3d2,Grewia truncata,flower_size_class,medium,high,species_direct,https://list.worldfloraonline.org/wfo-0000710367,"Flora Zambesiaca treatment for Grewia truncata, distributed by World Flora Online.","Petals white, 10?16 mm",provider_treatment:flora_zambesiaca_kew:wfo-0000710367,accepted_name_exact,A,f5e0106cb885098ffe5a726b502b20884af79b1e640f9594574c1fea590c5c6f,downloaded_wfo_taxon_page_bytes,2026-08-10T07:25:00Z,,latest_public_web,World Flora Online / Kew Flora Zambesiaca,official_flora_species_treatment,en,agent-promoted-all-pending-20260807,committed-pending-common-evidence,data/v2/staging/traits/direct_llm_pilot/20260807_agent_promoted_all_pending/promoted_common_direct_evidence.csv.gz
5e4ca438cec3b59cb38922e6,Heptapleurum heptaphyllum,floral_symmetry,actinomorphic,high,synonym_direct,https://syhuherbarium.sls.cuhk.edu.hk/collections/factsheet-pro/schefflera-heptaphylla/,"Shiu Ying Hu Herbarium species factsheet for Schefflera heptaphylla, a strict synonym of Heptapleurum heptaphyllum.",Flower symmetry: Radial (Actinomorphic).,url:https://syhuherbarium.sls.cuhk.edu.hk/collections/factsheet-pro/schefflera-heptaphylla,exact_synonym,A,a1e3ae7efec7d73ec136464eeffa0bef74cd24d5b3e70a42b4be652cc705aca2,downloaded_html_bytes,2026-08-10T07:25:00Z,,latest_public_web,"Shiu Ying Hu Herbarium, CUHK",university_herbarium_species_factsheet,en,agent-promoted-all-pending-20260807,committed-pending-common-evidence,data/v2/staging/traits/direct_llm_pilot/20260807_agent_promoted_all_pending/promoted_common_direct_evidence.csv.gz
4e578e50ef6d623abd8c7815,Gaultheria antipoda,floral_symmetry,actinomorphic,high,species_direct,https://www.nzplants.auckland.ac.nz/en/about/seed-plants-flowering/ericaceae/gaultheria-antipoda.html,University of Auckland New Zealand Plants species account for Gaultheria antipoda.,Arrangement of parts: symmetric,url:https://www.nzplants.auckland.ac.nz/en/about/seed-plants-flowering/ericaceae/gaultheria-antipoda.html,accepted_name_exact,A,6dea1cc71b47a21579cb12655a89dc97385d73abe6adfd45b3d57f561c074039,downloaded_html_bytes,2026-08-10T07:25:00Z,,latest_public_web,University of Auckland New Zealand Plants,university_botanical_species_account,en,agent-promoted-all-pending-20260807,committed-pending-common-evidence,data/v2/staging/traits/direct_llm_pilot/20260807_agent_promoted_all_pending/promoted_common_direct_evidence.csv.gz
671b7a97b4e6dd2ea93dce66,Olearia argophylla,floral_form,composite_head,medium,species_direct,https://apps.lucidcentral.org/plants_se_nsw/text/entities/olearia_argophylla.htm,Plants of South Eastern New South Wales species account for Olearia argophylla.,"Flower heads 10?27 mm in diameter overall, conical below the petals, with 3?8 white petals, and cream or pale yellow centres.",url:https://apps.lucidcentral.org/plants_se_nsw/text/entities/olearia_argophylla.htm,accepted_name_exact,B,a288be617da58946ad79113ca9674b9357475b99d5fb3cdf243734844d5c8760,downloaded_html_bytes,2026-08-10T07:25:00Z,,latest_public_web,Lucid Central Plants of South Eastern NSW,specialist_regional_flora_species_account,en,agent-promoted-all-pending-20260807,committed-pending-common-evidence,data/v2/staging/traits/direct_llm_pilot/20260807_agent_promoted_all_pending/promoted_common_direct_evidence.csv.gz
24f4bdf33df420d6c4262c04,Prasophyllum colensoi,inflorescence_display,raceme_spike_panicle,medium,species_direct,https://www.nzpcn.org.nz/flora/species/prasophyllum-colensoi/,New Zealand Plant Conservation Network species account for Prasophyllum colensoi.,"Raceme 5-20-flowered, flowers evenly spaced, or clumped together and more or less overlapping.",provider:nzpcn_species_factsheet,accepted_name_exact,B,1eed2d06c8188f17d5275747ef9b354117a173b87d05962d3ad94854a5d1a0d0,downloaded_html_bytes,2026-08-10T07:25:00Z,,latest_public_web,New Zealand Plant Conservation Network,specialist_conservation_species_account,en,agent-promoted-all-pending-20260807,committed-pending-common-evidence,data/v2/staging/traits/direct_llm_pilot/20260807_agent_promoted_all_pending/promoted_common_direct_evidence.csv.gz
f5b94270acd93d89654e6556,Jasminum nudiflorum,flower_size_class,medium,medium,species_direct,https://mikawanoyasou.org/data/oubai.htm,??????? species account for Jasminum nudiflorum.,????????2?2.5???????0.8?2?????5?6????0.8?1.3??,url:https://mikawanoyasou.org/data/oubai.htm,accepted_name_exact,B,a747d6c9564c7a8d333010a1d7158246ef67498be3bddb05e4a91a733c5da90c,downloaded_html_bytes,2026-08-10T07:25:00Z,,latest_public_web,???????,expert_personal_botanical_species_account,ja,agent-promoted-all-pending-20260807,committed-pending-common-evidence,data/v2/staging/traits/direct_llm_pilot/20260807_agent_promoted_all_pending/promoted_common_direct_evidence.csv.gz
9e0deebdc7b41d2adc7ffabd,Camellia amplexicaulis,inflorescence_display,solitary,medium,species_direct,https://mikawanoyasou.org/data/kaidoutubaki.htm,??????? species account for Camellia amplexicaulis.,??????????????7??,url:https://mikawanoyasou.org/data/kaidoutubaki.htm,accepted_name_exact,B,02679eda5135b287c0e8c71117da475d23887343ef9595492b9b6d05a1a1dbd5,downloaded_html_bytes,2026-08-10T07:25:00Z,,latest_public_web,???????,expert_personal_botanical_species_account,ja,agent-promoted-all-pending-20260807,committed-pending-common-evidence,data/v2/staging/traits/direct_llm_pilot/20260807_agent_promoted_all_pending/promoted_common_direct_evidence.csv.gz
8c403f767116d0f62db1898c,Myrsine juergensenii,tube_depth_class,shallow,high,species_direct,https://list.worldfloraonline.org/wfo-0000404142,"Flora of Panama treatment for Myrsine juergensenii, distributed by World Flora Online.","Petals lanceolate, 3 mm long, connate ca. 1 mm basally, apically obtuse, minutely papillose-puberulent, punctate with orange glands.",provider_treatment:flora_of_panama:Myrsine juergensenii,accepted_name_exact,A,6a4ca10aade41cc5704d5155cd7206e79c11ffe04422aeefb884f3725f30fb5b,downloaded_wfo_taxon_page_bytes,2026-08-10T07:25:00Z,,latest_public_web,World Flora Online / Flora of Panama,official_flora_species_treatment,en,wfo-global-six-source-acquisition-20260810,committed-wfo-global-six-source-package,data/v2/staging/traits/direct_llm_pilot/20260810_wfo_global_six_source_acquisition/wfo_global_six_evidence.csv.gz
c784deb9ddebe38a7b855de0,Litsea glutinosa,flower_size_class,very_small,high,species_direct,https://apps.lucidcentral.org/rainforest/text/entities/litsea_glutinosa.htm,CSIRO Australian Tropical Rainforest Plants species account for Litsea glutinosa.,Male flowers: Tepals about 2-2.9 mm long. Female flowers: Tepals about 1.8-2.8 mm long.,url:https://apps.lucidcentral.org/rainforest/text/entities/litsea_glutinosa.htm,accepted_name_exact,A,4b62d64e900aaee6da517ef88f6a151c5bafcd456a5033834fd7b9d781669ad8,downloaded_html_bytes,2026-08-10T07:25:00Z,,latest_public_web,CSIRO Australian Tropical Rainforest Plants,government_research_flora_species_account,en,curated-support2-20260810,curated-support2-evidence-20260810,external_source_snapshot_sha256
e2a0e7d1eef2275d6e2dac2b,Angraecum eburneum,inflorescence_display,raceme_spike_panicle,high,species_direct,https://www.botanic.cam.ac.uk/the-garden/plant-list/angraecum-eburneum/,Cambridge University Botanic Garden species account for Angraecum eburneum.,The racemes can reach up to 60cm in length and bear up to 30 green and ivory flowers with a distinct inverted lip.,url:https://www.botanic.cam.ac.uk/the-garden/plant-list/angraecum-eburneum,accepted_name_exact,A,0bc8d418dc637fdd7f03ea060adff7def454327dea7c2a54e8f2af5ef84fed3e,downloaded_html_bytes,2026-08-10T07:25:00Z,,latest_public_web,Cambridge University Botanic Garden,university_botanic_garden_species_account,en,curated-support2-20260810,curated-support2-evidence-20260810,external_source_snapshot_sha256
