accepted_species,axis,trait_name,classification,normalized_values,n_source_lineages,source_lineages,candidate_ids
Alliaria petiolata,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:956e756ab428e5f7fa5d|dataset:dryad.cc2fqz6hr:v4,1d727362a9d2dfd117d84fdc|3ee7969415264ab56ac582e1
Asclepias incarnata,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:7399e529a0feaa320255|dataset:dryad.cc2fqz6hr:v4,3562d42dbd9b485470487027|68a8680319f44449474a6e4e
Banisteriopsis muricata,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SI"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:7c1cc94005b060b31758|dataset:dryad.cc2fqz6hr:v4,20069e1cab26b88b7142b3c4|2d2b5c797797beb51c341b75
Banksia ericifolia,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:e25c3ff72222b617ad72|dataset:dryad.cc2fqz6hr:v4,79659507186bdf1af2537131|8e8132bc6528b5bf8c11ca18
Bidens pilosa,reproductive_assurance,self_incompatibility,independent_source_agreement,"[""SC""]",2,citation_keys:razanajatovo2016:f424627fe7bda73f06f4|dataset:dryad.cc2fqz6hr:v4,d51d7fd51a3de3ac824a6dc4|d99793626dcac122350348f4
Cardamine angustata,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:0622bc1eb1e10873e30b|dataset:dryad.cc2fqz6hr:v4,3d977728b3a1dc59cf1a3236|8b5857fd7f412a571b701dee
Centrosema virginianum,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:875de2caec4ec128088f|dataset:dryad.cc2fqz6hr:v4,079a75faa89a92ea1d7c9179|bff3f035904b89fe9075565b
Clematis rehderiana,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:f6c7344ea1f9d22408b8|dataset:dryad.cc2fqz6hr:v4,5eac2bfcc8e8583b1a14e8aa|8223fce401e8db3a84aaa301
Crepis tectorum,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:61b59fa3cc25ecb5ff6d|dataset:dryad.cc2fqz6hr:v4,1d920ec155d3cb0c6a0adb42|529be968d28742164e41a3e1
Cyclamen creticum,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:96ad053d937be39adaad|dataset:dryad.cc2fqz6hr:v4,b184c5c5735bbf267dd18897|f678ec138bfe390c6cb6e0d3
Decodon verticillatus,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:5cf7f41401d40690ff2f|dataset:dryad.cc2fqz6hr:v4,4f09c70066d3aedec86f10be|ea995d2389d44efc91551720
Echium plantagineum,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:dfe7148222eaf9b99853|dataset:dryad.cc2fqz6hr:v4,13740f33c66a53c389e291b8|4a3d51a15dd78011464a5543
Erythrina crista-galli,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:52ef30d0e5660900f449|dataset:dryad.cc2fqz6hr:v4,37f48aa0e2eda8e73a610c3d|c221aa0ded210e5f8ca9fd4c
Erythrina goldmanii,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:e1b2b18e6e3c1bf77a1f|dataset:dryad.cc2fqz6hr:v4,37f4036c0dfb84a12389e5e8|c499ee9034bbd6379c9bdbe7
Erythrina guatemalensis,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:e1b2b18e6e3c1bf77a1f|dataset:dryad.cc2fqz6hr:v4,4fb8c4caf21e238c5bea7b7b|691b63351a529542008302a9
Faidherbia albida,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SI"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:fe893e79d0bafe8a42b1|dataset:dryad.cc2fqz6hr:v4,89dc4675010b9fc901d7af8c|a3d4674c1d0a025f5778e6fd
Genista monspessulana,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:ccab3a7dff012b710b8f|dataset:dryad.cc2fqz6hr:v4,1a15db5cbba49e14c98d1832|c6c283d322628294086ddf61
Kalmia latifolia,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:6b897a11b4535ffbfec3|dataset:dryad.cc2fqz6hr:v4,3f11d9a6c47c59f07bcc9d4b|a3e68efc731c2b66f0fb68fc
Liparis kumokiri,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:654d35c6e78100fc8668|dataset:dryad.cc2fqz6hr:v4,6968d59cc89be0555b88b851|dd429eabfd7c25a1f23e7882
Lonchocarpus guatemalensis,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:430ac10e42df635d0d21|dataset:dryad.cc2fqz6hr:v4,2eab0ada0bd5d95e0a8bbd7f|827a358431b167a243b474f7
Ludwigia nervosa,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SI"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:d90a5990e60c1fa6918f|dataset:dryad.cc2fqz6hr:v4,23d3823e4f3c8b6feb87cfb5|559c43125a76652776530c4d
Magnolia obovata,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:bb51452058027e3917e7|dataset:dryad.cc2fqz6hr:v4,1daa1dca19e8d716122fa6b5|ecb2edf09a41d4dbaf651566
Malpighia glabra,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SI"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:fa3ec3896fabd28d1e06|dataset:dryad.cc2fqz6hr:v4,48806b963a087f60e9234916|e79706e3fc227b7feaab8b92
Melochia parvifolia,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SI"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:dc2fc1dc952fce4fcf7b|dataset:dryad.cc2fqz6hr:v4,1e5a3820d217353b3d3f5eb0|9de767d0b2c65d1060f69a54
Mimosa camporum,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:d90a5990e60c1fa6918f|dataset:dryad.cc2fqz6hr:v4,0b82465b8babb0c40d71a96e|ae6c3d2c3d560f0d9c2235a2
Myrcia splendens,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SI"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:d9c410d0398d16480c1e|dataset:dryad.cc2fqz6hr:v4,a958343d186d609bd1a87d56|aec5999d62071e2c90a3ed6f
Nothofagus dombeyi,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:fb3fd7924e2354bee16c|dataset:dryad.cc2fqz6hr:v4,87443b0d9d8aae7e82d4062b|ce3da5aff82d0836aecdb390
Nothofagus nitida,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SI"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:fb3fd7924e2354bee16c|dataset:dryad.cc2fqz6hr:v4,00a63f48a5590a7cd88b1284|4c937850475825950b0108ee
Nothofagus obliqua,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SI"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:fb3fd7924e2354bee16c|dataset:dryad.cc2fqz6hr:v4,80697ae077da8e17c6ac9eed|e809c56427942e408002de9f
Oenothera biennis,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:07d3c5f6dcdc10b814e3|dataset:dryad.cc2fqz6hr:v4,87125331a13fc2d70959c0c0|978a1d034466258e9543ce29
Oenothera rosea,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:9aeeb8f4f5ef0e099a97|dataset:dryad.cc2fqz6hr:v4,00a582cefffa578cb0a960d0|06ff58a68d5c528bcd72b5b8
Phyllanthus niruri,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SI"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:ceb033c55950f68b8831|dataset:dryad.cc2fqz6hr:v4,44d82131a8ea0b0dcc4bf006|5995b4211f85b4dffc14a4ae
Pterocarpus santalinus,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:0a8ccca5d04d9ac780a2|dataset:dryad.cc2fqz6hr:v4,127a7bdab5a9a5334c3089be|aa37f37c7aaca4834ecb7290
Rhododendron simsii,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SI"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:20c5b2d192b01f1495fb|dataset:dryad.cc2fqz6hr:v4,ce18c0f8e8e6969dae6cda92|fe8096ad499dd528bb2488be
Rhynchanthera grandiflora,reproductive_assurance,self_incompatibility,unresolved_direct_conflict,"[""SC"",""mixed_or_variable""]",2,citation_keys:razanajatovo2016:d1b0f2d6ab27a4e8bb4a|dataset:dryad.cc2fqz6hr:v4,0d47d40555d2240744edce08|c2a5b1a95ef590c78bb0e0c0
