accepted_species,genus,family,n_islands,n_records
Sambucus mexicana,Sambucus,Viburnaceae,15,56
Allium sativum,Allium,Amaryllidaceae,52,349
Pentaglottis sempervirens,Pentaglottis,Boraginaceae,55,120979
Lobularia maritima,Lobularia,Brassicaceae,196,18074
Eriocaulon scariosum,Eriocaulon,Eriocaulaceae,5,16
Robinia pseudoacacia,Robinia,Fabaceae,227,23157
Theobroma cacao,Theobroma,Malvaceae,112,1213
Aglaia argentea,Aglaia,Meliaceae,21,403
Diplacus aurantiacus,Diplacus,Phrymaceae,5,46
Hottonia palustris,Hottonia,Primulaceae,54,14293
Clematis vitalba,Clematis,Ranunculaceae,119,110165
Rubia peregrina,Rubia,Rubiaceae,105,18520
Salix triandra,Salix,Salicaceae,63,10179
Viburnum trilobum,Viburnum,Viburnaceae,14,444
