source_species,japanese_name,life_form,major_habitat,surveyed_area,treated_month,open_fsr_percent,open_n,bagged_fsr_percent,bagged_n,exact_test_p
Picris hieracioides,コウゾリナ,annual_or_biennial,Ext,UR,July,100.0,32,100.0,26,1.000
Phtheirospermum japonicum,コシオガマ,annual_or_biennial,Ext,UR,Sept.,81.0,21,91.7,24,0.323
Corydalis speciosa,エゾキケマン,annual_or_biennial,Ext,OT,June,100.0,59,91.5,59,0.027
Corydalis ochotensis,ナガミノツルキケマン,annual_or_biennial,Ext,OT,Aug.,100.0,34,100.0,39,1.000
Corydalis incisa,ムラサキケマン,annual_or_biennial,Ext,OT,June,100.0,51,98.6,73,1.000
Chelidonium majus,クサノオウ,annual_or_biennial,Ext,OT,May,100.0,22,100.0,20,1.000
Polygonum sagittatum,アキノウナギツカミ,annual_or_biennial,Ext,UR,Sept.,100.0,20,100.0,20,1.000
Polygonum longisetum,イヌタデ,annual_or_biennial,Ext,UR,Sept.,100.0,20,100.0,20,1.000
Erigeron annuus,ヒメジョオン,semelparous_perennial,Ext,SR,July,100.0,19,100.0,22,1.000
Cardiocrinum cordatum,オオウバユリ,semelparous_perennial,Int,KY,July,72.7,30,14.5,29,<0.001
Solidago virgaurea,アキノキリンソウ,iteroparous_perennial,Int,UR,Sept.,100.0,23,0.0,31,<0.001
Solidago gigantea,オオアワダチソウ,iteroparous_perennial,Ext,SR,Aug.,90.6,32,90.5,147,1.000
Solidago altissima,セイタカアワダチソウ,iteroparous_perennial,Ext,UR,Sept.,100.0,68,96.4,56,0.198
Senecio cannabifolius,ハンゴンソウ,iteroparous_perennial,Ext,UR,Aug.,82.7,52,90.9,22,0.713
Rudbeckia laciniata,オオハンゴンソウ,iteroparous_perennial,Ext,UR,Aug.,100.0,20,100.0,23,1.000
Hieracium umbellatum,ヤナギタンポポ,iteroparous_perennial,Ext,SR,July,87.3,71,83.1,59,0.799
Cirsium kamtschaticum,チシマアザミ,iteroparous_perennial,Int,UR,Aug.,100.0,21,100.0,23,1.000
Aster scaber,シラヤマギク,iteroparous_perennial,Int,UR,Aug.,92.3,26,85.7,28,0.670
Adenophora triphylla,ツリガネニンジン,iteroparous_perennial,Int,UR,Aug.,84.5,791,26.5,223,<0.001
Patrinia scabiosaefolia,オミナエシ,iteroparous_perennial,Int,UR,Aug.,82.7,75,75.3,77,0.228
Phryma leptostachya,ハエドクソウ,iteroparous_perennial,Int,AH,July,95.5,44,57.7,52,<0.001
Clinopodium chinense,クルマバナ,iteroparous_perennial,Int,UR,Aug.,80.0,30,87.7,57,0.363
Gentiana triflora,エゾリンドウ,iteroparous_perennial,Int,UR,Sept.,100.0,23,10.7,28,<0.001
Lysimachia vulgaris,クサレダマ,iteroparous_perennial,Int,SR,July,66.7,24,97.7,44,0.002
Pyrola japonica,イチヤクソウ,iteroparous_perennial,Int,AH,June,100.0,22,85.5,27,0.239
Aralia cordata,ウド,iteroparous_perennial,Ext,AH,July,6.3,16,0.0,16,0.484
Vicia amoena,ツルフジバカマ,iteroparous_perennial,Ext,UR,Aug.,53.8,26,0.0,21,<0.001
Desmodium podocarpum,ヌスビトハギ,iteroparous_perennial,Int,AH,Aug.,69.4,36,74.3,35,0.592
Sanguisorba tenuifolia,ナガボノシロワレモコウ,iteroparous_perennial,Int,UR,Aug.,100.0,26,96.0,56,1.000
Agrimonia pilosa,キンミズヒキ,iteroparous_perennial,Ext,AH,July,100.0,83,100.0,50,1.000
Sedum purpureum,ムラサキベンケイソウ,iteroparous_perennial,Ext,SR,July,94.7,19,90.0,20,1.000
Corydalis ambigua,エゾエンゴサク,iteroparous_perennial,Int,KY,Apr.,95.8,3841,0.0,111,<0.001
Thalictrum minus,アキカラマツ,iteroparous_perennial,Int,UR,Aug.,91.7,37,100.0,30,0.245
Cimicifuga simplex,サラシナショウマ,iteroparous_perennial,Int,OT,Aug.,37.1,97,0.0,78,<0.001
Anemone flaccida,ニリンソウ,iteroparous_perennial,Int,KY,Apr.,100.0,261,100.0,48,1.000
Adonis ramosa,フクジュソウ,iteroparous_perennial,Int,KY,Apr.,100.0,50,97.8,46,0.474
