stratum,context,outcome,n_islands_original,n_species_trials_original,kappa_original,optimizer_success_original,geography_slope_log_odds_original,cluster_robust_se_original,p_value_original,n_islands_corrected,n_species_trials_corrected,kappa_corrected,optimizer_success_corrected,geography_slope_log_odds_corrected,cluster_robust_se_corrected,p_value_corrected,_merge
all_native,northern_midlatitude,actinomorphic_symmetry,237,42376,108.16166286577592,True,0.0649226382522172,0.0312530230760989,0.0377717145740717,237,42376,110.56456503855264,True,0.0732224201635052,0.03339186330907,0.0283201896529151,both
all_native,northern_midlatitude,autonomous_selfing,238,21758,54.43814609558041,True,-0.0769473475048986,0.0793009676404543,0.3318868064379876,238,21758,55.60894360769389,True,-0.0940661060619789,0.0841409608698205,0.2635846995637893,both
all_native,northern_midlatitude,generalized_form,234,22189,146.91810752928438,True,0.017591542603443,0.0249450414156647,0.4806783131668251,234,22189,146.5087214811224,True,0.0205962808246238,0.0294209736421761,0.4838933578850489,both
all_native,northern_midlatitude,plain_colour,238,43432,101.6786868514556,True,0.0543471058544398,0.0359944032827105,0.1310749244612319,238,43432,102.33789742635484,True,0.0587002262855888,0.040172477871592,0.1439591861271359,both
all_native,northern_midlatitude,self_compatibility,239,36816,873.7913839382962,True,0.0545470299057183,0.0158261856348986,0.0005676222480607,239,36816,882.9803307085228,True,0.0537573239425796,0.0191814098118408,0.0050696555661595,both
all_native,northern_midlatitude,selfing_mating_system,232,18957,72.69146990309692,True,0.022939987658433,0.0410850609729413,0.5766030177815856,232,18957,72.32440707086764,True,0.0127151484201104,0.0493676561154374,0.7967462705781696,both
all_native,northern_midlatitude,shallow_open_tube,229,5121,131.8778610490297,True,0.0381956404303312,0.0720745024909395,0.5961489276383657,229,5121,130.68317169163868,True,0.0536218096465397,0.0796281143414348,0.5006909520332669,both
all_native,tropical,actinomorphic_symmetry,136,30962,85.8287553897514,True,0.0230305231123883,0.0379017653169105,0.5434281128975817,136,30962,86.21930009259985,True,0.0288802946948592,0.0404315073178669,0.4750406369043466,both
all_native,tropical,autonomous_selfing,135,10216,41.84911606585601,True,0.0450012438894017,0.0612174597056622,0.4622757168638807,135,10216,41.89247198529455,True,0.0521398508376205,0.065204721401508,0.4239234277672002,both
all_native,tropical,generalized_form,134,7777,375.8359291654669,True,0.0361984547041204,0.0381902506131126,0.3432081464604488,134,7777,369.1850779502659,True,0.0302181422339696,0.0383510025353248,0.4307340401401702,both
all_native,tropical,plain_colour,136,26992,107.14042802397888,True,0.0325705348305067,0.0475961347725097,0.4937791174139829,136,26992,109.43485184754164,True,0.0407869955521068,0.0442357446101236,0.3565092492809373,both
all_native,tropical,self_compatibility,135,13267,76.48476845295976,True,-0.0738554104488351,0.0704580963082752,0.2945384037887562,135,13267,76.11664461977861,True,-0.071413111351971,0.0709992664704952,0.3144979013063733,both
all_native,tropical,selfing_mating_system,113,2691,97.87964327560027,True,-0.0735045560443501,0.1035413803165511,0.4777629750470428,113,2691,98.21554002203692,True,-0.0799683345943746,0.1031744684990209,0.4382931473560083,both
all_native,tropical,shallow_open_tube,126,4170,30.18270491745687,True,-0.0893691930926669,0.1019517100723726,0.3807128712176625,126,4170,30.176687170822888,True,-0.0815204690004885,0.1004949395147095,0.4172566873435605,both
all_observed,northern_high_latitude,actinomorphic_symmetry,369,20043,224.28049818101053,True,0.207535220681543,0.0811886080875651,0.0105818902480327,369,20043,290.2225943700392,True,0.2408562946029012,0.0831387424163267,0.0037670125591809,both
all_observed,northern_high_latitude,autonomous_selfing,340,10556,162754.79141900392,True,0.0510682990396844,0.0246159510873629,0.0380234453339156,340,10556,162754.79141900392,True,0.0642717346708241,0.031864076594382,0.0436893166573433,both
all_observed,northern_high_latitude,generalized_form,345,15925,162754.79141900392,True,0.056783079189551,0.0284131019888545,0.0456644054669782,345,15925,162754.79141900392,True,0.0554604407222815,0.033898176554505,0.101820919183552,both
all_observed,northern_high_latitude,plain_colour,382,20787,327.32183395775974,True,0.018846018517453,0.0226224830546614,0.4048075811626511,382,20787,333.176421484135,True,0.0357610865465854,0.0248727041172684,0.1505009359387202,both
all_observed,northern_high_latitude,self_compatibility,385,22150,162754.79141900392,True,0.0971665921859333,0.0380316241931865,0.0106221553999114,385,22150,162754.79141900392,True,0.1169124240018742,0.0417827083264859,0.0051403327274695,both
all_observed,northern_high_latitude,selfing_mating_system,352,15414,162754.79141900392,True,0.0706145080616491,0.023285311937745,0.0024247499799985,352,15414,162754.79141900392,True,0.0696270141561233,0.0262952375672962,0.0080994804150285,both
all_observed,northern_high_latitude,shallow_open_tube,205,1775,162754.79141900392,True,0.2705894436314667,0.1478307561625158,0.0671901198687918,205,1775,162754.79141900392,True,0.3687716740046011,0.1774162553019782,0.0376571146516291,both
all_observed,northern_midlatitude,actinomorphic_symmetry,2092,348999,207.5766994500974,True,0.0034925178226956,0.0229445087745648,0.8790166960021961,2091,348597,207.55836103824464,True,0.0054855247111438,0.0248768804950902,0.8254763706686497,both
all_observed,northern_midlatitude,autonomous_selfing,1996,185652,72.79949289203655,True,-0.0330892263488255,0.0358520888888704,0.3560399358194052,1995,185487,73.28615572388492,True,-0.0267340133162703,0.0374170631814507,0.4749259582365352,both
all_observed,northern_midlatitude,generalized_form,1977,252025,557.7189322353603,True,0.0366626836208659,0.0174327811670781,0.0354580238868321,1976,251794,624.7631574374998,True,0.0461288831311129,0.0146985133068591,0.0016990960434823,both
all_observed,northern_midlatitude,plain_colour,2078,315627,85.60526941413059,True,-7.397879756672711e-05,0.0205335926035372,0.9971253733407413,2077,315188,85.85631466309663,True,0.0018914800508409,0.019829049577667,0.9240055789589084,both
all_observed,northern_midlatitude,self_compatibility,2077,317636,397.0366699340237,True,0.0526462118105094,0.0204282544201922,0.0099625257917065,2076,317237,403.7792994795818,True,0.0560582636645469,0.0197548181658107,0.0045439752606752,both
all_observed,northern_midlatitude,selfing_mating_system,1957,231839,205.5902550874177,True,0.0375436279683344,0.0145908496772611,0.0100793823814155,1956,231645,213.3704022491087,True,0.0463361663668262,0.0142063573392686,0.0011076578625803,both
all_observed,northern_midlatitude,shallow_open_tube,1801,47743,98.40210032271632,True,0.019809270576274,0.0397117783395035,0.6179019154856317,1800,47679,97.4681492369259,True,0.0116433069060148,0.0416130398049575,0.7796313505377642,both
all_observed,southern_extratropical,actinomorphic_symmetry,275,26256,32.2238977695546,True,0.0910611735397477,0.0631908085800413,0.1495702946431033,275,26256,32.430286503456784,True,0.0960537892723406,0.0574979972822373,0.0948088425652054,both
all_observed,southern_extratropical,autonomous_selfing,251,13790,98.59029831363226,True,0.1054095539496968,0.0710966342713361,0.1381744205192323,251,13790,99.67323146364409,True,0.1172478336594278,0.0696024361030127,0.0920780606039686,both
all_observed,southern_extratropical,generalized_form,254,14475,170.64901038563698,True,0.1066928037672722,0.0429375052984912,0.0129609901629981,254,14475,164.94027215740172,True,0.1079166673405572,0.043133582480184,0.0123522685048114,both
all_observed,southern_extratropical,plain_colour,266,32841,617.9210226326122,True,0.0807861053633198,0.0197373620418466,4.25726969659128e-05,266,32841,571.8238091602987,True,0.074188183759091,0.0181167062863996,4.221410794441834e-05,both
all_observed,southern_extratropical,self_compatibility,260,22350,93.8028515520476,True,0.1964064905519802,0.0654424309697402,0.0026890887751083,260,22350,89.61924043799746,True,0.1760636906885323,0.0663909601456081,0.0080034875558829,both
all_observed,southern_extratropical,selfing_mating_system,220,8561,52.47461000224876,True,0.1450661180141213,0.0695020121777595,0.0368680857977804,220,8561,51.83401248722878,True,0.1245427746670978,0.0646386393246222,0.0540102603293169,both
