evidence_scope_original,context,response,analysis_role_original,model_family_original,status_original,n_islands_original,n_clusters_original,distance_estimate_original,distance_se_original,distance_p_original,selfing_core_estimate_original,selfing_core_se_original,selfing_core_p_original,kappa_original,optimizer_success_original,primary_H2b_q_original,evidence_scope_corrected,analysis_role_corrected,model_family_corrected,status_corrected,n_islands_corrected,n_clusters_corrected,distance_estimate_corrected,distance_se_corrected,distance_p_corrected,selfing_core_estimate_corrected,selfing_core_se_corrected,selfing_core_p_corrected,kappa_corrected,optimizer_success_corrected,primary_H2b_q_corrected,_merge
all_analysis_eligible,northern_high_latitude,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,316,59,0.1247639933882956,0.0349727926510168,0.0003604601706311,0.0159200657061293,0.0233493360408623,0.4953521963808707,,,0.0014418406825244,all_analysis_eligible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,316,59,0.1255693461398702,0.033895686604146,0.0002117397121938,0.0145145204832107,0.0240744584985707,0.5465744020247787,,,0.0008469588487754,both
all_analysis_eligible,northern_high_latitude,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,336,61,-0.0061331251058193,0.0191993660092747,0.7493897382014645,0.2976400381090437,0.0386243762133146,1.29806966489038e-14,640.0037959642116,True,0.856445415087388,all_analysis_eligible,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,336,61,0.0071370530085396,0.0194203580409615,0.7132433488307934,0.2943885287608042,0.0387076120158404,2.8393008270642135e-14,641.1476160360862,True,0.815135255806621,both
all_analysis_eligible,northern_high_latitude,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,347,61,0.0483456680195838,0.0275647992233847,0.0794490943627534,,,,,,,all_analysis_eligible,H2a_reproductive_assurance,clustered_ols,fit,347,61,0.0512765616965991,0.0283221533370472,0.0702220969200524,,,,,,,both
all_analysis_eligible,northern_midlatitude,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,1889,84,0.0214255318681055,0.0123723930982186,0.0833232653279893,0.0373153910733982,0.016346553794273,0.0224440336628347,,,0.1333172245247829,all_analysis_eligible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,1888,84,0.0206759470533544,0.0128079460653591,0.106461020696661,0.0373427349932357,0.0163336996305998,0.0222403022260684,,,0.1703376331146576,both
all_analysis_eligible,northern_midlatitude,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1952,85,-0.0026185489503763,0.0196373979921131,0.8939205358477146,0.1266443983666045,0.0379606254929151,0.0008493075467392,90.47127301863736,True,0.8939205358477146,all_analysis_eligible,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1951,85,-0.0005275578756154,0.0187729762953317,0.9775808118608365,0.1268348466058493,0.0379407057711085,0.0008288524286608,90.78515947934748,True,0.9775808118608365,both
all_analysis_eligible,northern_midlatitude,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,1991,85,0.0104587306131268,0.0112848965233241,0.3540355152332617,,,,,,,all_analysis_eligible,H2a_reproductive_assurance,clustered_ols,fit,1990,85,0.0112538681962787,0.0113347023956117,0.3207740754956682,,,,,,,both
all_analysis_eligible,southern_extratropical,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,221,38,0.0535719816209736,0.0333802707361406,0.1085159117047241,0.015910904554278,0.0275237139049786,0.5632102068019,,,0.1446878822729655,all_analysis_eligible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,221,38,0.0492884890870217,0.0397895168918008,0.2154453108703853,0.0170272885371211,0.0281685178459655,0.5455249664056523,,,0.2872604144938471,both
all_analysis_eligible,southern_extratropical,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,228,39,0.0803446007673388,0.0208386435017866,0.0001154659018182,0.0163585464008997,0.0394204683699724,0.6781595073955555,625.0483444243888,True,0.0009237272145459,all_analysis_eligible,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,228,39,0.0754282162849058,0.0201724711008575,0.0001846318459972,0.0191174525859857,0.0389425335338666,0.6234869536245173,576.4093074039562,True,0.0008469588487754,both
all_analysis_eligible,southern_extratropical,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,249,40,0.1023190368251118,0.0440471577415051,0.0201822146273575,,,,,,,all_analysis_eligible,H2a_reproductive_assurance,clustered_ols,fit,249,40,0.1059603055419113,0.0406711091894027,0.0091794738065168,,,,,,,both
all_analysis_eligible,tropical,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,977,102,0.0732811688220538,0.0235403689160973,0.0018519600745153,-0.0465881423833523,0.020524426901213,0.0232144028841111,,,0.0049385601987075,all_analysis_eligible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,977,102,0.0684596125596742,0.0249445613240807,0.0060608602531915,-0.0458127381159493,0.0205212260566003,0.0255848277080924,,,0.0161622940085108,both
all_analysis_eligible,tropical,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1076,104,0.0610710717385863,0.0272561218363616,0.0250496058932683,-0.1553995225938063,0.024352737628491,1.7571351229742762e-10,143.0645869012843,True,0.0500992117865367,all_analysis_eligible,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1076,104,0.0575875853271362,0.0267652149365649,0.0314302008207336,-0.1536521779307504,0.0247394446727193,5.27096340002164e-10,141.92342158984692,True,0.0628604016414673,both
all_analysis_eligible,tropical,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,1103,104,0.0620983403191372,0.0291594499245137,0.0332035862827786,,,,,,,all_analysis_eligible,H2a_reproductive_assurance,clustered_ols,fit,1103,104,0.0608304668822451,0.0294949187647501,0.0391691970766803,,,,,,,both
