evidence_scope,context,response,analysis_role,model_family,status,n_islands,n_clusters,distance_estimate,distance_se,distance_p,selfing_core_estimate,selfing_core_se,selfing_core_p,kappa,optimizer_success,primary_H2b_q
all_analysis_eligible,northern_midlatitude,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,1990,85,0.011253868196278764,0.011334702395611794,0.3207740754956682,,,,,,
all_analysis_eligible,northern_midlatitude,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,1888,84,0.020675947053354404,0.012807946065359158,0.10646102069666101,0.037342734993235704,0.01633369963059987,0.02224030222606845,,,0.1703376331146576
all_analysis_eligible,northern_midlatitude,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1951,85,-0.0005275578756154171,0.01877297629533178,0.9775808118608365,0.12683484660584932,0.03794070577110859,0.0008288524286608467,90.78515947934747,True,0.9775808118608365
all_analysis_eligible,northern_high_latitude,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,347,61,0.05127656169659919,0.02832215333704729,0.07022209692005245,,,,,,
all_analysis_eligible,northern_high_latitude,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,316,59,0.1255693461398702,0.03389568660414604,0.00021173971219385203,0.014514520483210749,0.02407445849857076,0.5465744020247787,,,0.0008469588487754081
all_analysis_eligible,northern_high_latitude,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,336,61,0.007137053008539654,0.019420358040961566,0.7132433488307934,0.2943885287608042,0.03870761201584042,2.8393008270642138e-14,641.1476160360862,True,0.815135255806621
all_analysis_eligible,tropical,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,1103,104,0.06083046688224513,0.029494918764750112,0.03916919707668038,,,,,,
all_analysis_eligible,tropical,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,977,102,0.0684596125596742,0.02494456132408078,0.0060608602531915835,-0.04581273811594937,0.020521226056600308,0.02558482770809248,,,0.01616229400851089
all_analysis_eligible,tropical,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1076,104,0.05758758532713628,0.026765214936564925,0.03143020082073369,-0.15365217793075045,0.02473944467271933,5.27096340002164e-10,141.92342158984692,True,0.06286040164146738
all_analysis_eligible,southern_extratropical,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,249,40,0.10596030554191137,0.04067110918940275,0.009179473806516809,,,,,,
all_analysis_eligible,southern_extratropical,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,221,38,0.0492884890870217,0.039789516891800866,0.21544531087038532,0.01702728853712112,0.028168517845965548,0.5455249664056523,,,0.2872604144938471
all_analysis_eligible,southern_extratropical,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,228,39,0.07542821628490581,0.020172471100857535,0.00018463184599720687,0.019117452585985784,0.03894253353386665,0.6234869536245173,576.4093074039562,True,0.0008469588487754081
