accepted_species,genus,family,n_islands,n_records
Kummerowia striata,Kummerowia,Fabaceae,107,1800
Serapias orientalis,Serapias,Orchidaceae,32,647
Osmorhiza aristata,Osmorhiza,Apiaceae,32,1871
Tragopogon porrifolius,Tragopogon,Asteraceae,136,8807
Helianthemum tholiforme,Helianthemum,Cistaceae,1,40
Libertia micrantha,Libertia,Iridaceae,9,4919
Epifagus virginiana,Epifagus,Orobanchaceae,16,294
Pulsatilla pratensis,Pulsatilla,Ranunculaceae,27,6499
Lathyrus niger,Lathyrus,Fabaceae,101,2001
Ophrys speculum,Ophrys,Orchidaceae,31,2598
