site_key,latitude,longitude,on_seeded_continent,spherical_distance_km
-0.170555556|37.27,-0.170555556,37.27,True,0.0
-0.478611111|-90.16805556,-0.478611111,-90.16805556,False,1031.2026914028945
-0.478611111|-90.168056,-0.478611111,-90.168056,False,1031.202740229803
-1.270722222|-90.488306,-1.270722222,-90.488306,False,1058.2947867687124
-1.45|-48.49138889,-1.45,-48.49138889,True,0.0
-10.14973333|-77.44326667,-10.14973333,-77.44326667,True,0.0
-10.8875|-43.37277778,-10.8875,-43.37277778,True,0.0
-11.27305556|-41.08472222,-11.27305556,-41.08472222,True,0.0
-11.56444444|-41.16944444,-11.56444444,-41.16944444,True,0.0
-12.19833333|-38.98277778,-12.19833333,-38.98277778,True,0.0
-12.35555556|-70.71166667,-12.35555556,-70.71166667,True,0.0
-12.94972222|-38.33888889,-12.94972222,-38.33888889,False,0.2768731113351929
-12.972184|-38.501466,-12.972184,-38.501466,True,0.0
-12.98333333|-41.35583333,-12.98333333,-41.35583333,True,0.0
-13.13333333|-60.13333333,-13.13333333,-60.13333333,True,0.0
-13.85|-40.08472222,-13.85,-40.08472222,True,0.0
-14.06666667|-57.05083333,-14.06666667,-57.05083333,True,0.0
-15.26027778|-48.71166667,-15.26027778,-48.71166667,True,0.0
-15.30035|166.91821,-15.30035,166.91821,False,1832.8394234297302
-15.793079|-48.842361,-15.793079,-48.842361,True,0.0
-15.85|-52.27111111,-15.85,-52.27111111,True,0.0
-15.91666667|-47.93194444,-15.91666667,-47.93194444,True,0.0
-15.94222222|-47.88111111,-15.94222222,-47.88111111,True,0.0
-15.94472222|-47.89805556,-15.94472222,-47.89805556,True,0.0
-15.95|-47.93194444,-15.95,-47.93194444,True,0.0
-15|-47.55,-15.0,-47.55,True,0.0
-15|-47.935,-15.0,-47.935,True,0.0
-18.00638889|-43.38972222,-18.00638889,-43.38972222,True,0.0
-18.15944444|-47.93194444,-18.15944444,-47.93194444,True,0.0
-18.16016528|-47.93194444,-18.16016528,-47.93194444,True,0.0
-18.5523|-48.1719,-18.5523,-48.1719,True,0.0
-18.86666667|-48.23722222,-18.86666667,-48.23722222,True,0.0
-18.91666667|-48.28805556,-18.91666667,-48.28805556,True,0.0
-18.938276|-48.266412,-18.938276,-48.266412,True,0.0
-18.95|-48.20333333,-18.95,-48.20333333,True,0.0
-18.983333|-48.3,-18.983333,-48.3,True,0.0
-19.15555556|-48.38972222,-19.15555556,-48.38972222,True,0.0
-19.16666667|-43.50833333,-19.16666667,-43.50833333,True,0.0
-19.166667|-48.4,-19.166667,-48.4,True,0.0
-19.17083333|-48.38972222,-19.17083333,-48.38972222,True,0.0
-19.18611111|-48.40666667,-19.18611111,-48.40666667,True,0.0
-19.25|-43.50833333,-19.25,-43.50833333,True,0.0
-19.25|-43.55916667,-19.25,-43.55916667,True,0.0
-19.28333333|-43.59305556,-19.28333333,-43.59305556,True,0.0
-19.283333|-43.583333,-19.283333,-43.583333,True,0.0
-19.33333333|-47.84722222,-19.33333333,-47.84722222,True,0.0
-19.33333333|-48,-19.33333333,-48.0,True,0.0
-19.37519444|-48.62666667,-19.37519444,-48.62666667,True,0.0
-19.38333333|-43.50833333,-19.38333333,-43.50833333,True,0.0
-19.56666667|-56.23722222,-19.56666667,-56.23722222,True,0.0
-19.81333333|-42.54166667,-19.81333333,-42.54166667,True,0.0
-19.86666667|-43.96583333,-19.86666667,-43.96583333,True,0.0
