island_id,analysis_regime,island_latitude,island_longitude,distance_to_continent_km,spherical_coast_distance_km,seconds,island_segment_count
gshhg_2.3.7_h_0022f61c3ef3c05259ad,northern_high_latitude,69.04548076923076,17.436697389472155,0.0,1.4622676366469725,0.0319999998901039,26
gshhg_2.3.7_h_004ad917629fdd5abe7e,northern_midlatitude,64.95194038461538,11.425115816141473,0.0,0.6355694442393238,0.0,13
gshhg_2.3.7_h_009d3ad64db6a0ebaf19,northern_midlatitude,58.985,17.668019227185706,0.0,0.0910736691440497,0.0469999997876584,55
gshhg_2.3.7_h_00b59c20e2385becf361,tropical,-1.4463055,-48.555025467527145,0.0,1.5193094113150836,0.0150000001303851,29
gshhg_2.3.7_h_011d8b3dfa0ab6a9edd6,northern_midlatitude,49.69102115384615,-125.67628123700256,0.0,2.7707665747190307,0.2650000001303851,2400
gshhg_2.3.7_h_015e888b7ce93f1206a9,tropical,9.986641307692308,-85.06331651683671,0.0,0.1201715207704232,0.0149999998975545,10
gshhg_2.3.7_h_01caac6a2a4237ea3831,northern_midlatitude,24.20495003846154,-97.71857758250016,0.0,0.0742282259538426,0.0779999999795109,117
gshhg_2.3.7_h_02051df4ff4dcc08331f,northern_midlatitude,34.63766669230769,-77.17530481008501,0.0,0.0654410110248145,0.0159999998286366,12
gshhg_2.3.7_h_0262fdaa0901ce4ada23,northern_high_latitude,73.34459961538462,126.3675349459124,0.0,0.4949800252599649,0.0150000001303851,7
gshhg_2.3.7_h_03702ad411764d62ed3f,tropical,-0.5605404615384615,-51.1872263028929,0.0,25.34066709528139,0.0310000001918524,19
gshhg_2.3.7_h_03cdc91918643e15d1a7,northern_midlatitude,30.166901461538465,-89.57535014584836,0.0,0.0340847944724882,0.0310000001918524,24
gshhg_2.3.7_h_03fee71a3544e053dcdc,tropical,18.602589769230768,-88.21039254848284,0.0,1.2736105061147305,0.0309999999590218,13
gshhg_2.3.7_h_0445eb88245bee2014c1,northern_midlatitude,47.99344461538462,-66.1531410531123,0.0,1.3540317205574466,0.0159999998286366,16
gshhg_2.3.7_h_04dc305dfc73e8939567,northern_midlatitude,40.330277692307696,23.91113428065148,0.0,2.319651900552552,0.0309999999590218,20
