evidence_scope,context,response,analysis_role,model_family,status,n_islands,n_clusters,distance_estimate,distance_se,distance_p,selfing_core_estimate,selfing_core_se,selfing_core_p,kappa,optimizer_success,primary_H2b_q
all_analysis_eligible,northern_midlatitude,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,1991,85,0.010458730613126722,0.011284896523324154,0.3540355152332665,,,,,,
all_analysis_eligible,northern_midlatitude,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,1889,84,0.021425531868105554,0.012372393098218672,0.08332326532798909,0.03731539107339834,0.016346553794273074,0.022444033662834355,,,0.13331722452478253
all_analysis_eligible,northern_midlatitude,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1952,85,-0.002618548950377947,0.019637397992044295,0.8939205358472808,0.1266443983666045,0.03796062549294533,0.0008493075467473874,90.47127301861646,True,0.8939205358472808
all_analysis_eligible,northern_high_latitude,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,347,61,0.04834566801958373,0.027564799223384857,0.07944909436275537,,,,,,
all_analysis_eligible,northern_high_latitude,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,316,59,0.12476399338829561,0.03497279265101677,0.0003604601706310968,0.015920065706129388,0.02334933604086234,0.49535219638087086,,,0.0014418406825243873
all_analysis_eligible,northern_high_latitude,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,336,61,-0.006133125201377224,0.019199365988218284,0.7493897341621913,0.2976400377766973,0.03862437615625985,1.29806963664349e-14,640.0037957226227,True,0.8564454104710758
all_analysis_eligible,tropical,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,1103,104,0.06209834031913685,0.029159449924513726,0.03320358628277971,,,,,,
all_analysis_eligible,tropical,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,977,102,0.07328116882205386,0.02354036891609735,0.001851960074515321,-0.04658814238335238,0.020524426901213054,0.02321440288411091,,,0.0049385601987075225
all_analysis_eligible,tropical,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1076,104,0.06107107173859129,0.0272561218383731,0.0250496059039762,-0.15539952259376288,0.024352737631739074,1.7571351327617352e-10,143.06458690113294,True,0.0500992118079524
all_analysis_eligible,southern_extratropical,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,249,40,0.1023190368251109,0.044047157741504965,0.02018221462735816,,,,,,
all_analysis_eligible,southern_extratropical,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,221,38,0.05357198162097361,0.03338027073614051,0.10851591170472277,0.015910904554278016,0.027523713904978635,0.5632102068018996,,,0.1446878822729637
all_analysis_eligible,southern_extratropical,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,228,39,0.0803446007673741,0.020838643537535426,0.00011546590493959476,0.016358546400816694,0.03942046830659747,0.6781595069087101,625.0483444361248,True,0.000923727239516758
