family,H2_syndrome_corrected,score_name_corrected,analysis,inferential_role_corrected,evaluable_corrected,estimate_corrected,se_corrected,z_corrected,two_sided_p_corrected,one_sided_negative_p_corrected,n_cells_corrected,n_publications_corrected,n_sites_corrected,n_species_corrected,H2_syndrome_original,score_name_original,inferential_role_original,evaluable_original,estimate_original,se_original,z_original,two_sided_p_original,one_sided_negative_p_original,n_cells_original,n_publications_original,n_sites_original,n_species_original
reproductive_assurance,selfing_core,selfing_core_score,primary,posthoc_exact_H2_score_functional_triangulation,True,-0.2983005681547416,0.10352118588969686,-2.881541257386528,0.003957354223028463,0.0019786771115142313,734,409,575,455,selfing_core,selfing_core_score,posthoc_exact_H2_score_functional_triangulation,True,-0.297061627903828,0.1035337071473388,-2.8692262267889213,0.0041147737733558,0.0020573868866779,734,409,575,455
reproductive_assurance,selfing_core,selfing_core_score,supplemental_only,posthoc_exact_H2_score_functional_triangulation,True,-0.09952586618756477,0.09398468308935944,-1.0589583633849875,0.2896187423487817,0.14480937117439086,501,241,379,283,selfing_core,selfing_core_score,posthoc_exact_H2_score_functional_triangulation,True,-0.0946245719280968,0.0938341417326277,-1.0084236950525036,0.3132511023833629,0.1566255511916814,501,241,379,283
reproductive_assurance,selfing_core,selfing_core_score,no_zero_constant,posthoc_exact_H2_score_functional_triangulation,True,-0.3007838564028704,0.104193287660658,-2.886787269660581,0.003891972759243636,0.001945986379621818,723,408,572,453,selfing_core,selfing_core_score,posthoc_exact_H2_score_functional_triangulation,True,-0.2996804231784343,0.1041964768958421,-2.876108982821019,0.0040261067702106,0.0020130533851053,723,408,572,453
accessibility_generalization,generalized_accessible,generalized_accessible_score,primary,posthoc_exact_H2_score_functional_triangulation,True,-0.295659590051078,0.12896495999825042,-2.2925575292318863,0.021873491884903763,0.010936745942451882,259,143,210,143,generalized_accessible,generalized_accessible_score,posthoc_exact_H2_score_functional_triangulation,True,-0.2960123452279277,0.1294003150807778,-2.287570513589112,0.0221625446867654,0.0110812723433827,259,143,210,143
accessibility_generalization,generalized_accessible,generalized_accessible_score,supplemental_only,posthoc_exact_H2_score_functional_triangulation,True,-0.29950290225628806,0.14561608242886556,-2.056798241379672,0.039705637329872895,0.019852818664936447,199,98,156,101,generalized_accessible,generalized_accessible_score,posthoc_exact_H2_score_functional_triangulation,True,-0.3032859512207604,0.1464919910266477,-2.070324453202298,0.0384219711484291,0.0192109855742145,199,98,156,101
accessibility_generalization,generalized_accessible,generalized_accessible_score,no_zero_constant,posthoc_exact_H2_score_functional_triangulation,True,-0.3036584780520875,0.12990932814379683,-2.3374647717057506,0.01941503062725234,0.00970751531362617,255,142,208,142,generalized_accessible,generalized_accessible_score,posthoc_exact_H2_score_functional_triangulation,True,-0.3039862103052401,0.1303736994371066,-2.3316528687742397,0.0197189601347211,0.0098594800673605,255,142,208,142
