evidence_scope,context,response,analysis_role,model_family,status,n_islands,n_clusters,distance_estimate,distance_se,distance_p,selfing_core_estimate,selfing_core_se,selfing_core_p,kappa,optimizer_success,primary_H2b_q
direct_only,northern_midlatitude,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,1955,85,0.02521231589732003,0.0139310350740632,0.0703276028064346,,,,,,
direct_only,northern_midlatitude,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,1861,83,0.016773798630102837,0.01123091150722877,0.13529628643055228,0.037890504986790835,0.015504529582671253,0.01453208938323154,,,0.27059257286110455
direct_only,northern_midlatitude,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1917,85,-8.557394856657638e-06,0.021577068960250783,0.9996835616055911,0.03587104916464572,0.03142434208667456,0.25365975901656185,94.19844687057149,True,0.9996835616055911
direct_only,northern_high_latitude,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,336,60,0.06166108138454143,0.02920221298300299,0.03472756829612621,,,,,,
direct_only,northern_high_latitude,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,301,56,0.12023516719174218,0.038937774682486645,0.0020159000334023154,0.02203064589067064,0.024880699761200102,0.37591331913907766,,,0.008063600133609261
direct_only,northern_high_latitude,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,325,60,-0.0014657399241945978,0.01691940061339787,0.9309650435074979,0.11717562704687635,0.03316668899500174,0.00041097956402301705,960.2617974246083,True,0.9996835616055911
direct_only,tropical,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,1039,104,0.11520039298129493,0.03372514824004845,0.0006358086980802333,,,,,,
direct_only,tropical,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,928,102,0.06112399860413284,0.02601428496364408,0.018791975444908533,0.021487330707450535,0.020544382568218528,0.2956080813776265,,,0.05011193451975609
direct_only,tropical,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,1016,104,0.014449253406803116,0.030791625009347956,0.6388843726603535,0.047794574116560025,0.028459081864885976,0.09307143044144005,122.08903323735497,True,0.8518458302138047
direct_only,southern_extratropical,selfing_core,H2a_reproductive_assurance,clustered_ols,fit,238,39,0.15611483319171562,0.05167957196340463,0.0025208877887632794,,,,,,
direct_only,southern_extratropical,generalized_accessible,H2b_accessibility_conditional_on_selfing,clustered_ols,fit,208,38,0.04063055310006461,0.03549461598304659,0.25233501370053135,0.12396654083278287,0.033237016607431925,0.0001916520418158147,,,0.4037360219208502
direct_only,southern_extratropical,plain_colour,H2b_colour_dulling_conditional_on_selfing,beta_binomial_logit,fit,219,38,0.09371907809575471,0.018444164810683623,3.749950418580774e-07,0.07301592589592527,0.03754839510960919,0.05182533106262201,1839.7968178441342,True,2.999960334864619e-06
