"","genus_species","Family","mating_system"
"1","Abeliophyllum distichum","Oleaceae","si"
"2","Abrotanella emarginata","Asteraceae","sc"
"3","Abrus precatorius","Fabaceae","sc"
"4","Abrus pulchellus","Fabaceae","sc"
"5","Abutilon theophrasti","Malvaceae","sc"
"6","Acacia acuminata","Fabaceae","si"
"7","Acacia aneura","Fabaceae","si"
"9","Acacia anfractuosa","Fabaceae","sc"
"10","Acacia aroma","Fabaceae","si"
"11","Acacia aulacocarpa","Fabaceae","si"
"12","Acacia auriculiformis","Fabaceae","na"
"13","Acacia baileyana","Fabaceae","si"
"14","Acacia carneorum","Fabaceae","sc"
"15","Acacia constricta","Fabaceae","si"
"16","Acacia crassicarpa","Fabaceae","si"
"17","Acacia cyclops","Fabaceae","si"
"18","Acacia dealbata","Fabaceae","na"
"19","Acacia decurrens","Fabaceae","sc"
"20","Acacia greggii","Fabaceae","si"
"21","Acacia harpophylla","Fabaceae","si"
"22","Acacia hilliana","Fabaceae","si"
"23","Acacia koa","Fabaceae","sc"
"26","Acacia ligulata","Fabaceae","si"
"27","Acacia longifolia","Fabaceae","sc"
"28","Acacia macracantha","Fabaceae","si"
"29","Acacia mangium","Fabaceae","na"
"30","Acacia mearnsii","Fabaceae","si"
"31","Acacia melanoxylon","Fabaceae","na"
"32","Acacia myrtifolia","Fabaceae","si"
"33","Acacia paradoxa","Fabaceae","sc"
"34","Acacia pycnantha","Fabaceae","si"
"35","Acacia retinodes","Fabaceae","si"
"36","Acacia saligna","Fabaceae","sc"
"38","Acacia sciophanes","Fabaceae","sc"
"39","Acacia spondylophylla","Fabaceae","si"
"40","Acacia suaveolens","Fabaceae","sc"
"41","Acacia terminalis","Fabaceae","na"
"42","Acacia ulicifolia","Fabaceae","sc"
"43","Acalypha mexicana","Euphorbiaceae","sc"
"44","Acca sellowiana","Myrtaceae","si"
"45","Acer macrophyllum","Sapindaceae","na"
"46","Acer platanoides","Sapindaceae","si"
"47","Acer saccharum","Sapindaceae","si"
"48","Achillea atrata","Asteraceae","sc"
"49","Achillea clusiana","Asteraceae","sc"
"50","Achillea collina","Asteraceae","si"
"51","Achillea millefolium","Asteraceae","si"
"53","Achillea ptarmica","Asteraceae","si"
"55","Achillea styriaca","Asteraceae","si"
"56","Achyrachaena mollis","Asteraceae","sc"
"57","Achyrocline satureioides","Asteraceae","sc"
"58","Acianthera fabiobarrosii","Orchidaceae","si"
"59","Acianthera johannensis","Orchidaceae","na"
"60","Aconitum grossedentatum","Ranunculaceae","si"
"61","Aconitum kusnezoffii","Ranunculaceae","sc"
"62","Acrachne racemosa","Poaceae","sc"
"63","Acroceras macrum","Poaceae","na"
"64","Acrocomia aculeata","Arecaceae","na"
"65","Adansonia digitata","Malvaceae","si"
"66","Adenanthera pavonina","Fabaceae","sc"
"67","Adenocaulon bicolor","Asteraceae","sc"
"68","Adenocaulon chilense","Asteraceae","sc"
"69","Adenocaulon himalaicum","Asteraceae","sc"
"70","Adenostemma platyphyllum","Asteraceae","sc"
"71","Adenothamnus validus","Asteraceae","si"
"72","Adesmia aurantiaca","Fabaceae","si"
"73","Adesmia bicolor","Fabaceae","sc"
"74","Adesmia bijuga","Fabaceae","sc"
"75","Adesmia burkartii","Fabaceae","sc"
"76","Adesmia lotoides","Fabaceae","sc"
"77","Adesmia montana","Fabaceae","sc"
"78","Adesmia mucronata","Fabaceae","sc"
"79","Adesmia muricata","Fabaceae","si"
"80","Adesmia pumila","Fabaceae","sc"
"81","Adesmia punctata","Fabaceae","sc"
"82","Adesmia riograndensis","Fabaceae","sc"
"83","Adesmia suffocata","Fabaceae","sc"
"84","Adesmia tristis","Fabaceae","sc"
"85","Adesmia villosa","Fabaceae","si"
"86","Aechmea bracteata","Bromeliaceae","na"
"88","Aechmea bromeliifolia","Bromeliaceae","sc"
"89","Aechmea distichantha","Bromeliaceae","sc"
"90","Aechmea fasciata","Bromeliaceae","si"
