submitted_name,accepted_species,family,gbif_usage_key,gbif_accepted_usage_key,gbif_species_key,gbif_confidence,gbif_match_type,wfo_accepted_taxon_id,gbif_backbone,wfo_backbone,resolution_method
Acacia aroma,Vachellia aroma,Fabaceae,2980408,7266132,7266132,98,EXACT,wfo-0001277405,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Acacia macracantha,Vachellia macracantha,Fabaceae,2980413,3795445,3795445,98,EXACT,wfo-0001277441,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Acacia tortilis,Vachellia tortilis,Fabaceae,2979907,3974700,3974700,99,EXACT,wfo-0001285358,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Acnistus ellipticus,Iochroma ellipticum,Solanaceae,3797525,3802342,3802342,99,EXACT,wfo-0001021905,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Anemone canadensis,Anemonastrum canadense,Ranunculaceae,3033277,9419395,9419395,99,EXACT,wfo-0001330671,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Anemone occidentalis,Pulsatilla occidentalis,Ranunculaceae,3033626,3033625,3033625,99,EXACT,wfo-0001129379,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Angelonia hirta,Angelonia salicariifolia,Plantaginaceae,3742059,3171808,3171808,99,EXACT,wfo-0000536512,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Bastardia viscosa,Abutilon viscosum,Malvaceae,3152504,7744393,7744393,99,EXACT,wfo-0001421651,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Caesalpinia decapetala,Biancaea decapetala,Fabaceae,2958468,3974372,3974372,99,EXACT,wfo-0001056568,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Caesalpinia echinata,Paubrasilia echinata,Fabaceae,2958549,9119360,9119360,99,EXACT,wfo-0001318224,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Caesalpinia pyramidalis,Cenostigma pyramidale,Fabaceae,2958803,9462202,9462202,99,EXACT,wfo-0001346755,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Cereus portoricensis,Harrisia portoricensis,Cactaceae,5384191,5384190,5384190,99,EXACT,wfo-0001289817,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Cordia bullata,Varronia bullata,Cordiaceae,7294458,7226509,7131683,99,EXACT,wfo-0001215566,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Darwiniothamnus tenuifolius,Erigeron tenuifolius,Asteraceae,3089314,3089315,3089315,99,EXACT,wfo-0000133225,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Diodella radula,Hexasepalum radulum,Rubiaceae,2901479,8976894,8976894,98,EXACT,wfo-0001345286,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Dryandra sessilis,Banksia sessilis,Proteaceae,7287477,7287395,7287395,99,EXACT,wfo-0000506593,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Echinodorus grandiflorus,Aquarius grandiflorus,Alismataceae,5328834,10888965,10888965,99,EXACT,wfo-0001424647,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Fridericia dichotoma,Tanaecium dichotomum,Bignoniaceae,7875729,10685791,10685791,99,EXACT,wfo-1000034770,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Geissomeria pubescens,Aphelandra longiflora,Acanthaceae,7263755,3778472,3778472,99,EXACT,wfo-0000506376,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Leandra variabilis,Miconia dasytricha,Melastomataceae,3860690,10879323,10879323,98,EXACT,wfo-1000005413,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Loiseleuria procumbens,Kalmia procumbens,Ericaceae,2883015,7601217,7601217,98,EXACT,wfo-0001280881,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Merremia aegyptia,Distimake aegyptius,Convolvulaceae,5341738,9350913,9350913,98,EXACT,wfo-0001424452,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Merremia macrocalyx,Distimake macrocalyx,Convolvulaceae,5548976,9318924,9318924,99,EXACT,wfo-0001424461,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Mimulus luteus,Erythranthe lutea,Phrymaceae,6070840,7730307,7730307,99,EXACT,wfo-0001333326,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Oxalis carnosa,Oxalis magellanica,Oxalidaceae,7156860,3626991,3626991,99,EXACT,wfo-0001089952,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Polystachya estrellensis,Polystachya foliosa,Orchidaceae,2792413,2792004,2792004,99,EXACT,wfo-0000280378,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Ponerorchis chusua,Hemipilia chusua,Orchidaceae,2785000,12265129,12265129,99,EXACT,wfo-1000035604,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Psychotria poeppigiana,Palicourea tomentosa,Rubiaceae,2920208,7866160,7866160,99,EXACT,wfo-0000920668,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Rhododendron macrosepalum,Rhododendron stenopetalum,Ericaceae,4170900,4164677,4164677,99,EXACT,wfo-0000405432,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Ruellia nudiflora,Ruellia ciliatiflora,Acanthaceae,5415380,5415406,5415406,99,EXACT,wfo-0000401991,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Salvia africana-caerulea,Salvia africana,Lamiaceae,4931081,3886290,3886290,99,EXACT,wfo-0001069723,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Schefflera heptaphylla,Heptapleurum heptaphyllum,Araliaceae,3038331,11047823,11047823,99,EXACT,wfo-1000004754,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Sorbus torminalis,Torminalis glaberrima,Rosaceae,3012567,9410160,9410160,98,EXACT,wfo-0001427470,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Styphelia abietina,Leptecophylla abietina,Ericaceae,4010840,4010657,4010657,99,EXACT,wfo-0000359523,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Teucridium parvifolium,Teucrium parvifolium,Lamiaceae,7308772,9429654,9429654,99,EXACT,wfo-0001429257,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Tibouchina heteromalla,Pleroma heteromallum,Melastomataceae,3862448,5601449,5601449,99,EXACT,wfo-0001258172,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Tibouchina pulchra,Pleroma raddianum,Melastomataceae,3860317,7855549,7855549,99,EXACT,wfo-0000161573,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Tibouchina sellowiana,Pleroma sellowianum,Melastomataceae,3859738,10888740,10888740,99,EXACT,wfo-1000033988,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Tibouchina semidecandra,Pleroma semidecandrum,Melastomataceae,8088685,5601313,5601313,99,EXACT,wfo-0001281659,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Tibouchina stenocarpa,Pleroma stenocarpum,Melastomataceae,3859529,5601297,5601297,99,EXACT,wfo-0000161581,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Tococa guianensis,Miconia tococa,Melastomataceae,3858084,10816285,10816285,99,EXACT,wfo-1000005832,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Tococa nitens,Miconia nitens,Melastomataceae,3857680,3859729,3859729,99,EXACT,wfo-0001258033,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Tournefortia psilostachya,Myriopus psilostachya,Heliotropiaceae,7295162,4061052,4061052,99,EXACT,wfo-0000378305,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Trientalis borealis,Lysimachia borealis,Primulaceae,3169297,7983163,7983163,99,EXACT,wfo-0000744187,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Vigna caracalla,Cochliasanthus caracalla,Fabaceae,2982781,8308653,8308653,99,EXACT,wfo-0001042675,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Vriesea gladioliflora,Werauhia gladioliflora,Bromeliaceae,5289382,2700524,2700524,98,EXACT,wfo-0000606842,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
Vriesea sintenisii,Werauhia sintenisii,Bromeliaceae,5289231,2700298,2700298,99,EXACT,wfo-0000607358,GBIF API species/match 2026-08-11,WFO Plant List 2026-06 DwC backbone,strict_exact_two_backbone_agreement
