source_row_number,Reference,PubYear,Family,Genus,species,Genus species,Monocot/Dicot/Gymno,"Lform(0=ann,1=Hper,2=Wper)","Pollination(0=anim,1=wind,2=water)",MarkerType,nMarkers,"PopType (0=natural, 1= experimental, 2=seed orchard, 3=agricultural)",nPops(t),Mean-tm,Mean ts,Upper-tm,Where-t,nPops(F),Mech of selfing,Use for t & F?,Mean-F,Lower-F,Upper-F,Where-F,Reference.1
2,Iddrisu & Ritland 2004,2004,Aceraceae,Acer,macrophyllum,Acer macrophyllum,D,2,1,I,9,0,2,0.945,0.941,0.95,Table 4,2,,1,0.052,0.052,0.053,Table 4,"Iddrisu, M. N., and K. Ritland. 2004. Genetic variation, population structure, and mating system in bigleaf maple (Acer macrophyllum Pursh). Canadian Journal of Botany 82:1817-1825."
3,Marr et al. 2000,2000,Agavacae,Yucca,filamentosa,Yucca filamentosa,M,1,0,I,4,0,1,0.94,,,Table 4,,,0,,,,,"Marr, D. L., J. Leebens-Mack, L. Elms, and O. Pellmyr. 2000. Pollen dispersal in Yucca filamentosa (Agavaceae): The paradox of self-pollination behavior by Tegeticula yuccasella (Prodoxidae). American Journal of Botany 87:670-677."
4,Massey & Hamrick 1998&1999,1999,Agavacae,Yucca,filamentosa,Yucca filamentosa,M,1,0,I,10,0,1,0.971,,,Results M&H 1999,12,,1,0.0464,,,Table 1 - M&H 1998,"Massey, L. K., and J. L. Hamrick. 1998. Genetic diversity and population structure of Yucca filamentosa (Agavaceae). American Journal of Botany 85:340-345. & Massey, L. K., and J. L. Hamrick. 1999. Breeding structure of a Yucca filamentosa (Agavaceae) population. Evolution 53:1293-1298."
5,"Marr et al. 2000, Massey & Hamrick 1998&1999",2000 & 1999,Agavacae,Yucca,filamentosa,Yucca filamentosa,M,1,0,I,7,0,2,0.9555,0.94,0.971,Table 4 & Results M&H 1999,,,0,,,,,Species summary
6,Dorken et al.,2002,Alismataceae,Sagittaria,latifolia,Sagittaria latifolia,M,1,0,I,12,0,12,0.74,0.37,0.96,Fig. 2,12,,1,0.05,0,0.19,Table 1,"Dorken ME, Friedman J, SCH Barrett. 2002. The evolution and maintenance of monoecy and dioecy in Sagittaria latifolia (Alismataceae). Evolution 56(1):31-41"
7,Drzewiecki,2001,Amaranthaceae,Amaranthus,cruentus,Amaranthus cruentus,D,0,1,I,,0,1,0.31,,,Introduction,,,0,,,,,Drzewiecki J. 2001. Similarities and differences between Amaranthus species and cultivars and estimation of outcrossing rate on the basis of electrophoretic separations of urea-soluble seed proteins. Euphytica 119(3):279-287
8,Drzewiecki,2001,Amaranthaceae,Amaranthus,hypochondriacus,Amaranthus hypochondriacus,D,0,1,I,,0,1,0.088,0.035,0.14,Introduction (middle value in range),,,0,,,,,Drzewiecki J. 2001. Similarities and differences between Amaranthus species and cultivars and estimation of outcrossing rate on the basis of electrophoretic separations of urea-soluble seed proteins. Euphytica 119(3):279-287
9,Arroyo et al. 2002,2002,Amaryllidacae,Narcissus,papyraceus,Narcissus  papyraceus,M,1,0,I,4,0,8,0.81,0.66,0.91,Results,,0,0,,,,,"Arroyo et al.. 2002. Arroyo, J., S. C. H. Barrett, R. Hidalgo, and W. W. Cole. 2002. Evolutionary maintenance of stigma-height dimorphism in Narcissus papyraceus (Amaryllidaceae). American Journal of Botany 89:1242-1249.. Amer J Bot 89:1242-1249"
10,Baker et al 2000,2000,Amaryllidacae,Narcissus,assoanus,Narcissus  assoanus,M,1,0,I,6,0,6,0.976,0.886,1,Fig. 3,,facil,0,,,,,"Baker, A. M., J. D. Thompson, and S. C. H. Barrett. 2000. Evolution and maintenance of stigma-height dimorphism in Narcissus. II. Fitness comparisons between style morphs. Heredity 84:514-524."
11,Baker et al 2000,2000,Amaryllidacae,Narcissus,dubius,Narcissus  dubius,M,1,0,I,2,0,5,0.582,0.406,0.707,Fig. 3,,facil,0,,,,,"Baker, A. M., J. D. Thompson, and S. C. H. Barrett. 2000. Evolution and maintenance of stigma-height dimorphism in Narcissus. II. Fitness comparisons between style morphs. Heredity 84:514-524."
12,Barrett et al. 2004,2004,Amaryllidacae,Narcissus,longispathus,Narcissus  longispathus,M,1,0,I,12,0,6,0.635,0.539,0.774,Table 2,6,"auton,geit",1,-0.0093,-0.351,0.132,Table 2,"Barrett, S. C. H., W. W. Cole, and C. M. Herrera. 2004. Mating patterns and genetic diversity in the wild Daffodil Narcissus longispathus (Amaryllidaceae). Heredity 92:459-465."
13,Barrett et al. unpubl.,unpubl.,Amaryllidacae,Narcissus,triandrus,Narcissus  triandrus,M,1,0,I,,0,4,0.77,0.685,0.866,,,,0,,,,,Barrett et al. unpubl.
14,Gaudeul & Till-Bottraud 2003,2003,Apiaceae,Eryngium,alpinum,Eryngium alpinum,D,1,0,U,3,0,3,0.887,0.65,1.05,Table 2,3,,1,0.15,-0.02,0.42,Table 2,"Gaudeul, M., and I. Till-Bottraud. 2003. Low selfing in a mass-flowering, endangered perennial, Eryngium alpinum L. (Apiaceae). American Journal of Botany 90:716-723."
15,James et al. 1998,1998,Aponcynaceae,Stemmadenia,donnenell-smithii,Stemmadenia donnenell-smithii,D,2,0,I,3,0,1,0.896,,,Table 2,,,0,,,,,"James, T., S. Vege, P. Aldrich, and J. L. Hamrick. 1998. Mating systems of three tropical dry forest tree species. Biotropica 30:587-594."
16,Eguiarte et al. 1992,1992,Arecaceae,Astrocaryum,mexicanum,Astrocaryum mexicanum,M,2,0,I,,0,1,0.998,0.992,1.05,Table 4 (range for multilocus estimate),1,,1,-0.2683,-0.3585,-0.1781,Table 10 (av of FIT for adults and seeds),"Eguiarte LE, Perez-Nasser N, D. Piñero. 1992. Genetic structure, outcrossing rate and heterosis in Astrocaryum mexicanum (tropical palm): implications for evolution and conservation. Heredity 69: 217-228"
17,Gaiotto et al. 2003,2003,Arecaceae,Euterpe,edulis,Euterpe edulis,M,2,0,U,6,0,2,0.94,0.9,0.98,Table 3,1,,1,0.085,0.06,0.11,Table 1,"Gaiotto, F. A., D. Grattapaglia, and R. Vencovsky. 2003. Genetic structure, mating system, and long-distance gene flow in heart of palm (Euterpe edulis Mart.). Journal of Heredity 94:399-406."
18,Gold & Shore 1989,1989,Asclepiadaceae,Asclepias,syriaca,Asclepias  syriaca,D,1,0,I,,0,1,1.03,,,,,,0,,,,,"Gold, J. J., and J. S. Shore. 1995. Multiple paternity in Asclepias syriaca using a paired-fruit analysis. Canadian Journal of Botany 73:1212-1216."
19,Ivey et al. 1999,1999,Asclepiadaceae,Asclepias,incarnata,Asclepias  incarnata,D,1,0,I,9,0,3,0.932,0.8865,0.9725,Table 6 (range for multi-locus estimate),3,,1,-0.03883333333333334,-0.152,0.068,Table 6,"Ivey CT, Lipow SR, R Wyatt. 1999. The mating system and interfertility of swamp milkweed (Asclepias incarnata ssp. incarnata and ssp. pulchra). Heredity 82:25-35"
20,Abbott & Forbes 1993,1993,Asteraceae,Senecio,squalidus,Senecio  squalidus,D,0,0,I,,0,2,0.93,0.719,1.116,Table 1,2,auton,1,-0.056,-0.234,0.086,Table 1 Fm (F of maternal parents),"Abbott RJ, DG Forbes. 1993. Outcrossing rate and self-incompatibility in the colonizing species Senecio squalidus.. Heredity 71:155-159"
21,Antlfinger 1982,1982,Asteraceae,Borrichia,frutescens,Borrichia  frutescens,D,2,0,I,,0,1,1.13,,,Results (mating system estimates),1,none,0,,,,,"Antlfinger AE. 1982. Genetic neighborhood structure of the salt marsh composite, Borrichia frutescens. J of Heredity 73:128-132"
22,Baye & Becker 2004,2004,Asteraceae,Veronia,galamensis,Veronia galamensis,D,2,0,F,1,1,2,0.0765,0.063,0.09,Table 1,,auton,0,,,,,"Baye, T., and H. C. Becker. 2004. Natural outcrossing rate in Vernonia galamensis. Plant Breeding 123:398-399."
23,Bayer et al. unpubl,unpubl,Asteraceae,Antennaria,media,Antennaria media,D,1,0,I,,0,2,0.729,0.58,0.87,,,,0,,,,,Bayer et al. unpubl
24,"Cheptou et al., 2002",2002,Asteraceae,Crepis,sancta,Crepis sancta,D,1,0,I,6,0,9,0.911,0.77,0.99,Table 3,9,auton,1,0,0,0,Table 4,"Cheptou P-O, Lepart J, J Escarré. 2002. Mating system variation along a successional gradient in the allogamous and colonizing plant Crepis sancta (Asteraceae). J Evol Biol 15:753-762."
