accepted_species,genus,family,n_islands,n_records
Microtis parviflora,Microtis,Orchidaceae,39,430
Helichrysum luteoalbum,Helichrysum,Asteraceae,166,7446
Ixora finlaysoniana,Ixora,Rubiaceae,41,121
Vigna luteola,Vigna,Fabaceae,123,1339
Koeleria spicata,Koeleria,Poaceae,235,4718
Carex saxatilis,Carex,Cyperaceae,130,4881
Corymbia intermedia,Corymbia,Myrtaceae,19,271
Homalanthus nutans,Homalanthus,Euphorbiaceae,39,200
Cotoneaster integerrimus,Cotoneaster,Rosaceae,104,3722
Alstonia actinophylla,Alstonia,Apocynaceae,24,141
Clerodendrum speciosissimum,Clerodendrum,Lamiaceae,69,332
Medinilla venosa,Medinilla,Melastomataceae,8,28
Abutilon guineense,Abutilon,Malvaceae,34,76
Vaccinium wrightii,Vaccinium,Ericaceae,23,593
Livistona decora,Livistona,Arecaceae,11,95
Lepidagathis alopecuroidea,Lepidagathis,Acanthaceae,12,150
Machilus declinata,Machilus,Lauraceae,10,130
Maesa ramentacea,Maesa,Primulaceae,15,488
Aeschynanthus volubilis,Aeschynanthus,Gesneriaceae,4,16
Antidesma stipulare,Antidesma,Phyllanthaceae,12,210
Peltandra virginica,Peltandra,Araceae,13,128
Ranunculus silerifolius,Ranunculus,Ranunculaceae,33,2340
Cyathocalyx sumatranus,Cyathocalyx,Annonaceae,6,102
Cakile lanceolata,Cakile,Brassicaceae,73,328
Harpullia ramiflora,Harpullia,Sapindaceae,12,404
Tetractomia tetrandra,Tetractomia,Rutaceae,11,303
Spergularia canadensis,Spergularia,Caryophyllaceae,63,186
Thapsia garganica,Thapsia,Apiaceae,42,356
Parietaria pensylvanica,Parietaria,Urticaceae,11,156
Flacourtia inermis,Flacourtia,Salicaceae,21,137
Ficus botryocarpa,Ficus,Moraceae,22,281
Peperomia oahuensis,Peperomia,Piperaceae,6,36
Collinsia parviflora,Collinsia,Plantaginaceae,31,1393
Sciodaphyllum attenuatum,Sciodaphyllum,Araliaceae,9,73
Lycium brevipes,Lycium,Solanaceae,23,127
Sulettaria longituba,Sulettaria,Zingiberaceae,4,32
Polygonatum falcatum,Polygonatum,Asparagaceae,28,1107
Chrysophyllum pauciflorum,Chrysophyllum,Sapotaceae,5,49
Begonia atricha,Begonia,Begoniaceae,2,48
Arthrocaulon macrostachyum,Arthrocaulon,Amaranthaceae,42,515
Hewittia malabarica,Hewittia,Convolvulaceae,23,207
Pandanus helicopus,Pandanus,Pandanaceae,3,21
Lobelia kalmii,Lobelia,Campanulaceae,9,124
Quercus crispula,Quercus,Fagaceae,6,13413
Rumex vesicarius,Rumex,Polygonaceae,25,1027
Salacia ovalis,Salacia,Celastraceae,7,13
Strangea linearis,Strangea,Proteaceae,4,44
Pedicularis interior,Pedicularis,Orobanchaceae,23,77
Rhamnus davuricus,Rhamnus,Rhamnaceae,7,311
Symphytum hidcotense,Symphytum,Boraginaceae,15,1729
Elaeocarpus neobritannicus,Elaeocarpus,Elaeocarpaceae,3,17
Chisocheton lasiocarpum,Chisocheton,Meliaceae,9,212
Chionanthus brachystachys,Chionanthus,Oleaceae,7,133
Diospyros acapulcensis,Diospyros,Ebenaceae,4,32
Sempervivum arachnoideum,Sempervivum,Crassulaceae,11,109
Blackstonia imperfoliata,Blackstonia,Gentianaceae,7,36
Toxicodendron vernix,Toxicodendron,Anacardiaceae,8,77
Vitis saccharifera,Vitis,Vitaceae,6,206
Pigea stellarioides,Pigea,Violaceae,14,22
Shorea pinanga,Shorea,Dipterocarpaceae,4,263
Markhamia lutea,Markhamia,Bignoniaceae,5,19
Knema rubens,Knema,Myristicaceae,4,24
Allium rotundum,Allium,Amaryllidaceae,17,77
Bryonia verrucosa,Bryonia,Cucurbitaceae,6,464
Stigmaphyllon puber,Stigmaphyllon,Malpighiaceae,4,6
Ludwigia alternifolia,Ludwigia,Onagraceae,12,62
Iris xiphium,Iris,Iridaceae,12,79
Sogerianthe cupuliformis,Sogerianthe,Loranthaceae,4,10
Phaleria nisidai,Phaleria,Thymelaeaceae,4,18
Opuntia curassavica,Opuntia,Cactaceae,7,118
Garcinia diospyrifolia,Garcinia,Clusiaceae,3,16
Limonium biflorum,Limonium,Plumbaginaceae,3,109
Wittmackia penduliflora,Wittmackia,Bromeliaceae,4,58
Caamembeca salicifolia,Caamembeca,Polygalaceae,4,26
Aloe delaetii,Aloe,Asphodelaceae,4,8
Commiphora kua,Commiphora,Burseraceae,3,15
Plectritis brachystemon,Plectritis,Caprifoliaceae,12,131
Impatiens mandrarensis,Impatiens,Balsaminaceae,1,18
Luzula oligantha,Luzula,Juncaceae,22,364
Hypericum spruneri,Hypericum,Hypericaceae,5,14
Pterophylla luzoniensis,Pterophylla,Cunoniaceae,2,15
Aristolochia momandul,Aristolochia,Aristolochiaceae,2,37
Callisia diuretica,Callisia,Commelinaceae,6,23
Astilbe thunbergii,Astilbe,Saxifragaceae,9,3491
Buddleja stachyoides,Buddleja,Scrophulariaceae,5,13
Terminalia brownii,Terminalia,Combretaceae,3,16
Dicentra peregrina,Dicentra,Papaveraceae,9,237
Saurauia ilicifolia,Saurauia,Actinidiaceae,1,21
