accepted_species,axis,trait_name,normalized_value,quality,source_group,source_provider,source_url,source_record_id,source_citation,source_excerpt,evidence_scope,name_match_method,source_lineage,lineage_method,source_run_id,source_artifact,source_file,acceptance_contract,content_fingerprint
Peperomia alata,reproductive_assurance,autonomous_selfing_capacity,autonomous,high,wave51_primary_reproductive_sources,Figueiredo 1997 doctoral thesis,https://doi.org/10.47749/T/UNICAMP.1997.114042,wave51:unicamp-114042:peperomia-alata:autonomous-selfing,"Figueiredo RA. 1997. Fenologia e ecologia da polinização de espécies de Piperaceae em mata semidecídua do sudeste brasileiro. Doctoral thesis, Universidade Estadual de Campinas. doi:10.47749/T/UNICAMP.1997.114042","Além de P. circinnata, a autopolinização espontânea foi verificada em Piper aduncum, P. mollicomum, P. regnelli, P. xylosteoides, Peperomia alata, P. rotundifolia e P. urocarpa.",species_direct,strict_wfo_gbif_two_backbone,doi:10.47749/t/unicamp.1997.114042,original_thesis_bibliographic_identity,web:retrieved-20260901,figueiredo-1997-thesis,figueiredo_1997_peperaceae_thesis.pdf,species_direct_original_bagging_experiment_v1,d8517fc18169e2b350b030029768d052d41ea341aeb97d2a5f9dc73758cf0f05
Peperomia circinnata,reproductive_assurance,autonomous_selfing_capacity,autonomous,high,wave51_primary_reproductive_sources,Figueiredo 1997 doctoral thesis,https://doi.org/10.47749/T/UNICAMP.1997.114042,wave51:unicamp-114042:peperomia-circinnata:autonomous-selfing,"Figueiredo RA. 1997. Fenologia e ecologia da polinização de espécies de Piperaceae em mata semidecídua do sudeste brasileiro. Doctoral thesis, Universidade Estadual de Campinas. doi:10.47749/T/UNICAMP.1997.114042","Em Peperomia circinnata, a redução de infrutescências no controle ocorreu devido a predação por lagartas, e possivelmente as inflorescências isoladas permaneceram protegidas das lagartas, e sua quantidade superou as do controle. Além de P. circinnata, a autopolinização espontânea foi verificada em Piper aduncum, P. mollicomum, P. regnelli, P. xylosteoides, Peperomia alata, P. rotundifolia e P. urocarpa.",species_direct,strict_wfo_gbif_two_backbone,doi:10.47749/t/unicamp.1997.114042,original_thesis_bibliographic_identity,web:retrieved-20260901,figueiredo-1997-thesis,figueiredo_1997_peperaceae_thesis.pdf,species_direct_original_bagging_experiment_v1,4438d81321d35a9d9836ff9ddf2b47b34587d699a4a75c3d874752c8da399916
Peperomia rotundifolia,reproductive_assurance,autonomous_selfing_capacity,autonomous,high,wave51_primary_reproductive_sources,Figueiredo 1997 doctoral thesis,https://doi.org/10.47749/T/UNICAMP.1997.114042,wave51:unicamp-114042:peperomia-rotundifolia:autonomous-selfing,"Figueiredo RA. 1997. Fenologia e ecologia da polinização de espécies de Piperaceae em mata semidecídua do sudeste brasileiro. Doctoral thesis, Universidade Estadual de Campinas. doi:10.47749/T/UNICAMP.1997.114042","Além de P. circinnata, a autopolinização espontânea foi verificada em Piper aduncum, P. mollicomum, P. regnelli, P. xylosteoides, Peperomia alata, P. rotundifolia e P. urocarpa.",species_direct,strict_wfo_gbif_two_backbone,doi:10.47749/t/unicamp.1997.114042,original_thesis_bibliographic_identity,web:retrieved-20260901,figueiredo-1997-thesis,figueiredo_1997_peperaceae_thesis.pdf,species_direct_original_bagging_experiment_v1,d8517fc18169e2b350b030029768d052d41ea341aeb97d2a5f9dc73758cf0f05
Peperomia urocarpa,reproductive_assurance,autonomous_selfing_capacity,autonomous,high,wave51_primary_reproductive_sources,Figueiredo 1997 doctoral thesis,https://doi.org/10.47749/T/UNICAMP.1997.114042,wave51:unicamp-114042:peperomia-urocarpa:autonomous-selfing,"Figueiredo RA. 1997. Fenologia e ecologia da polinização de espécies de Piperaceae em mata semidecídua do sudeste brasileiro. Doctoral thesis, Universidade Estadual de Campinas. doi:10.47749/T/UNICAMP.1997.114042","Além de P. circinnata, a autopolinização espontânea foi verificada em Piper aduncum, P. mollicomum, P. regnelli, P. xylosteoides, Peperomia alata, P. rotundifolia e P. urocarpa.",species_direct,strict_wfo_gbif_two_backbone,doi:10.47749/t/unicamp.1997.114042,original_thesis_bibliographic_identity,web:retrieved-20260901,figueiredo-1997-thesis,figueiredo_1997_peperaceae_thesis.pdf,species_direct_original_bagging_experiment_v1,d8517fc18169e2b350b030029768d052d41ea341aeb97d2a5f9dc73758cf0f05
