accepted_species,genus,family,n_islands,n_records
Epipactis helleborine,Epipactis,Orchidaceae,260,46121
Leucanthemum vulgare,Leucanthemum,Asteraceae,662,225100
Galium uliginosum,Galium,Rubiaceae,307,40070
Vicia sativa,Vicia,Fabaceae,503,263943
Anthoxanthum odoratum,Anthoxanthum,Poaceae,772,376568
Eleocharis palustris,Eleocharis,Cyperaceae,527,101244
Syzygium jambos,Syzygium,Myrtaceae,104,5634
Euphorbia prostrata,Euphorbia,Euphorbiaceae,288,4099
Potentilla erecta,Potentilla,Rosaceae,588,282186
Allamanda cathartica,Allamanda,Apocynaceae,170,1676
Galeopsis tetrahit,Galeopsis,Lamiaceae,407,60912
Pleroma heteromallum,Pleroma,Melastomataceae,31,133
Malva moschata,Malva,Malvaceae,231,59608
Andromeda polifolia,Andromeda,Ericaceae,410,10634
Caryota mitis,Caryota,Arecaceae,77,760
Ruellia tuberosa,Ruellia,Acanthaceae,117,1318
Cinnamomum camphora,Cinnamomum,Lauraceae,92,3711
Primula veris,Primula,Primulaceae,291,157742
Rhynchoglossum obliquum,Rhynchoglossum,Gesneriaceae,19,858
Bischofia javanica,Bischofia,Phyllanthaceae,96,4648
Epipremnum aureum,Epipremnum,Araceae,156,4128
Anemone nemorosa,Anemone,Ranunculaceae,427,158737
Polyalthia longifolia,Polyalthia,Annonaceae,35,167
Cochlearia officinalis,Cochlearia,Brassicaceae,420,17256
Cardiospermum halicacabum,Cardiospermum,Sapindaceae,147,4339
Zanthoxylum schinifolium,Zanthoxylum,Rutaceae,79,1763
Silene dioica,Silene,Caryophyllaceae,571,302312
Pimpinella saxifraga,Pimpinella,Apiaceae,391,91962
Boehmeria nivea,Boehmeria,Urticaceae,100,5085
Salix pentandra,Salix,Salicaceae,299,20294
Ficus pumila,Ficus,Moraceae,151,4452
Piper macropiper,Piper,Piperaceae,52,753
Veronica arvensis,Veronica,Plantaginaceae,580,155977
Hydrocotyle sibthorpioides,Hydrocotyle,Araliaceae,84,2951
Physalis angulata,Physalis,Solanaceae,262,2588
Curcuma longa,Curcuma,Zingiberaceae,77,693
Ornithogalum umbellatum,Ornithogalum,Asparagaceae,183,13455
Planchonella chartacea,Planchonella,Sapotaceae,57,345
Begonia rieckei,Begonia,Begoniaceae,12,63
Salicornia europaea,Salicornia,Amaranthaceae,281,13063
Ipomoea batatas,Ipomoea,Convolvulaceae,199,3331
Pandanus polycephalus,Pandanus,Pandanaceae,24,121
Hippobroma longiflora,Hippobroma,Campanulaceae,145,4136
Quercus rubra,Quercus,Fagaceae,101,31801
Rumex longifolius,Rumex,Polygonaceae,463,16117
Crossopetalum rhacoma,Crossopetalum,Celastraceae,79,598
Banksia marginata,Banksia,Proteaceae,27,9830
Euphrasia stricta,Euphrasia,Orobanchaceae,241,7826
Rhamnus alaternus,Rhamnus,Rhamnaceae,88,6000
Elaeocarpus culminicola,Elaeocarpus,Elaeocarpaceae,20,411
Echium vulgare,Echium,Boraginaceae,272,44755
Aglaia elaeagnoidea,Aglaia,Meliaceae,72,763
Ligustrum japonicum,Ligustrum,Oleaceae,115,4216
Diospyros virginiana,Diospyros,Ebenaceae,39,296
Hylotelephium maximum,Hylotelephium,Crassulaceae,224,3520
Centaurium tenuiflorum,Centaurium,Gentianaceae,119,1626
Rhus typhina,Rhus,Anacardiaceae,112,10078
Vitis ficifolia,Vitis,Vitaceae,108,1468
Viola odorata,Viola,Violaceae,208,92639
Vatica mangachapoi,Vatica,Dipterocarpaceae,16,245
Tabebuia heterophylla,Tabebuia,Bignoniaceae,84,2525
Horsfieldia tuberculata,Horsfieldia,Myristicaceae,27,98
Luffa aegyptiaca,Luffa,Cucurbitaceae,96,452
Galanthus nivalis,Galanthus,Amaryllidaceae,180,91994
Stigmaphyllon timoriense,Stigmaphyllon,Malpighiaceae,38,104
Circaea alpina,Circaea,Onagraceae,255,3306
Dendrophthoe pentandra,Dendrophthoe,Loranthaceae,20,264
Gladiolus italicus,Gladiolus,Iridaceae,85,1734
Thymelaea tartonraira,Thymelaea,Thymelaeaceae,34,934
Opuntia monacantha,Opuntia,Cactaceae,71,592
Symphonia globulifera,Symphonia,Clusiaceae,26,183
Limonium sinuatum,Limonium,Plumbaginaceae,81,1031
Tillandsia flexuosa,Tillandsia,Bromeliaceae,44,540
Polygala myrtifolia,Polygala,Polygalaceae,63,1787
Phormium tenax,Phormium,Asphodelaceae,75,8898
Canarium hirsutum,Canarium,Burseraceae,33,346
Valeriana sambucifolia,Valeriana,Caprifoliaceae,271,7544
Impatiens capensis,Impatiens,Balsaminaceae,70,16037
Luzula pilosa,Luzula,Juncaceae,491,78842
Hypericum tetrapterum,Hypericum,Hypericaceae,90,90223
Aristolochia clematitis,Aristolochia,Aristolochiaceae,34,1019
Saxifraga granulata,Saxifraga,Saxifragaceae,194,31152
Verbascum sinuatum,Verbascum,Scrophulariaceae,95,3575
Commelina benghalensis,Commelina,Commelinaceae,139,1745
Pterophylla sylvicola,Pterophylla,Cunoniaceae,11,3262
Lumnitzera littorea,Lumnitzera,Combretaceae,79,410
Saurauia tristyla,Saurauia,Actinidiaceae,17,3688
Glaucium flavum,Glaucium,Papaveraceae,185,13337
Geranium dissectum,Geranium,Geraniaceae,245,195169
Ilex vomitoria,Ilex,Aquifoliaceae,49,1306
Calophyllum brasiliense,Calophyllum,Calophyllaceae,18,113
Eurya acuminata,Eurya,Pentaphylacaceae,21,418
Tetracera sarmentosa,Tetracera,Dilleniaceae,17,258
Pericampylus glaucus,Pericampylus,Menispermaceae,31,929
Passiflora caerulea,Passiflora,Passifloraceae,77,1352
Dioscorea japonica,Dioscorea,Dioscoreaceae,54,2324
Stachytarpheta cayennensis,Stachytarpheta,Verbenaceae,125,1819
Strychnos minor,Strychnos,Loganiaceae,28,271
Gagea minima,Gagea,Liliaceae,99,1403
Pittosporum tenuifolium,Pittosporum,Pittosporaceae,27,10229
Steganthera hirsuta,Steganthera,Monimiaceae,7,170
Eriocaulon decemflorum,Eriocaulon,Eriocaulaceae,16,817
Lythrum hyssopifolia,Lythrum,Lythraceae,124,4316
Phoradendron quadrangulare,Phoradendron,Viscaceae,20,192
Tournefortia gnaphalodes,Tournefortia,Heliotropiaceae,100,987
Symplocos paniculata,Symplocos,Symplocaceae,26,1525
Ceodes umbellifera,Ceodes,Nyctaginaceae,101,838
Varronia bullata,Varronia,Cordiaceae,40,562
Crateva religiosa,Crateva,Capparaceae,44,271
Nepenthes alata,Nepenthes,Nepenthaceae,12,114
Goeppertia zebrina,Goeppertia,Marantaceae,24,44
Goodenia pilosa,Goodenia,Goodeniaceae,19,109
Hirtella racemosa,Hirtella,Chrysobalanaceae,19,137
Utricularia gibba,Utricularia,Lentibulariaceae,82,1101
Potamogeton berchtoldii,Potamogeton,Potamogetonaceae,251,22335
Smilax bona-nox,Smilax,Smilacaceae,45,599
Oxalis articulata,Oxalis,Oxalidaceae,132,17429
Schima superba,Schima,Theaceae,13,1276
Cistus monspeliensis,Cistus,Cistaceae,68,12074
Berberis darwinii,Berberis,Berberidaceae,38,7499
Betula nana,Betula,Betulaceae,247,11698
Barringtonia acutangula,Barringtonia,Lecythidaceae,25,185
Magnolia virginiana,Magnolia,Magnoliaceae,25,164
Ochna atropurpurea,Ochna,Ochnaceae,15,42
Erythroxylum confusum,Erythroxylum,Erythroxylaceae,17,88
Lindernia procumbens,Lindernia,Linderniaceae,34,1003
Viburnum tinus,Viburnum,Viburnaceae,112,14125
Drypetes lateriflora,Drypetes,Putranjivaceae,19,83
Trianthema portulacastrum,Trianthema,Aizoaceae,126,1456
Deutzia crenata,Deutzia,Hydrangeaceae,30,3000
Myriophyllum aquaticum,Myriophyllum,Haloragaceae,64,6455
Ellipanthus tomentosus,Ellipanthus,Connaraceae,13,85
Linum strictum,Linum,Linaceae,93,1636
Cannabis sativa,Cannabis,Cannabaceae,96,2484
Hydnocarpus sumatranus,Hydnocarpus,Achariaceae,8,116
Colchicum cupanii,Colchicum,Colchicaceae,31,260
Cornus unalaschkensis,Cornus,Cornaceae,71,3450
Ehretia cymosa,Ehretia,Ehretiaceae,14,570
Kallstroemia maxima,Kallstroemia,Zygophyllaceae,41,199
Buxus sinica,Buxus,Buxaceae,22,195
Elodea canadensis,Elodea,Hydrocharitaceae,118,61617
Trillium camschatcense,Trillium,Melanthiaceae,27,557
Drosera spatulata,Drosera,Droseraceae,73,3706
Rhizophora mucronata,Rhizophora,Rhizophoraceae,131,976
Leptolaena cuspidata,Leptolaena,Sarcolaenaceae,2,283
Montia parvifolia,Montia,Montiaceae,41,1339
Phlox subulata,Phlox,Polemoniaceae,32,431
Iodes scandens,Iodes,Icacinaceae,8,72
Escallonia langleyensis,Escallonia,Escalloniaceae,6,66
Sagittaria latifolia,Sagittaria,Alismataceae,40,588
Gomphandra australiana,Gomphandra,Stemonuraceae,8,89
