accepted_species,axis,trait_name,normalized_value,quality,source_group,source_provider,source_url,source_record_id,source_citation,source_excerpt,evidence_scope,name_match_method,source_lineage,lineage_method,source_run_id,source_artifact,source_file,acceptance_contract
Ardisia humilis,reproductive_assurance,autonomous_selfing_capacity,autonomous,high,wave46_primary_reproductive_articles,Ye et al. 2023 primary article,https://gxzw.ijournals.cn/gxzwen/article/html/230218,wave46:doi:10.11931/guihaia.gxzw202104043:ardisia-humilis:autonomous-selfing,"Ye et al. (2023), Flowering biology and breeding system of Ardisia humilis, Guihaia 43:379-389, DOI 10.11931/guihaia.gxzw202104043","The seed set of natural pollination ranked the highest level (average 52.96%), followed by that of autogamy (52.29%)",species_direct,accepted_name_exact,doi:10.11931/guihaia.gxzw202104043,original_article_doi,web:retrieved-20260831,gxzw-230218,html_sha256:9007001f95d42198c8cbffe6d0022b63ca53f2dd2b609ceb88cddf7ad25ef7ba,primary_article_controlled_pollination_autogamy_v1
Ardisia humilis,reproductive_assurance,self_incompatibility,SC,high,wave46_primary_reproductive_articles,Ye et al. 2023 primary article,https://gxzw.ijournals.cn/gxzwen/article/html/230218,wave46:doi:10.11931/guihaia.gxzw202104043:ardisia-humilis:self-incompatibility,"Ye et al. (2023), Flowering biology and breeding system of Ardisia humilis, Guihaia 43:379-389, DOI 10.11931/guihaia.gxzw202104043","the breeding system of A. humilis was considered to be outcrossing with partial self-compatibility",species_direct,accepted_name_exact,doi:10.11931/guihaia.gxzw202104043,original_article_doi,web:retrieved-20260831,gxzw-230218,html_sha256:9007001f95d42198c8cbffe6d0022b63ca53f2dd2b609ceb88cddf7ad25ef7ba,primary_article_controlled_pollination_self_compatibility_v1
