accepted_species,genus,family,n_islands,n_records
Orchis mascula,Orchis,Orchidaceae,194,75762
Solidago virgaurea,Solidago,Asteraceae,562,71179
Galium trifidum,Galium,Rubiaceae,214,1620
Trifolium dubium,Trifolium,Fabaceae,396,212304
Lolium perenne,Lolium,Poaceae,605,378045
Schoenoplectus tabernaemontani,Schoenoplectus,Cyperaceae,454,25629
Eugenia axillaris,Eugenia,Myrtaceae,71,840
Jatropha gossypiifolia,Jatropha,Euphorbiaceae,173,3085
Malus domestica,Malus,Rosaceae,382,47745
Calotropis procera,Calotropis,Apocynaceae,109,3175
Mentha aquatica,Mentha,Lamiaceae,275,223668
Nepsera aquatica,Nepsera,Melastomataceae,21,460
Malva parviflora,Malva,Malvaceae,157,2578
Arctostaphylos alpinus,Arctostaphylos,Ericaceae,291,6055
Chamaerops humilis,Chamaerops,Arecaceae,55,2025
Pseuderanthemum maculatum,Pseuderanthemum,Acanthaceae,92,553
Lindera erythrocarpa,Lindera,Lauraceae,43,1319
Aegiceras corniculatum,Aegiceras,Primulaceae,120,546
Gesneria ventricosa,Gesneria,Gesneriaceae,11,73
Antidesma ghaesembilla,Antidesma,Phyllanthaceae,67,688
Caladium bicolor,Caladium,Araceae,127,1029
Ranunculus trichophyllus,Ranunculus,Ranunculaceae,219,16284
Meiogyne cylindrocarpa,Meiogyne,Annonaceae,26,170
Sinapis arvensis,Sinapis,Brassicaceae,315,99639
Acer negundo,Acer,Sapindaceae,68,2620
Glycosmis trifoliata,Glycosmis,Rutaceae,54,298
Arenaria serpyllifolia,Arenaria,Caryophyllaceae,460,93965
Thysselinum palustre,Thysselinum,Apiaceae,228,10437
Pouzolzia zeylanica,Pouzolzia,Urticaceae,67,1581
Salix viminalis,Salix,Salicaceae,185,77001
Ficus tinctoria,Ficus,Moraceae,105,1485
Piper amalago,Piper,Piperaceae,33,653
Veronica scutellata,Veronica,Plantaginaceae,329,35499
Polyscias fruticosa,Polyscias,Araliaceae,61,180
Nicotiana tabacum,Nicotiana,Solanaceae,132,874
Hornstedtia scottiana,Hornstedtia,Zingiberaceae,26,154
Dracaena trifasciata,Dracaena,Asparagaceae,120,745
Sideroxylon americanum,Sideroxylon,Sapotaceae,36,156
Begonia semperflorens,Begonia,Begoniaceae,10,29
Dysphania ambrosioides,Dysphania,Amaranthaceae,193,4226
Cuscuta campestris,Cuscuta,Convolvulaceae,124,2074
Freycinetia reineckei,Freycinetia,Pandanaceae,12,67
Lobelia erinus,Lobelia,Campanulaceae,76,7874
Quercus dentata,Quercus,Fagaceae,58,1072
Oxyria digyna,Oxyria,Polygonaceae,328,14933
Elaeodendron xylocarpum,Elaeodendron,Celastraceae,35,322
Finschia chloroxantha,Finschia,Proteaceae,18,178
Bartsia alpina,Bartsia,Orobanchaceae,175,7833
Colubrina elliptica,Colubrina,Rhamnaceae,40,284
Elaeocarpus serratus,Elaeocarpus,Elaeocarpaceae,12,367
Echium plantagineum,Echium,Boraginaceae,165,8309
Didymocheton gaudichaudianus,Didymocheton,Meliaceae,40,335
Ligustrum lucidum,Ligustrum,Oleaceae,56,2020
Diospyros samoensis,Diospyros,Ebenaceae,23,540
Crassula tillaea,Crassula,Crassulaceae,105,8411
Gentiana douglasiana,Gentiana,Gentianaceae,64,875
Rhus copallina,Rhus,Anacardiaceae,58,1844
Cissus trifoliata,Cissus,Vitaceae,55,417
Viola wittrockiana,Viola,Violaceae,76,717
Anthoshorea assamica,Anthoshorea,Dipterocarpaceae,12,85
Kigelia africana,Kigelia,Bignoniaceae,39,210
Myristica globosa,Myristica,Myristicaceae,17,292
Trichosanthes kirilowii,Trichosanthes,Cucurbitaceae,64,1135
Allium roseum,Allium,Amaryllidaceae,108,5860
Heteropterys purpurea,Heteropterys,Malpighiaceae,17,137
Epilobium obscurum,Epilobium,Onagraceae,145,81198
Decaisnina angustata,Decaisnina,Loranthaceae,15,24
Romulea columnae,Romulea,Iridaceae,56,1850
Phaleria perrottetiana,Phaleria,Thymelaeaceae,18,63
Opuntia elatior,Opuntia,Cactaceae,33,175
Garcinia latissima,Garcinia,Clusiaceae,11,101
Limonium tetragonum,Limonium,Plumbaginaceae,38,265
Tillandsia paucifolia,Tillandsia,Bromeliaceae,22,93
Polygala venulosa,Polygala,Polygalaceae,20,197
Dianella revoluta,Dianella,Asphodelaceae,34,1706
Dacryodes rostrata,Dacryodes,Burseraceae,17,404
Dipsacus fullonum,Dipsacus,Caprifoliaceae,154,92182
Impatiens flaccida,Impatiens,Balsaminaceae,8,227
Juncus ranarius,Juncus,Juncaceae,246,2948
Hypericum perfoliatum,Hypericum,Hypericaceae,53,753
Isotrema shimadae,Isotrema,Aristolochiaceae,12,464
Tiarella trifoliata,Tiarella,Saxifragaceae,96,4346
Verbascum densiflorum,Verbascum,Scrophulariaceae,63,2442
Pollia secundiflora,Pollia,Commelinaceae,46,274
Pterophylla denhamii,Pterophylla,Cunoniaceae,7,31
Terminalia ferdinandiana,Terminalia,Combretaceae,19,274
Saurauia javanica,Saurauia,Actinidiaceae,5,40
Corydalis intermedia,Corydalis,Papaveraceae,117,1954
Erodium moschatum,Erodium,Geraniaceae,120,10207
Ilex cassine,Ilex,Aquifoliaceae,18,104
Calophyllum pulcherrimum,Calophyllum,Calophyllaceae,8,108
Freziera undulata,Freziera,Pentaphylacaceae,9,58
Davilla rugosa,Davilla,Dilleniaceae,14,50
Anamirta cocculus,Anamirta,Menispermaceae,21,62
Passiflora cupraea,Passiflora,Passifloraceae,30,175
Dioscorea polystachya,Dioscorea,Dioscoreaceae,34,681
Petrea volubilis,Petrea,Verbenaceae,76,495
Geniostoma ligustrifolium,Geniostoma,Loganiaceae,16,10413
Gagea graeca,Gagea,Liliaceae,44,592
Pittosporum ramiflorum,Pittosporum,Pittosporaceae,14,331
Steganthera cooperorum,Steganthera,Monimiaceae,5,14
Eriocaulon buergerianum,Eriocaulon,Eriocaulaceae,10,142
Lawsonia inermis,Lawsonia,Lythraceae,57,313
Phoradendron rubrum,Phoradendron,Viscaceae,14,26
Heliotropium dolosum,Heliotropium,Heliotropiaceae,25,85
Symplocos celastrifolia,Symplocos,Symplocaceae,15,207
Boerhavia repens,Boerhavia,Nyctaginaceae,39,239
Cordia aspera,Cordia,Cordiaceae,21,60
Crateva formosensis,Crateva,Capparaceae,23,323
Nepenthes ventricosa,Nepenthes,Nepenthaceae,4,21
Schumannianthus benthamianus,Schumannianthus,Marantaceae,8,21
Goodenia humilis,Goodenia,Goodeniaceae,11,214
Parastemon versteeghii,Parastemon,Chrysobalanaceae,8,75
Utricularia caerulea,Utricularia,Lentibulariaceae,42,358
Potamogeton praelongus,Potamogeton,Potamogetonaceae,81,4104
Smilax riparia,Smilax,Smilacaceae,30,1865
Oxalis exilis,Oxalis,Oxalidaceae,50,9870
Pyrenaria microcarpa,Pyrenaria,Theaceae,8,543
Fumana procumbens,Fumana,Cistaceae,22,1503
Caulophyllum robustum,Caulophyllum,Berberidaceae,12,626
Carpinus turczaninowii,Carpinus,Betulaceae,61,422
Barringtonia calyptrata,Barringtonia,Lecythidaceae,10,67
Magnolia angatensis,Magnolia,Magnoliaceae,13,46
Ochna ciliata,Ochna,Ochnaceae,6,318
Erythroxylum novogranatense,Erythroxylum,Erythroxylaceae,7,15
Legazpia polygonoides,Legazpia,Linderniaceae,17,220
Sambucus ebulus,Sambucus,Viburnaceae,52,5352
Drypetes ovalis,Drypetes,Putranjivaceae,8,34
Carpobrotus rossii,Carpobrotus,Aizoaceae,36,981
Hydrangea serrata,Hydrangea,Hydrangeaceae,14,4329
Haloragis erecta,Haloragis,Haloragaceae,19,3016
Cnestis ferruginea,Cnestis,Connaraceae,7,12
Linum tenuifolium,Linum,Linaceae,20,100
Celtis australis,Celtis,Cannabaceae,53,1457
Ryparosa hullettii,Ryparosa,Achariaceae,4,110
Colchicum bivonae,Colchicum,Colchicaceae,13,76
Cornus alternifolia,Cornus,Cornaceae,27,647
Tiquilia galapagoa,Tiquilia,Ehretiaceae,10,60
Kallstroemia californica,Kallstroemia,Zygophyllaceae,15,54
Sarcococca hookeriana,Sarcococca,Buxaceae,5,12
Halophila tricostata,Halophila,Hydrocharitaceae,61,10205
Trillium apetalon,Trillium,Melanthiaceae,13,1041
Drosera binata,Drosera,Droseraceae,23,1665
Bruguiera parviflora,Bruguiera,Rhizophoraceae,40,248
Leptolaena gautieri,Leptolaena,Sarcolaenaceae,1,312
Claytonia acutifolia,Claytonia,Montiaceae,18,173
Leptosiphon bicolor,Leptosiphon,Polemoniaceae,16,195
Phytocrene bracteata,Phytocrene,Icacinaceae,5,27
Escallonia exoniensis,Escallonia,Escalloniaceae,3,17
Alisma gramineum,Alisma,Alismataceae,16,259
Gomphandra javanica,Gomphandra,Stemonuraceae,6,98
Microcarpaea minima,Microcarpaea,Phrymaceae,16,67
Eurychorda complanata,Eurychorda,Restionaceae,13,1500
Picrasma javanica,Picrasma,Simaroubaceae,16,162
Xyris elliottii,Xyris,Xyridaceae,8,50
Ribes glandulosum,Ribes,Grossulariaceae,35,265
Stylidium alsinoides,Stylidium,Stylidiaceae,7,18
Burmannia championii,Burmannia,Burmanniaceae,5,17
Casuarina junghuhniana,Casuarina,Casuarinaceae,8,73
Arivela tetrandra,Arivela,Cleomaceae,7,17
Nothofagus truncata,Nothofagus,Nothofagaceae,6,4524
Drimys membranea,Drimys,Winteraceae,2,17
Fothergilla latifolia,Fothergilla,Hamamelidaceae,5,14
Heliconia mariae,Heliconia,Heliconiaceae,11,122
Nymphaea ampla,Nymphaea,Nymphaeaceae,26,140
Scagea depauperata,Scagea,Picrodendraceae,3,38
Dimerocostus strobilaceus,Dimerocostus,Costaceae,9,111
Phacelia distans,Phacelia,Hydrophyllaceae,7,247
Musa banksii,Musa,Musaceae,9,120
Portulaca bicolor,Portulaca,Portulacaceae,12,34
Meliosma squamulata,Meliosma,Sabiaceae,6,562
Osyris lanceolata,Osyris,Santalaceae,8,39
Cladomyza kaniensis,Cladomyza,Amphorogynaceae,2,27
Carya alba,Carya,Juglandaceae,12,192
Dichapetalum leucosia,Dichapetalum,Dichapetalaceae,2,448
Alniphyllum fortunei,Alniphyllum,Styracaceae,4,113
Clethra sumbawaensis,Clethra,Clethraceae,2,6
Kadsura matsudae,Kadsura,Schisandraceae,5,314
Ulmus procera,Ulmus,Ulmaceae,6,62
Sparganium eurycarpum,Sparganium,Typhaceae,31,122
Hypoxis hygrometrica,Hypoxis,Hypoxidaceae,6,381
