source_scientific_name,source_family,accepted_species,match_status,name_match_method,reason,gbif_match_type,gbif_status,gbif_confidence,gbif_usage_key,gbif_accepted_usage_key
Abolboda poarchon,Xyridaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2692557,
Abronia ammophila,Nyctaginaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5384898,
Abronia macrocarpa,Nyctaginaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5384869,
Abutilon bedfordianum,Malvaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,7279559,7560555
Acacia praecox,Fabaceae,,unmatched,unmatched,reject_accepted_species_absent_from_master,EXACT,SYNONYM,98,2979874,3795902
Acianthera adamantinensis,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2840077,
Acianthera fabiobarrosii,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,2839722,
Acianthera johannensis,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2839942,
Acianthera ochreata,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2839767,
Acianthera teres,Orchidaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,98,9771285,
Aconitum heterophyllum,Ranunculaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,7277241,
Adenocalymma bracteatum,Bignoniaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,7298558,
Adesmia bicolor,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5356174,
Adesmia bijuga,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5356185,
Adesmia montana,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5356013,
Adesmia mucronata,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5355972,
Adesmia muricata,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,5356215,
Adesmia punctata,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5355959,
Adesmia riograndensis,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,5613135,
Adesmia tristis,Fabaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,97,5355983,
Aechmea araneosa,Bromeliaceae,,unmatched,unmatched,reject_not_exact_synonym,EXACT,ACCEPTED,99,2698245,
