accepted_species,genus,family,n_islands,n_records
Dipterocarpus alatus,Dipterocarpus,Dipterocarpaceae,11,22
Epipactis atrorubens,Epipactis,Orchidaceae,112,7150
Prunus spinosa,Prunus,Rosaceae,273,342720
Erigeron canadensis,Erigeron,Asteraceae,490,58855
Mahonia fortunei,Mahonia,Berberidaceae,9,64
Cynoglossum officinale,Cynoglossum,Boraginaceae,116,18304
Triodanis perfoliata,Triodanis,Campanulaceae,53,1071
Melilotus albus,Melilotus,Fabaceae,322,20307
Aletris lutea,Aletris,Nartheciaceae,1,1
Passiflora incarnata,Passiflora,Passifloraceae,23,170
Cobaea scandens,Cobaea,Polemoniaceae,10,295
Lysimachia foemina,Lysimachia,Primulaceae,95,1611
Rhizophora racemosa,Rhizophora,Rhizophoraceae,21,178
Lycium barbarum,Lycium,Solanaceae,98,9178
Sambucus sieboldiana,Sambucus,Viburnaceae,35,2683
Zygogynum howeanum,Zygogynum,Winteraceae,1,167
Shorea ovalis,Shorea,Dipterocarpaceae,10,312
Spiranthes romanzoffiana,Spiranthes,Orchidaceae,97,2160
Malus sylvestris,Malus,Rosaceae,264,110198
