stratum,context,outcome,common_eligibility_min_species,n_common_eligible_islands,species_per_island,draws,adjusted_beta_mean,adjusted_beta_q025,adjusted_beta_q975,realisations_beta_positive
all_native,northern_midlatitude,white_present,50,198,10,500,-0.01865641932025796,-0.044067798091078136,0.00819109579774054,0.09
all_native,northern_midlatitude,muted_only,50,198,10,500,0.016098031403987013,-0.008353424051699738,0.04010387945586047,0.882
all_native,northern_midlatitude,conspicuous_present,50,198,10,500,-0.025684944883809964,-0.049312298488735966,0.0004861732559262454,0.03
all_native,northern_midlatitude,white_present,50,198,20,500,-0.0201296954703633,-0.03609319979265663,-0.002734807173103296,0.018
all_native,northern_midlatitude,muted_only,50,198,20,500,0.016023846007411212,-1.0041850130901216e-05,0.03303163226937468,0.974
all_native,northern_midlatitude,conspicuous_present,50,198,20,500,-0.025580407933893,-0.04307137402011183,-0.008113123210163421,0.0
all_native,northern_midlatitude,white_present,50,198,50,500,-0.019815366070485296,-0.028795651487291463,-0.010262203516129656,0.0
all_native,northern_midlatitude,muted_only,50,198,50,500,0.0163805092629017,0.007428973076501141,0.025187141723467265,1.0
all_native,northern_midlatitude,conspicuous_present,50,198,50,500,-0.025855419907153367,-0.035181872369700315,-0.016459860415536348,0.0
all_native,tropical,white_present,50,89,10,500,0.0028141536421431735,-0.03629375727848833,0.040539384955102474,0.566
all_native,tropical,muted_only,50,89,10,500,0.010083822051974025,-0.02737659168722866,0.047032528691453246,0.696
all_native,tropical,conspicuous_present,50,89,10,500,-0.0163988584689151,-0.057340029091179176,0.02077451968857923,0.212
all_native,tropical,white_present,50,89,20,500,0.0019592890403140025,-0.023865288665531056,0.02813197961122792,0.572
all_native,tropical,muted_only,50,89,20,500,0.010063053354282456,-0.013173953080766873,0.036564580352006625,0.77
all_native,tropical,conspicuous_present,50,89,20,500,-0.016512503917700195,-0.04251383318994792,0.007794901918060038,0.116
all_native,tropical,white_present,50,89,50,500,0.002025647920945344,-0.012320206241551475,0.017655564299895815,0.604
all_native,tropical,muted_only,50,89,50,500,0.01023951737093374,-0.0036188904755042415,0.023421671201597022,0.894
all_native,tropical,conspicuous_present,50,89,50,500,-0.01697619916959828,-0.03154049994904271,-0.002822487662971946,0.002
native_nonendemic,northern_midlatitude,white_present,50,193,10,500,-0.020849255984178774,-0.047390766372780085,0.005756296494986068,0.05
native_nonendemic,northern_midlatitude,muted_only,50,193,10,500,0.013918712605581668,-0.010064733065377921,0.03844570256445833,0.882
native_nonendemic,northern_midlatitude,conspicuous_present,50,193,10,500,-0.022617647502292063,-0.045399024964304875,0.0015440827186109058,0.034
native_nonendemic,northern_midlatitude,white_present,50,193,20,500,-0.020363738295104974,-0.038088285418918635,-0.0019206370218307436,0.006
native_nonendemic,northern_midlatitude,muted_only,50,193,20,500,0.01375647281681706,-0.0033022177750810042,0.031182870042952907,0.942
native_nonendemic,northern_midlatitude,conspicuous_present,50,193,20,500,-0.02232872896549319,-0.039725089385085,-0.004432568474450495,0.008
native_nonendemic,northern_midlatitude,white_present,50,193,50,500,-0.020801243175809944,-0.029930178636805086,-0.012112460633012023,0.0
native_nonendemic,northern_midlatitude,muted_only,50,193,50,500,0.014099648129475548,0.004601427695956924,0.023575346217962506,0.998
native_nonendemic,northern_midlatitude,conspicuous_present,50,193,50,500,-0.02263824304293268,-0.03172905599935087,-0.012804160984252437,0.0
native_nonendemic,tropical,white_present,50,82,10,500,0.0033581298716826315,-0.03420431522008536,0.039386158046825895,0.586
native_nonendemic,tropical,muted_only,50,82,10,500,0.004331285849918345,-0.031312242883196416,0.040680810005513844,0.594
native_nonendemic,tropical,conspicuous_present,50,82,10,500,-0.008974645047237153,-0.04539286043461201,0.0317588610415908,0.324
native_nonendemic,tropical,white_present,50,82,20,500,0.0023140524238962562,-0.02600764088911213,0.02903460828840254,0.568
native_nonendemic,tropical,muted_only,50,82,20,500,0.003676140585607938,-0.02486151175420018,0.028358898884136043,0.614
native_nonendemic,tropical,conspicuous_present,50,82,20,500,-0.00872758860997918,-0.034460777617943215,0.018712224751556997,0.236
native_nonendemic,tropical,white_present,50,82,50,500,0.0029747297256102184,-0.012624893197207082,0.017940166843933677,0.634
native_nonendemic,tropical,muted_only,50,82,50,500,0.004875226512181538,-0.01075203074401356,0.020199270368468122,0.75
native_nonendemic,tropical,conspicuous_present,50,82,50,500,-0.009243310376753047,-0.024915063816651095,0.007690944791385831,0.11
