stratum,context,outcome,n_islands,species_per_island,draws,adjusted_beta_mean,adjusted_beta_median,adjusted_beta_q025,adjusted_beta_q975,realisations_beta_positive,block_null_mean,block_null_q025,block_null_q975,paired_observed_gt_block_null,paired_observed_lt_block_null
all_native,northern_midlatitude,white_present,225,20,1000,-0.017379744861195628,-0.01732918606100877,-0.03308710282102733,-0.0024150554349425535,0.011,-0.005715013338255904,-0.0229821941657339,0.011544508953698822,0.087,0.913
all_native,northern_midlatitude,muted_only,225,20,1000,0.021764318313866816,0.02178036745464213,0.006774475399370473,0.03562920776138342,0.998,0.016287895906476238,-0.0003251680224863293,0.03342323558830446,0.737,0.263
all_native,northern_midlatitude,conspicuous_present,225,20,1000,-0.030971655866746012,-0.03104958841252554,-0.046315293337256765,-0.015721666622678907,0.0,-0.02120762840295594,-0.037999121299021284,-0.004837858365754757,0.137,0.863
all_native,tropical,white_present,107,20,1000,-0.005741052901812358,-0.005806853873662805,-0.02773051963404103,0.016935122082150115,0.306,-0.00888637711231637,-0.030112074329610666,0.014609786751282882,0.638,0.362
all_native,tropical,muted_only,107,20,1000,0.010013107514024768,0.010256940359068433,-0.012360065482580698,0.03094232403326369,0.814,0.00878826789349568,-0.013731266037323803,0.030480447653613236,0.556,0.444
all_native,tropical,conspicuous_present,107,20,1000,-0.01770424869630651,-0.01777943320189473,-0.04068679632491262,0.0053272139302919065,0.061,-0.01774915169874225,-0.03888537346652166,0.004946065669827858,0.493,0.507
native_nonendemic,northern_midlatitude,white_present,225,20,1000,-0.018708947511346424,-0.018799363473090258,-0.03351641064698726,-0.004851699689217483,0.008,-0.007896295747273892,-0.024975182011931864,0.009612662182703692,0.127,0.873
native_nonendemic,northern_midlatitude,muted_only,225,20,1000,0.021782680366102103,0.021881607751054495,0.00739266864255231,0.036257522267323625,0.999,0.016432715873005357,-0.0008233123624100614,0.03152909401946624,0.717,0.283
native_nonendemic,northern_midlatitude,conspicuous_present,225,20,1000,-0.029871420647543712,-0.029586652144312547,-0.04463651026197149,-0.01601719522213698,0.0,-0.020151248149953216,-0.03607541708015678,-0.003494633368221667,0.154,0.846
native_nonendemic,tropical,white_present,103,20,1000,0.003336028674715907,0.003202912434780644,-0.019741061133515957,0.028078544240396682,0.593,-0.0008458749144907019,-0.02467833628126538,0.02380834450982907,0.676,0.324
native_nonendemic,tropical,muted_only,103,20,1000,0.004173608552691671,0.0043718262487500825,-0.018860607795511956,0.02657179234089246,0.649,0.0031916561706025844,-0.019090653086820448,0.02661047545871617,0.546,0.454
native_nonendemic,tropical,conspicuous_present,103,20,1000,-0.0115995269235712,-0.011967192487971026,-0.03553794701917266,0.01135044240302464,0.157,-0.012791761326215098,-0.035596521436577205,0.010567564431023374,0.558,0.442
