accepted_species,genus,family,n_islands,n_records
Bletia purpurea,Bletia,Orchidaceae,21,270
Erigeron borealis,Erigeron,Asteraceae,96,3316
Psychotria nesophila,Psychotria,Rubiaceae,20,137
Ornithopus perpusillus,Ornithopus,Fabaceae,72,22382
Anthoxanthum nipponicum,Anthoxanthum,Poaceae,106,745
Carex wahuensis,Carex,Cyperaceae,56,680
Lophostemon grandiflorus,Lophostemon,Myrtaceae,11,35
Mercurialis leiocarpa,Mercurialis,Euphorbiaceae,18,883
Rubus hirsutus,Rubus,Rosaceae,50,1645
Tabernaemontana sphaerocarpa,Tabernaemontana,Apocynaceae,11,150
Ocimum americanum,Ocimum,Lamiaceae,33,156
Miconia formosa,Miconia,Melastomataceae,5,20
Hibiscus clypeatus,Hibiscus,Malvaceae,16,75
Gaultheria heterophylla,Gaultheria,Ericaceae,12,158
Acanthophoenix rubra,Acanthophoenix,Arecaceae,5,506
Justicia hayatai,Justicia,Acanthaceae,5,7
Nothaphoebe macrocarpa,Nothaphoebe,Lauraceae,6,80
Myrsine lanaiensis,Myrsine,Primulaceae,6,92
Gesneria sintenisii,Gesneria,Gesneriaceae,2,46
Glochidion novae-georgiae,Glochidion,Phyllanthaceae,7,11
Thaumatophyllum corcovadense,Thaumatophyllum,Araceae,6,13
Clematis fusca,Clematis,Ranunculaceae,14,144
Orophea glabra,Orophea,Annonaceae,4,7
Teesdalia coronopifolia,Teesdalia,Brassicaceae,26,743
Alectryon coriaceus,Alectryon,Sapindaceae,6,32
Melicope spathulata,Melicope,Rutaceae,4,88
Cerastium elongatum,Cerastium,Caryophyllaceae,25,108
Seseli tortuosum,Seseli,Apiaceae,15,95
Leucosyke javanica,Leucosyke,Urticaceae,5,15
Homalium cochinchinensis,Homalium,Salicaceae,7,302
Ficus globosa,Ficus,Moraceae,10,112
Piper crassipes,Piper,Piperaceae,3,32
Adenosma glutinosa,Adenosma,Plantaginaceae,13,162
Aralia merrillii,Aralia,Araliaceae,4,32
Solanum chrysotrichum,Solanum,Solanaceae,9,47
Hornstedtia havilandii,Hornstedtia,Zingiberaceae,2,41
Liriope graminifolia,Liriope,Asparagaceae,9,196
Palaquium xanthochymum,Palaquium,Sapotaceae,3,17
Begonia wutaiana,Begonia,Begoniaceae,1,34
Atriplex billardierei,Atriplex,Amaranthaceae,15,150
Lepistemon binectariferum,Lepistemon,Convolvulaceae,8,61
Benstonea parva,Benstonea,Pandanaceae,2,12
Lobelia serpens,Lobelia,Campanulaceae,3,113
Trigonobalanus verticillata,Trigonobalanus,Fagaceae,3,74
Rumex stenophyllus,Rumex,Polygonaceae,9,15
Euonymus australiana,Euonymus,Celastraceae,3,8
Adenanthos sericeus,Adenanthos,Proteaceae,2,4
Euphrasia difformis,Euphrasia,Orobanchaceae,8,34
Rhamnus ludovici-salvatoris,Rhamnus,Rhamnaceae,3,138
Prasoxylon hongkongense,Prasoxylon,Meliaceae,3,174
Trigonotis borneensis,Trigonotis,Boraginaceae,5,56
Dubouzetia campanulata,Dubouzetia,Elaeocarpaceae,1,142
Noronhia divaricata,Noronhia,Oleaceae,2,79
Diospyros ferox,Diospyros,Ebenaceae,2,13
Petrosedum orientale,Petrosedum,Crassulaceae,4,12
Buchanania sessifolia,Buchanania,Anacardiaceae,3,29
Gentiana ettingshausenii,Gentiana,Gentianaceae,2,142
Leea quadrifida,Leea,Vitaceae,3,13
Viola tracheliifolia,Viola,Violaceae,4,56
Dipterocarpus pachyphyllus,Dipterocarpus,Dipterocarpaceae,2,49
Xylophragma seemanniana,Xylophragma,Bignoniaceae,2,14
Knema stenocarpa,Knema,Myristicaceae,2,8
Lycoris albiflora,Lycoris,Amaryllidaceae,4,51
Telfairia occidentalis,Telfairia,Cucurbitaceae,3,3
Epilobium montanum x parviflorum,Epilobium,Onagraceae,4,19
Hiptage sericea,Hiptage,Malpighiaceae,2,2
Psittacanthus americanus,Psittacanthus,Loranthaceae,2,7
Crocus atticus,Crocus,Iridaceae,4,30
Ovidia pillo-pillo,Ovidia,Thymelaeaceae,2,20
