accepted_species,genus,family,n_islands,n_records
Chamaerops humilis,Chamaerops,Arecaceae,55,2025
Sinapis arvensis,Sinapis,Brassicaceae,315,99639
Cuscuta campestris,Cuscuta,Convolvulaceae,124,2074
Rhus copallina,Rhus,Anacardiaceae,58,1844
Arisarum vulgare,Arisarum,Araceae,117,9455
Impatiens pallida,Impatiens,Balsaminaceae,7,32
Coriaria pottsiana,Coriaria,Coriariaceae,1,31
Hydrangea serrata,Hydrangea,Hydrangeaceae,14,4329
Nyssa ogeche,Nyssa,Nyssaceae,2,7
Forestiera segregata,Forestiera,Oleaceae,51,583
Anacamptis pyramidalis,Anacamptis,Orchidaceae,131,56376
Cymbalaria muralis,Cymbalaria,Plantaginaceae,278,110574
Thalictrum alpinum,Thalictrum,Ranunculaceae,201,18306
Geum urbanum,Geum,Rosaceae,376,325312
Guettarda speciosa,Guettarda,Rubiaceae,210,845
Salix alba,Salix,Salicaceae,183,79613
Elaeis guineensis,Elaeis,Arecaceae,45,358
Brassica rapa,Brassica,Brassicaceae,294,27352
Cuscuta epithymum,Cuscuta,Convolvulaceae,118,10728
