source_species,accepted_species,family,hand_self_mean,autonomous_self_mean,hand_outcross_mean,open_mean,autofertility_index,autofertility_index_basis,prior_article_lineage,include_independent_chapter2,name_match_method,name_resolution_lineage,decision_reason
Abelmoschus moschatus,Abelmoschus moschatus,Malvaceae,123.6,121.8,100.8,80.2,0.985,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
Acacia auriculiformis,Acacia auriculiformis,Fabaceae,6.0,5.0,1.6,1.0,0.870,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
Acacia confusa,Acacia confusa,Fabaceae,8.2,6.2,1.2,1.8,0.971,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
Adenanthera pavonina,Adenanthera pavonina,Fabaceae,5.8,6.4,2.0,1.6,1.103,calculated_from_table_2_1_means,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment; species omitted from paired Table 2.2
Aeschynomene indica,Aeschynomene indica,Fabaceae,5.8,5.6,2.2,1.8,1.115,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
Asclepias incarnata,Asclepias incarnata,Apocynaceae,1.8,1.8,0.8,1.0,1.538,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
Bidens pilosa,Bidens pilosa,Asteraceae,NA,20.2,NA,30.4,0.619,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment; autonomous row withheld because hand-self denominator is NA
Centrosema mole,Centrosema molle,Fabaceae,12.2,8.0,6.4,7.6,0.941,published_table_2_2,false,true,same_document_orthographic_reconciliation,dissertation_table_1_species_list_Centrosema_molle,Table 2.1 typo reconciled to exact name in the same dissertation species table
Crotalaria pallida,Crotalaria pallida,Fabaceae,20.6,18.8,1.2,5.2,0.913,published_table_2_2,true,false,accepted_name_exact,master_accepted_name_exact,data explicitly marked as taken from Yomai and Williams 2021; excluded as duplicate lineage
Crotalaria spectabilis,Crotalaria spectabilis,Fabaceae,6.0,3.6,5.2,3.0,0.815,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
Dalbergia canadensis,Dalbergia candenatensis,Fabaceae,5.8,2.8,4.0,2.0,1.167,published_table_2_2,false,true,same_document_orthographic_reconciliation,dissertation_table_1_species_list_Dalbergia_candenatensis,Table 2.1 typo reconciled to exact name in the same dissertation species table
Datura metel,Datura metel,Solanaceae,182,190.4,210.4,208,0.899,published_table_2_2,false,true,accepted_name_exact,master_accepted_name_exact,independent chapter 2 experiment
