source_name,source_family,accepted_species,wfo_id,wfo_classification_version,powo_source_name_lsid,powo_accepted_name_lsid,powo_result_url,powo_visible_result,reviewer,reviewed_at_utc
Agalinis acuta,Orobanchaceae,Agalinis decemloba,wfo-0000522735,2026-06,urn:lsid:ipni.org:names:6146-2,urn:lsid:ipni.org:names:6156-2,https://powo.science.kew.org/results?q=Agalinis%20acuta,"Species Agalinis acuta Pennell; Synonym of: Agalinis decemloba (Greene) Pennell",Codex strict WFO-POWO audit,2026-08-21T05:08:53Z
Cuphea brachiata,Lythraceae,Cuphea flava,wfo-0000629855,2026-06,urn:lsid:ipni.org:names:552910-1,urn:lsid:ipni.org:names:552993-1,https://powo.science.kew.org/results?q=Cuphea%20brachiata,"Species Cuphea brachiata Mart. ex Koehne; Synonym of: Cuphea flava Spreng.",Codex strict WFO-POWO audit,2026-08-21T05:08:53Z
Tibouchina cerastifolia,Melastomataceae,Chaetogastra herbacea,wfo-0001080168,2026-06,urn:lsid:ipni.org:names:576257-1,urn:lsid:ipni.org:names:77205941-1,https://powo.science.kew.org/results?q=Tibouchina%20cerastifolia,"Species Tibouchina cerastifolia (Naudin) Cogn.; Synonym of: Chaetogastra herbacea (DC.) P.J.F.Guim. & Michelang.",Codex strict WFO-POWO audit,2026-08-21T05:08:53Z
