accepted_species,genus,family,n_islands,n_records
Ophrys lutea,Ophrys,Orchidaceae,57,4170
Gomphrena globosa,Gomphrena,Amaranthaceae,76,278
Monodora myristica,Monodora,Annonaceae,10,24
Araujia sericifera,Araujia,Apocynaceae,47,3418
Pseudopanax crassifolius,Pseudopanax,Araliaceae,15,24631
Saribus rotundifolius,Saribus,Arecaceae,20,93
Ornithogalum narbonense,Ornithogalum,Asparagaceae,55,667
Aechmea blanchetiana,Aechmea,Bromeliaceae,8,19
Spergula morisonii,Spergula,Caryophyllaceae,143,1271
Crocanthemum carolinianum,Crocanthemum,Cistaceae,6,11
Colchicum lusitanum,Colchicum,Colchicaceae,2,9
Cucurbita ficifolia,Cucurbita,Cucurbitaceae,14,84
Geranium nodosum,Geranium,Geraniaceae,15,1636
Tilia europaea,Tilia,Malvaceae,61,3201
Ficus racemosa,Ficus,Moraceae,37,273
Fraxinus lanuginosa,Fraxinus,Oleaceae,14,5917
Oxalis tuberosa,Oxalis,Oxalidaceae,4,15
Melicytus ramiflorus,Melicytus,Violaceae,22,23460
Anacamptis papilionacea,Anacamptis,Orchidaceae,56,4641
