source_name,family,traits,dataset_keys,source_rows
Abutilon cryptopetalum,Malvaceae,flower_primary_color,NHNSW_2014_2,1
Abutilon macrum,Malvaceae,flower_primary_color,NHNSW_2014_2,1
Acacia acanthoclada,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia aculeatissima,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia adunca,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia alpina,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia amoena,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia asparagoides,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia ausfeldii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia baeuerlenii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia barringtonensis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia beckleri,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia blakei,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia blayana,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia brachystachya,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia brownii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia brunioides,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia burbidgeae,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia burkittii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia burrowii,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia bynoeana,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia calcicola,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia cambagei,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia cana,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia cangaiensis,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia carneorum,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia caroleae,Fabaceae,flower_primary_color,NHNSW_2014_2,1
Acacia centrinervia,Fabaceae,flower_primary_color,NHNSW_2014_2,1
