candidate_id,accepted_species,searched_name,page_id,family,wfo_taxon_id,wfo_accepted_usage_id,gbif_usage_key,gbif_accepted_usage_key,axis,trait_name,normalized_value,supporting_excerpt,source_url,page_content_sha256,name_match_method,cultivar_status
15cd350d2a29dd72de054b8b,Adina cordifolia,Haldina cordifolia,5655,Rubiaceae,wfo-0000979047,wfo-0000785285,10498994,8417744,flower_colour,flower_primary_color,yellow_orange,Flowers are small and yellow and aggregated in heads.,https://indiaflora-ces.iisc.ac.in/herbsheet.php?id=5655&cat=13,da9a35997707251c4954f2c3d30c783b99648a02ae4ab71ab45fef6401316cec,exact_synonym,wild_or_species_level_statement_not_cultivar_limited
24741d986256b78dc0119d8b,Aglaia oligophylla,Aglaia glaucescens,312,Meliaceae,wfo-0000524094,wfo-0000524248,5597669,5597341,flower_colour,flower_primary_color,yellow_orange,"Flowers small, orange-yellowish, globular, in kax axillary panicles; petals 4-5; staminal tube globular with 4 anthers.",https://indiaflora-ces.iisc.ac.in/herbsheet.php?id=312&cat=13,f396797af967cc9c6b3652a3de1684521ae86bb48feb30e1a5f56de5abf618ad,exact_synonym,wild_or_species_level_statement_not_cultivar_limited
485d75a617775ef950dcdc8b,Arachnis clarkei,Esmeralda clarkei,4598,Orchidaceae,wfo-0000954259,wfo-0000253178,5305429,5305432,flower_colour,flower_primary_color,green_brown_inconspicuous|red_pink|yellow_orange,"Flowers slightly fragrant, opening widely, pale yellow with reddish brown transverse stripes",https://indiaflora-ces.iisc.ac.in/herbsheet.php?id=4598&cat=13,87ddabcc945e9c0eb32a15e2ddddcadf48fd9af4ddf88af0ac39da5030f622eb,exact_synonym,wild_or_species_level_statement_not_cultivar_limited
ff5b6ffcdbbceadebde3fc78,Archidendron bigeminum,Archidendron monadelphum,823,Fabaceae,wfo-0000204140,wfo-0000185962,2941303,2941295,flower_colour,flower_primary_color,white,"An unarmed tree, leaves bipinnate, petiole 3-4 cm long with gland above the middle, pinnae 1-2 pairs, up to 15 cm long, glands between all leaflets, leaflets 3-4 pairs, 15cm long, 5 cm broad, flowers white, pod circinate, brown outside, orange red within",https://indiaflora-ces.iisc.ac.in/herbsheet.php?id=823&cat=13,907799fd15788323e94f70128209a35a29321672c4fa2fe0ce18c564fc0d7b11,exact_synonym,wild_or_species_level_statement_not_cultivar_limited
192ca491d8903ba2d45cfca0,Ardisia rothii,Ardisia missionis,841,Primulaceae,wfo-0000544697,wfo-0000545096,5557292,5558140,flower_colour,flower_primary_color,red_pink,Corolla pink; lobes with resinous dots.,https://indiaflora-ces.iisc.ac.in/herbsheet.php?id=841&cat=13,5af644fc4d43ab618b0614b144c15cccbc1c17303ab6d1b521fe6d667d110007,exact_synonym,wild_or_species_level_statement_not_cultivar_limited
20f1623873a4fda015ca82ef,Balakata baccata,Sapium baccatum,10412,Euphorbiaceae,wfo-0000302715,wfo-0000313210,5378888,3063658,flower_colour,flower_primary_color,blue_purple|red_pink|yellow_orange,"Trees, 10-35 m high with dense crown; Leaves ovate or ovate-lanceolate, young ones orange coloured; petioles eglandular, reddish; Flowers in terminal racemes, red-purple or yellowish; Fruits globose, purplish.",https://indiaflora-ces.iisc.ac.in/herbsheet.php?id=10412&cat=13,025bdae7df3dcc5b7439846f3433074f707ef13643b9860fe87aa655704f0185,exact_synonym,wild_or_species_level_statement_not_cultivar_limited
a12e2a3e877d86d43aaad411,Balakata baccata,Sapium baccatum,10412,Euphorbiaceae,wfo-0000302715,wfo-0000313210,5378888,3063658,floral_structural_complexity,inflorescence_display,raceme_spike_panicle,"Trees, 10-35 m high with dense crown; Leaves ovate or ovate-lanceolate, young ones orange coloured; petioles eglandular, reddish; Flowers in terminal racemes, red-purple or yellowish; Fruits globose, purplish.",https://indiaflora-ces.iisc.ac.in/herbsheet.php?id=10412&cat=13,025bdae7df3dcc5b7439846f3433074f707ef13643b9860fe87aa655704f0185,exact_synonym,wild_or_species_level_statement_not_cultivar_limited
59d2d76077128c1f993260d4,Baliospermum solanifolium,Baliospermum montanum,1241,Euphorbiaceae,wfo-0000314442,wfo-0000314537,3062302,3062296,flower_colour,flower_primary_color,red_pink|white,"Undershrubs, up to 2 m high; sparingly branched; Leaves lanceolate, ovate or ovate-oblong, biglandular at base, sinuate-dentate; Flowers in axillary racemes or panicles, creamy white with pinkish tinge; Fruits obovoid.",https://indiaflora-ces.iisc.ac.in/herbsheet.php?id=1241&cat=13,6fcbb3f052e67d6036c5fbc935214b4af585b6f495317c6d0a08f26657e5e337,exact_synonym,wild_or_species_level_statement_not_cultivar_limited
b92267194beeb915defcbc13,Benkara griffithii,Randia griffithii,13201,Rubiaceae,wfo-0000294494,wfo-0000835075,5337584,3846131,flower_colour,flower_primary_color,white|yellow_orange,"Shrubs or small trees with ascending spines; branches straggling; Leaves ovate or ovate-Ianceolate, glabrous; Flowers in terminal or axillary, few flowered cymes, white or pale yellow; Berries globose, black.",https://indiaflora-ces.iisc.ac.in/herbsheet.php?id=13201&cat=13,a236a79c436da454d075fff96030b1119c0a34d4c3e8c49dd46c355ac1ce3451,exact_synonym,wild_or_species_level_statement_not_cultivar_limited
0852773168224ae23a811e30,Boehmeria caudata,Boehmeria tenuistachys,14388,Urticaceae,wfo-0000567774,wfo-0000567423,4100798,7610513,flower_colour,flower_primary_color,green_brown_inconspicuous,"Small trees; Leaves ovate, 5-nerved, coarsely serrate, glabrous; Flowers large in pendulous, greenish brown spikes.",https://indiaflora-ces.iisc.ac.in/herbsheet.php?id=14388&cat=13,512db5ea42125ba2949311cd3728776210dae0f05e2db9515089773221db4dd6,exact_synonym,wild_or_species_level_statement_not_cultivar_limited
