candidate_id,accepted_species,family,page_id,revision_id,revision_timestamp,axis,trait_name,normalized_value,supporting_excerpt,page_title,source_url,citation,page_content_sha256,cultivar_status
21d81285ed7ae52b6582f42b,Acalypha fruticosa,Euphorbiaceae,109340,172221,2014-10-26T21:41:12Z,flower_colour,flower_primary_color,white,"male flowers with 4-lobed, minute, densely white hairy calyx, stamens 8",Acalypha fruticosa (PROTA),https://plantuse.plantnet.org/en/Acalypha_fruticosa_(PROTA),"Schmelzer, G.H., 2007. Acalypha fruticosa Forssk. In: Schmelzer, G.H. & Gurib-Fakim, A. (Editors). PROTA (Plant Resources of Tropical Africa / Ressources végétales de l’Afrique tropicale), Wageningen, Netherlands.",31b30e50a6ba195b28de34bdb0baaf1e2c3fb43f394233e17ad9d450ea6562f6,wild_or_species_level_monograph_not_cultivar_limited
a8d1a928ce6a0a779e97e340,Acalypha integrifolia,Euphorbiaceae,109343,172217,2014-10-26T21:31:57Z,flower_colour,flower_primary_color,red_pink|green_brown_inconspicuous,"male flowers with 4-lobed, minute, almost glabrous calyx, green to reddish, stamens 8, free, anthers curled ; female flowers with 3 minute sepals, ovary superior, covered with fleshy spines, 3-celled, styles 3, fused at base, deeply fringed, red.",Acalypha integrifolia (PROTA),https://plantuse.plantnet.org/en/Acalypha_integrifolia_(PROTA),"Schmelzer, G.H., 2007. Acalypha integrifolia Willd. In: Schmelzer, G.H. & Gurib-Fakim, A. (Editors). PROTA (Plant Resources of Tropical Africa / Ressources végétales de l’Afrique tropicale), Wageningen, Netherlands.",1fa9e633fcbcda9bb251918f6a111d42a0f5544f6412449cf8cba6375432f5a6,wild_or_species_level_monograph_not_cultivar_limited
8fa9e62368edfcbb520c1221,Acanthophoenix rubra,Arecaceae,109347,327843,2018-04-28T17:51:39Z,flower_colour,flower_primary_color,white,"*Flowers unisexual, 3-merous, white or cream-coloured, arranged in triads of 2 male flowers and 1 female flower",Acanthophoenix rubra (PROTA),https://plantuse.plantnet.org/en/Acanthophoenix_rubra_(PROTA),"van der Burg, W.J., 2004. Acanthophoenix rubra (Bory) H.Wendl. [Internet] Record from PROTA4U. Grubben, G.J.H. & Denton, O.A. (Editors). PROTA (Plant Resources of Tropical Africa / Ressources végétales de l’Afrique tropicale), Wageningen, Netherlands.",d8ff1e7b283593e5abe5c4ad2df11fb05c32d965b63c8b1eb2b5f32e9eac720b,wild_or_species_level_monograph_not_cultivar_limited
76dc842d87589e5aa5c1bfcd,Acridocarpus excelsus,Malpighiaceae,109354,198701,2015-09-09T19:11:19Z,floral_structural_complexity,floral_symmetry,zygomorphic,"*Flowers bisexual, zygomorphic, 5-merous",Acridocarpus excelsus (PROTA),https://plantuse.plantnet.org/en/Acridocarpus_excelsus_(PROTA),"Jansen, P.C.M., 2005. Acridocarpus excelsus A.Juss. In: Jansen, P.C.M. & Cardon, D. (Editors). PROTA (Plant Resources of Tropical Africa / Ressources végétales de l’Afrique tropicale), Wageningen, Netherlands.",c36a7384543ff0c2d376da1d230eec965f9a5a2af1ebde723d30ef0e1a9e5125,wild_or_species_level_monograph_not_cultivar_limited
9a9addd3a6b6d6e6e286d0fd,Acridocarpus excelsus,Malpighiaceae,109354,198701,2015-09-09T19:11:19Z,floral_structural_complexity,inflorescence_display,raceme_spike_panicle,"*Inflorescence a terminal raceme 2–7 cm long, 8–15-flowered.",Acridocarpus excelsus (PROTA),https://plantuse.plantnet.org/en/Acridocarpus_excelsus_(PROTA),"Jansen, P.C.M., 2005. Acridocarpus excelsus A.Juss. In: Jansen, P.C.M. & Cardon, D. (Editors). PROTA (Plant Resources of Tropical Africa / Ressources végétales de l’Afrique tropicale), Wageningen, Netherlands.",c36a7384543ff0c2d376da1d230eec965f9a5a2af1ebde723d30ef0e1a9e5125,wild_or_species_level_monograph_not_cultivar_limited
0c3759ebc7aa81338db06db8,Adansonia grandidieri,Malvaceae,109357,175277,2015-03-05T09:11:37Z,floral_structural_complexity,floral_symmetry,actinomorphic,"Flowers solitary in leaf axils at end of branches, bisexual, regular, 5-merous, large, showy and fragrant",Adansonia grandidieri (PROTA),https://plantuse.plantnet.org/en/Adansonia_grandidieri_(PROTA),"Ambrose-Oji, B. & Mughogho, N., 2007. Adansonia grandidieri Baill. [Internet] Record from PROTA4U. van der Vossen, H.A.M. & Mkamilo, G.S. (Editors). PROTA (Plant Resources of Tropical Africa / Ressources végétales de l’Afrique tropicale), Wageningen, Netherlands.",3126d5aca4d90560d0401aead7fa4e86a8df5a1c70a02c36a6d4c17b76a81978,wild_or_species_level_monograph_not_cultivar_limited
513f60e6627c8e68cc7abfb0,Adansonia grandidieri,Malvaceae,109357,175277,2015-03-05T09:11:37Z,floral_structural_complexity,inflorescence_display,solitary,"Flowers solitary in leaf axils at end of branches, bisexual, regular, 5-merous, large, showy and fragrant",Adansonia grandidieri (PROTA),https://plantuse.plantnet.org/en/Adansonia_grandidieri_(PROTA),"Ambrose-Oji, B. & Mughogho, N., 2007. Adansonia grandidieri Baill. [Internet] Record from PROTA4U. van der Vossen, H.A.M. & Mkamilo, G.S. (Editors). PROTA (Plant Resources of Tropical Africa / Ressources végétales de l’Afrique tropicale), Wageningen, Netherlands.",3126d5aca4d90560d0401aead7fa4e86a8df5a1c70a02c36a6d4c17b76a81978,wild_or_species_level_monograph_not_cultivar_limited
751456192d9e0a195b72fd71,Adansonia rubrostipa,Malvaceae,109358,175583,2015-03-11T15:14:20Z,floral_structural_complexity,floral_symmetry,actinomorphic,"Flowers solitary in leaf axils at end of branches, bisexual, regular, 5-merous, large, showy and fragrant",Adansonia rubrostipa (PROTA),https://plantuse.plantnet.org/en/Adansonia_rubrostipa_(PROTA),"Ambrose-Oji, B. & Mughogho, N., 2007. Adansonia rubrostipa Jum. & H.Perrier. [Internet] Record from PROTA4U. van der Vossen, H.A.M. & Mkamilo, G.S. (Editors). PROTA (Plant Resources of Tropical Africa / Ressources végétales de l’Afrique tropicale), Wageningen, Netherlands.",143261b07913eea60bdfdf6b055f554314f1052e74602a6101dcb11be16eec4e,wild_or_species_level_monograph_not_cultivar_limited
ab5bb24e5ff865a38cec1941,Adansonia rubrostipa,Malvaceae,109358,175583,2015-03-11T15:14:20Z,floral_structural_complexity,inflorescence_display,solitary,"Flowers solitary in leaf axils at end of branches, bisexual, regular, 5-merous, large, showy and fragrant",Adansonia rubrostipa (PROTA),https://plantuse.plantnet.org/en/Adansonia_rubrostipa_(PROTA),"Ambrose-Oji, B. & Mughogho, N., 2007. Adansonia rubrostipa Jum. & H.Perrier. [Internet] Record from PROTA4U. van der Vossen, H.A.M. & Mkamilo, G.S. (Editors). PROTA (Plant Resources of Tropical Africa / Ressources végétales de l’Afrique tropicale), Wageningen, Netherlands.",143261b07913eea60bdfdf6b055f554314f1052e74602a6101dcb11be16eec4e,wild_or_species_level_monograph_not_cultivar_limited
cfd1d0284925fc9434c98a4c,Adansonia za,Malvaceae,109359,175279,2015-03-05T09:13:18Z,floral_structural_complexity,floral_form,tubular,"calyx tubular, tube fitting tightly around the petal bases, with a marked annular swelling at base, c.",Adansonia za (PROTA),https://plantuse.plantnet.org/en/Adansonia_za_(PROTA),"Ambrose-Oji, B. & Mughogho, N., 2007. Adansonia za Baill. [Internet] Record from PROTA4U. van der Vossen, H.A.M. & Mkamilo, G.S. (Editors). PROTA (Plant Resources of Tropical Africa / Ressources végétales de l’Afrique tropicale), Wageningen, Netherlands.",c48a37329578bbf62156d1fb18b87ea3607a5c417e7a280a8672f592efde2387,wild_or_species_level_monograph_not_cultivar_limited
ff0e01ecff5171f819f7f0f2,Adansonia za,Malvaceae,109359,175279,2015-03-05T09:13:18Z,floral_structural_complexity,floral_symmetry,actinomorphic,"Flowers solitary in leaf axils at end of branches, bisexual, regular, 5-merous, large, showy, fragrant",Adansonia za (PROTA),https://plantuse.plantnet.org/en/Adansonia_za_(PROTA),"Ambrose-Oji, B. & Mughogho, N., 2007. Adansonia za Baill. [Internet] Record from PROTA4U. van der Vossen, H.A.M. & Mkamilo, G.S. (Editors). PROTA (Plant Resources of Tropical Africa / Ressources végétales de l’Afrique tropicale), Wageningen, Netherlands.",c48a37329578bbf62156d1fb18b87ea3607a5c417e7a280a8672f592efde2387,wild_or_species_level_monograph_not_cultivar_limited
1beaafcc08c4cd5f1ecc23dd,Adansonia za,Malvaceae,109359,175279,2015-03-05T09:13:18Z,floral_structural_complexity,inflorescence_display,solitary,"Flowers solitary in leaf axils at end of branches, bisexual, regular, 5-merous, large, showy, fragrant",Adansonia za (PROTA),https://plantuse.plantnet.org/en/Adansonia_za_(PROTA),"Ambrose-Oji, B. & Mughogho, N., 2007. Adansonia za Baill. [Internet] Record from PROTA4U. van der Vossen, H.A.M. & Mkamilo, G.S. (Editors). PROTA (Plant Resources of Tropical Africa / Ressources végétales de l’Afrique tropicale), Wageningen, Netherlands.",c48a37329578bbf62156d1fb18b87ea3607a5c417e7a280a8672f592efde2387,wild_or_species_level_monograph_not_cultivar_limited
92caa5a3ba2c0f3f71e7e0c4,Adenanthera mantaroa,Fabaceae,109360,198964,2015-09-16T21:04:22Z,flower_colour,flower_primary_color,yellow_orange,"*Flowers bisexual, regular, 5-merous, yellow",Adenanthera mantaroa (PROTA),https://plantuse.plantnet.org/en/Adenanthera_mantaroa_(PROTA),"Lemmens, R.H.M.J., 2006. Adenanthera mantaroaVilliers. In: Louppe, D., Oteng-Amoako, A.A. & Brink, M. (Editors). PROTA (Plant Resources of Tropical Africa / Ressources végétales de l’Afrique tropicale), Wageningen, Netherlands.",4c9e681f46a59e5c3a6793befc4674076068078d9ea6b7a3045d567ec89d72cf,wild_or_species_level_monograph_not_cultivar_limited
a93b89e15800195e6a565695,Adenia cissampeloides,Passifloraceae,109361,172213,2014-10-26T21:27:44Z,flower_colour,flower_primary_color,green_brown_inconspicuous,"Flowers unisexual, regular, 5-merous, pale greenish",Adenia cissampeloides (PROTA),https://plantuse.plantnet.org/en/Adenia_cissampeloides_(PROTA),"Grace, O.M. & Fowler, D., 2007. Adenia cissampeloides (Planch. ex Hook.) Harms. In: Schmelzer, G.H. & Gurib-Fakim, A. (Editors). PROTA (Plant Resources of Tropical Africa / Ressources végétales de l’Afrique tropicale), Wageningen, Netherlands.",4ca9bc4219f06155c3da92477a81a51322e29e8e2fce809c5284247989de335c,wild_or_species_level_monograph_not_cultivar_limited
04700abcbe7569539220889f,Adenia lobata,Passifloraceae,109365,172203,2014-10-26T21:09:51Z,flower_colour,flower_primary_color,yellow_orange,"Flowers unisexual, regular, 5-merous, yellowish",Adenia lobata (PROTA),https://plantuse.plantnet.org/en/Adenia_lobata_(PROTA),"Zimudzi, C., 2007. Adenia lobata (Jacq.) Engl. In: Schmelzer, G.H. & Gurib-Fakim, A. (Editors). PROTA (Plant Resources of Tropical Africa / Ressources végétales de l’Afrique tropicale), Wageningen, Netherlands.",1917ad23efef2fd18a2c8571f6abf81e4e8a108797745b6f64a68801f8f8f331,wild_or_species_level_monograph_not_cultivar_limited
