accepted_species,genus,family,n_islands,n_records
Avicennia schaueriana,Avicennia,Acanthaceae,18,118
Apocynum cannabinum,Apocynum,Apocynaceae,31,816
Bulbinella gibbsii,Bulbinella,Asphodelaceae,4,488
Arabidopsis lyrata,Arabidopsis,Brassicaceae,92,2566
Stenocereus heptagonus,Stenocereus,Cactaceae,9,254
Convolvulus cantabrica,Convolvulus,Convolvulaceae,34,729
Quercus rotundifolia,Quercus,Fagaceae,8,370
Rhytidophyllum auriculatum,Rhytidophyllum,Gesneriaceae,4,181
Serapias vomeracea,Serapias,Orchidaceae,50,1016
Thalictrum aquilegiifolium,Thalictrum,Ranunculaceae,51,1429
Crataegus laevigata,Crataegus,Rosaceae,122,36093
