accepted_species,genus,family,n_islands,n_records
Calanthe woodfordii,Calanthe,Orchidaceae,18,261
Cardiagyris scabra,Cardiagyris,Asteraceae,70,1922
Pyrostria bibracteata,Pyrostria,Rubiaceae,15,617
Canavalia lineata,Canavalia,Fabaceae,57,607
Puccinellia pumila,Puccinellia,Poaceae,85,322
Carex ericetorum,Carex,Cyperaceae,42,2789
Eugenia astringens,Eugenia,Myrtaceae,8,58
Croton scouleri,Croton,Euphorbiaceae,13,578
Poterium verrucosum,Poterium,Rosaceae,33,210
Petchia erythrocarpa,Petchia,Apocynaceae,8,1213
Clerodendrum longiflorum,Clerodendrum,Lamiaceae,22,74
Miconia baillonii,Miconia,Melastomataceae,4,18
Pterospermum acerifolium,Pterospermum,Malvaceae,12,61
Corema album,Corema,Ericaceae,7,491
Rhopaloblaste ledermanniana,Rhopaloblaste,Arecaceae,4,57
Staurogyne concinnula,Staurogyne,Acanthaceae,3,1013
Litsea baticulin,Litsea,Lauraceae,5,10
Pleiomeris canariensis,Pleiomeris,Primulaceae,4,173
Epithema tenerum,Epithema,Gesneriaceae,2,9
Antidesma celebicum,Antidesma,Phyllanthaceae,5,49
Scindapsus altissimus,Scindapsus,Araceae,4,19
Delphinium brachycentrum,Delphinium,Ranunculaceae,9,54
Polyalthia cinnamomea,Polyalthia,Annonaceae,3,17
Draba arctogena,Draba,Brassicaceae,13,157
Dictyoneura obtusa,Dictyoneura,Sapindaceae,4,130
Zanthoxylum insulare,Zanthoxylum,Rutaceae,3,18
Dianthus quadridentatus,Dianthus,Caryophyllaceae,15,41
Tordylium maximum,Tordylium,Apiaceae,10,141
Elatostema heterolobum,Elatostema,Urticaceae,4,6
Salix cinerea subsp. cinerea x myrsinifolia,Salix,Salicaceae,5,76
Peperomia abscondita,Peperomia,Piperaceae,3,9
Ficus schwarzii,Ficus,Moraceae,7,166
Plantago triandra,Plantago,Plantaginaceae,7,474
Heptapleurum subavene,Heptapleurum,Araliaceae,3,22
Nicotiana langsdorffii,Nicotiana,Solanaceae,6,35
Meistera gyrolophos,Meistera,Zingiberaceae,2,12
Dracaena floribunda,Dracaena,Asparagaceae,5,729
Madhuca coriacea,Madhuca,Sapotaceae,2,53
Begonia kalabenonensis,Begonia,Begoniaceae,1,13
Aphanisma blitoides,Aphanisma,Amaranthaceae,10,168
Erycibe coccinea,Erycibe,Convolvulaceae,5,99
Pandanus analamerensis,Pandanus,Pandanaceae,1,102
Cyanea hirtella,Cyanea,Campanulaceae,2,87
Quercus alnifolia,Quercus,Fagaceae,2,301
Persicaria trigonocarpa,Persicaria,Polygonaceae,6,67
Stackhousia muricata,Stackhousia,Celastraceae,2,15
Persoonia muelleri,Persoonia,Proteaceae,1,627
Buchnera hispida,Buchnera,Orobanchaceae,4,49
Gouania perrieri,Gouania,Rhamnaceae,2,33
Didymocheton samoensis,Didymocheton,Meliaceae,2,81
Echium famarae,Echium,Boraginaceae,3,68
Sloanea longisepala,Sloanea,Elaeocarpaceae,1,31
Jasminum bifarium,Jasminum,Oleaceae,2,3
Diospyros arenicola,Diospyros,Ebenaceae,1,251
Aeonium castello-paivae,Aeonium,Crassulaceae,2,158
Voyria truncata,Voyria,Gentianaceae,2,2
Cissus polita,Cissus,Vitaceae,2,48
Viola mirabilis x riviniana,Viola,Violaceae,3,16
Melanochyla densiflora,Melanochyla,Anacardiaceae,2,18
Dipterocarpus concavus,Dipterocarpus,Dipterocarpaceae,2,5
Knema mandaharan,Knema,Myristicaceae,1,46
Colea fusca,Colea,Bignoniaceae,1,134
Clivia cyrtanthiflora,Clivia,Amaryllidaceae,3,8
Zehneria boholensis,Zehneria,Cucurbitaceae,2,2
Epilobium macropus,Epilobium,Onagraceae,2,331
Sphedamnocarpus argyrophyllus,Sphedamnocarpus,Malpighiaceae,1,22
Trimezia longifolia,Trimezia,Iridaceae,3,7
Bakerella diplocrater,Bakerella,Loranthaceae,1,37
Daphnopsis philippiana,Daphnopsis,Thymelaeaceae,1,79
Disocactus ackermannii,Disocactus,Cactaceae,2,2
Garcinia assugu,Garcinia,Clusiaceae,1,23
Limonium ammochostianum,Limonium,Plumbaginaceae,1,15
Wittmackia portoricensis,Wittmackia,Bromeliaceae,1,50
Xanthophyllum schizocarpon,Xanthophyllum,Polygalaceae,1,18
Aloe silicicola,Aloe,Asphodelaceae,1,5
Lonicera hildebrandtiana,Lonicera,Caprifoliaceae,2,6
Commiphora coleopsis,Commiphora,Burseraceae,1,15
Pterophylla arguta,Pterophylla,Cunoniaceae,1,35
Impatiens platysepala,Impatiens,Balsaminaceae,1,3
Luzula ulophylla,Luzula,Juncaceae,2,84
Heuchera brizoides,Heuchera,Saxifragaceae,2,8
Aristolochia constricta,Aristolochia,Aristolochiaceae,1,8
Amischotolype lobata,Amischotolype,Commelinaceae,1,7
Verbascum vacillans,Verbascum,Scrophulariaceae,1,7
Hypericum limosum,Hypericum,Hypericaceae,1,5
Combretum comosum,Combretum,Combretaceae,1,3
Fumaria agragia,Fumaria,Papaveraceae,1,4
Saurauia wigmanii,Saurauia,Actinidiaceae,1,2
Geranium riversleaianum,Geranium,Geraniaceae,1,2
Ilex epiphytica,Ilex,Aquifoliaceae,1,2
Calophyllum hirasimum,Calophyllum,Calophyllaceae,1,2
Ternstroemia fragrans,Ternstroemia,Pentaphylacaceae,1,2
Abuta dwyeriana,Abuta,Menispermaceae,1,1
Dioscorea daunea,Dioscorea,Dioscoreaceae,1,1
Adenia pyromorpha,Adenia,Passifloraceae,1,1
Davilla elliptica,Davilla,Dilleniaceae,1,1
Geniostoma balansanum,Geniostoma,Loganiaceae,1,3
Lantana rugulosa,Lantana,Verbenaceae,1,1
Potamogeton grovesii,Potamogeton,Potamogetonaceae,1,2
Tulipa silvestris,Tulipa,Liliaceae,1,2
Paepalanthus myocephalon,Paepalanthus,Eriocaulaceae,1,1
Pittosporum xylocarpum,Pittosporum,Pittosporaceae,1,1
Tambourissa eugenioides,Tambourissa,Monimiaceae,1,1
Liparis caespitosa,Liparis,Orchidaceae,18,96
Senecio angulatus,Senecio,Asteraceae,70,1826
Palicourea crocea,Palicourea,Rubiaceae,15,387
Ononis viscosa,Ononis,Fabaceae,57,437
Bromus japonicus,Bromus,Poaceae,83,1325
Cyperus microiria,Cyperus,Cyperaceae,42,1821
Leptospermum juniperinum,Leptospermum,Myrtaceae,8,52
Ricinocarpos pinifolius,Ricinocarpos,Euphorbiaceae,13,564
Rubus fraxinifolius,Rubus,Rosaceae,31,984
Leptadenia madagascariensis,Leptadenia,Apocynaceae,8,450
Premna microphylla,Premna,Lamiaceae,21,1125
Dissochaeta pallida,Dissochaeta,Melastomataceae,4,17
Hibiscus bifurcatus,Hibiscus,Malvaceae,12,49
