accepted_species,genus,family,n_islands,n_records
Iris tectorum,Iris,Iridaceae,7,24
Roystonea borinquena,Roystonea,Arecaceae,7,537
Ipomoea pandurata,Ipomoea,Convolvulaceae,13,38
Sabatia angularis,Sabatia,Gentianaceae,4,8
Tilia americana,Tilia,Malvaceae,21,15559
Digitalis lutea,Digitalis,Plantaginaceae,17,540
Leucospermum cordifolium,Leucospermum,Proteaceae,3,3
Ceanothus americanus,Ceanothus,Rhamnaceae,5,16
Scrophularia oblongifolia,Scrophularia,Scrophulariaceae,2,133
Libertia peregrinans,Libertia,Iridaceae,6,197
