accepted_species,genus,family,n_islands,n_records
Barclaya rugosa,Barclaya,Nymphaeaceae,2,3
Tordylium apulum,Tordylium,Apiaceae,93,1370
Carduus crispus,Carduus,Asteraceae,285,64089
Pulmonaria officinalis,Pulmonaria,Boraginaceae,43,13127
Canarium luzonicum,Canarium,Burseraceae,7,88
Stenocereus thurberi,Stenocereus,Cactaceae,14,165
Campanula medium,Campanula,Campanulaceae,26,904
Hylotelephium spectabile,Hylotelephium,Crassulaceae,38,2848
Kalmia polifolia,Kalmia,Ericaceae,62,897
Melilotus indicus,Melilotus,Fabaceae,200,5208
Hypericum cistifolium,Hypericum,Hypericaceae,13,44
Salvia verbenaca,Salvia,Lamiaceae,112,10397
Tilia platyphyllos,Tilia,Malvaceae,72,14347
Rhexia mariana,Rhexia,Melastomataceae,13,39
Anemone coronaria,Anemone,Ranunculaceae,87,2072
Mitracarpus hirtus,Mitracarpus,Rubiaceae,67,377
Nymphaea capensis,Nymphaea,Nymphaeaceae,2,2
