accepted_species,genus,family,n_islands,n_records
Arisaema ringens,Arisaema,Araceae,53,2303
Asarum caudatum,Asarum,Aristolochiaceae,10,284
Thismia rodwayi,Thismia,Burmanniaceae,2,166
Codonopsis lanceolata,Codonopsis,Campanulaceae,41,1919
Commelina cyanea,Commelina,Commelinaceae,21,125
Arbutus unedo,Arbutus,Ericaceae,129,12522
Mimosa pudica,Mimosa,Fabaceae,273,11319
Dactylorhiza sambucina,Dactylorhiza,Orchidaceae,86,3569
Corydalis pumila,Corydalis,Papaveraceae,54,1905
Prunus avium,Prunus,Rosaceae,245,151350
Salix purpurea,Salix,Salicaceae,92,16443
Scrophularia umbrosa,Scrophularia,Scrophulariaceae,27,5324
Qualea multiflora,Qualea,Vochysiaceae,1,1
