accepted_species,genus,family,n_islands,n_records
Calopogon tuberosus,Calopogon,Orchidaceae,47,457
Emilia sonchifolia,Emilia,Asteraceae,201,2541
Mitchella repens,Mitchella,Rubiaceae,44,783
Lathyrus sylvestris,Lathyrus,Fabaceae,139,8299
Arundo donax,Arundo,Poaceae,237,7558
Carex subspathacea,Carex,Cyperaceae,155,1038
Syzygium nervosum,Syzygium,Myrtaceae,24,205
Croton flavens,Croton,Euphorbiaceae,45,1637
Cotoneaster horizontalis,Cotoneaster,Rosaceae,122,27178
Cynanchum wilfordii,Cynanchum,Apocynaceae,29,222
Salvia coccinea,Salvia,Lamiaceae,80,735
Miconia cinnamomifolia,Miconia,Melastomataceae,9,34
Abutilon viscosum,Abutilon,Malvaceae,41,355
Rhododendron aureum,Rhododendron,Ericaceae,31,574
Heterospathe elata,Heterospathe,Arecaceae,14,48
Asystasia australasica,Asystasia,Acanthaceae,16,36
Mespilodaphne foetens,Mespilodaphne,Lauraceae,10,869
Ardisia crispa,Ardisia,Primulaceae,19,652
Cyrtandra arborescens,Cyrtandra,Gesneriaceae,4,79
Phyllanthus myrtifolius,Phyllanthus,Phyllanthaceae,15,89
Xanthosoma robustum,Xanthosoma,Araceae,16,471
Helleborus foetidus,Helleborus,Ranunculaceae,45,14055
Orophea creaghii,Orophea,Annonaceae,7,104
Cardamine nymanii,Cardamine,Brassicaceae,92,1075
Acer rufinerve,Acer,Sapindaceae,17,3456
Melicope frutescens,Melicope,Rutaceae,15,129
Atocion armeria,Atocion,Caryophyllaceae,83,1514
Kreidion chinensis,Kreidion,Apiaceae,53,1022
Pilea depressa,Pilea,Urticaceae,13,43
Salix humilis,Salix,Salicaceae,26,232
Ficus sagittata,Ficus,Moraceae,26,251
Peperomia macrostachyos,Peperomia,Piperaceae,8,26
Veronica montana,Veronica,Plantaginaceae,48,100111
Hydrocotyle pterocarpa,Hydrocotyle,Araliaceae,10,294
Datura discolor,Datura,Solanaceae,27,125
Hornstedtia conica,Hornstedtia,Zingiberaceae,5,27
Muscari commutatum,Muscari,Asparagaceae,35,242
Madhuca longifolia,Madhuca,Sapotaceae,6,26
Begonia megacarpa,Begonia,Begoniaceae,3,7
Bassia scoparia,Bassia,Amaranthaceae,52,1135
Ipomoea lacunosa,Ipomoea,Convolvulaceae,31,500
Martellidendron hornei,Martellidendron,Pandanaceae,3,162
Lobelia urens,Lobelia,Campanulaceae,11,928
Quercus marilandica,Quercus,Fagaceae,7,181
Rumex dentatus,Rumex,Polygonaceae,32,299
Elaeodendron viburnifolium,Elaeodendron,Celastraceae,8,37
Persoonia cornifolia,Persoonia,Proteaceae,5,19
Euphrasia salisburgensis,Euphrasia,Orobanchaceae,28,845
Ventilago vitiensis,Ventilago,Rhamnaceae,8,26
Tetratheca labillardierei,Tetratheca,Elaeocarpaceae,3,963
Echium candicans,Echium,Boraginaceae,16,1907
Aglaia luzoniensis,Aglaia,Meliaceae,10,84
Olea capensis,Olea,Oleaceae,9,374
Diospyros macrocarpa,Diospyros,Ebenaceae,4,163
Orostachys malacophylla,Orostachys,Crassulaceae,16,65
Exacum tenue,Exacum,Gentianaceae,10,37
Spondias philippinensis,Spondias,Anacardiaceae,11,122
Cissus intermedia,Cissus,Vitaceae,9,32
Viola fennica,Viola,Violaceae,19,48
Dipterocarpus acutangulus,Dipterocarpus,Dipterocarpaceae,5,89
Tanaecium dichotomum,Tanaecium,Bignoniaceae,6,15
Myristica philippensis,Myristica,Myristicaceae,5,26
Allium carinatum,Allium,Amaryllidaceae,19,2085
Marah macrocarpa,Marah,Cucurbitaceae,8,408
Cottsia gracilis,Cottsia,Malpighiaceae,4,15
Oenothera fallax,Oenothera,Onagraceae,16,320
Iris hybrida,Iris,Iridaceae,18,87
Barathranthus axanthus,Barathranthus,Loranthaceae,4,57
Daphnopsis racemosa,Daphnopsis,Thymelaeaceae,5,8
Opuntia triacanthos,Opuntia,Cactaceae,9,22
Clusia clusioides,Clusia,Clusiaceae,3,175
Limonium tetragonium,Limonium,Plumbaginaceae,5,6
Werauhia sintenisii,Werauhia,Bromeliaceae,5,70
Polygala spathulata,Polygala,Polygalaceae,5,17
Xanthorrhoea macronema,Xanthorrhoea,Asphodelaceae,4,50
Canarium dichotomum,Canarium,Burseraceae,3,107
Weigela coraeensis,Weigela,Caprifoliaceae,15,558
Impatiens analavelensis,Impatiens,Balsaminaceae,1,22
Juncus anceps,Juncus,Juncaceae,28,3020
Hypericum hidcoteense,Hypericum,Hypericaceae,6,678
Aristolochia nardiana,Aristolochia,Aristolochiaceae,3,14
Spiraeanthemum reticulatum,Spiraeanthemum,Cunoniaceae,2,26
Saxifraga geum,Saxifraga,Saxifragaceae,14,30
Verbascum nigrum x thapsus,Verbascum,Scrophulariaceae,9,33
Callisia diuretica,Callisia,Commelinaceae,6,23
Terminalia fatraea,Terminalia,Combretaceae,4,274
Fumaria wirtgenii,Fumaria,Papaveraceae,15,1076
Saurauia trugul,Saurauia,Actinidiaceae,1,40
Pelargonium asperum,Pelargonium,Geraniaceae,9,55
Calophyllum bicolor,Calophyllum,Calophyllaceae,2,22
Ilex havilandii,Ilex,Aquifoliaceae,3,116
Ternstroemia palembangensis,Ternstroemia,Pentaphylacaceae,2,7
Hibbertia complanata,Hibbertia,Dilleniaceae,4,7
Haematocarpus subpeltatus,Haematocarpus,Menispermaceae,3,11
Passiflora colinvauxii,Passiflora,Passifloraceae,3,146
Dioscorea microflora,Dioscorea,Dioscoreaceae,3,4
Lantana sandersii,Lantana,Verbenaceae,5,21
Geniostoma pedunculatum,Geniostoma,Loganiaceae,2,249
Pittosporum argentifolium,Pittosporum,Pittosporaceae,3,28
Tricyrtis affinis,Tricyrtis,Liliaceae,6,1652
Paepalanthus minus,Paepalanthus,Eriocaulaceae,2,3
Hedycarya chrysophylla,Hedycarya,Monimiaceae,1,57
Ammannia patentinervis,Ammannia,Lythraceae,4,8
Viscum obovatum,Viscum,Viscaceae,2,17
Heliotropium formosanum,Heliotropium,Heliotropiaceae,3,16
Symplocos barringtoniifolia,Symplocos,Symplocaceae,2,4
Abronia gracilis,Abronia,Nyctaginaceae,3,6
Cordia crenata,Cordia,Cordiaceae,2,3
Capparis versicolor,Capparis,Capparaceae,2,40
Ctenanthe amabilis,Ctenanthe,Marantaceae,2,5
Nepenthes spectabilis,Nepenthes,Nepenthaceae,1,24
Goodenia forestii,Goodenia,Goodeniaceae,3,3
Potamogeton linguatus,Potamogeton,Potamogetonaceae,6,14
Parinari chocoensis,Parinari,Chrysobalanaceae,2,5
Utricularia amethystina,Utricularia,Lentibulariaceae,3,9
Smilax elongatoumbellata,Smilax,Smilacaceae,2,167
Oxalis californica,Oxalis,Oxalidaceae,2,35
Polyspora excelsa,Polyspora,Theaceae,2,2
Cistus chinamadensis,Cistus,Cistaceae,3,60
Berberis soulieana,Berberis,Berberidaceae,2,5
Liriodendropsis simplex,Liriodendropsis,Magnoliaceae,2,7
Alnus glutinosa x incana,Alnus,Betulaceae,6,12
Erythroxylum aerolatum,Erythroxylum,Erythroxylaceae,2,6
