accepted_species,genus,family,n_islands,n_records
Pseudorchis albida,Pseudorchis,Orchidaceae,83,4874
Hieracium umbellatum,Hieracium,Asteraceae,425,24331
Rubia peregrina,Rubia,Rubiaceae,105,18520
Medicago polymorpha,Medicago,Fabaceae,249,8366
Lolium pratense,Lolium,Poaceae,441,71323
Cyperus rotundus,Cyperus,Cyperaceae,284,5459
Calytrix exstipulata,Calytrix,Myrtaceae,43,249
Euphorbia hyssopifolia,Euphorbia,Euphorbiaceae,117,994
Alchemilla vulgaris,Alchemilla,Rosaceae,222,7956
Secamone elliptica,Secamone,Apocynaceae,62,371
Melissa officinalis,Melissa,Lamiaceae,175,21111
Melastoma cyanoides,Melastoma,Melastomataceae,14,116
Theobroma cacao,Theobroma,Malvaceae,112,1213
Monotropa uniflora,Monotropa,Ericaceae,119,5313
Corypha utan,Corypha,Arecaceae,30,145
Barleria repens,Barleria,Acanthaceae,40,883
Persea borbonia,Persea,Lauraceae,23,115
Samolus repens,Samolus,Primulaceae,67,2865
Drymonia serrulata,Drymonia,Gesneriaceae,7,35
Glochidion ramiflorum,Glochidion,Phyllanthaceae,41,179
Pinellia ternata,Pinellia,Araceae,50,1104
Coptis trifolia,Coptis,Ranunculaceae,126,2366
Anaxagorea luzonensis,Anaxagorea,Annonaceae,16,105
Armoracia rusticana,Armoracia,Brassicaceae,198,61407
Acer saccharinum,Acer,Sapindaceae,37,52349
Melicope latifolia,Melicope,Rutaceae,36,165
Silene gallica,Silene,Caryophyllaceae,239,14001
Smyrnium olusatrum,Smyrnium,Apiaceae,126,50833
Cecropia peltata,Cecropia,Urticaceae,39,393
Populus trichocarpa,Populus,Salicaceae,68,3832
Ficus hispida,Ficus,Moraceae,57,660
Piper arboreum,Piper,Piperaceae,21,253
Scoparia dulcis,Scoparia,Plantaginaceae,152,1862
Trachymene didiscoides,Trachymene,Araliaceae,28,94
Solanum capsicoides,Solanum,Solanaceae,80,1366
Alpinia japonica,Alpinia,Zingiberaceae,12,882
Muscari armeniacum,Muscari,Asparagaceae,83,18497
Palaquium obtusifolium,Palaquium,Sapotaceae,15,66
Begonia tenuifolia,Begonia,Begoniaceae,6,48
Chenopodium ficifolium,Chenopodium,Amaranthaceae,112,22614
Dichondra repens,Dichondra,Convolvulaceae,82,3018
Freycinetia microdonta,Freycinetia,Pandanaceae,7,31
Lobelia chinensis,Lobelia,Campanulaceae,33,1094
Lithocarpus edulis,Lithocarpus,Fagaceae,30,853
Rumex hydrolapathum,Rumex,Polygonaceae,112,37870
Stackhousia monogyna,Stackhousia,Celastraceae,20,1326
Macadamia ternifolia,Macadamia,Proteaceae,12,30
Rhinanthus groenlandicus,Rhinanthus,Orobanchaceae,74,858
Ziziphus oenopolia,Ziziphus,Rhamnaceae,21,100
Elaeocarpus miegei,Elaeocarpus,Elaeocarpaceae,8,129
Cerinthe major,Cerinthe,Boraginaceae,60,2312
Dysoxylum acutangulum,Dysoxylum,Meliaceae,22,185
