source_name,local_candidate_accepted_species,master_family,source_providers
Veronica canescens,Veronica canescens,Plantaginaceae,ferrer_2024
Veronica syriaca,Veronica syriaca,Plantaginaceae,ferrer_2024
Vicia anatolica,Vicia anatolica,Fabaceae,meyer_2026
Vicia angustifolia,Vicia angustifolia,Fabaceae,meyer_2026
Vicia assyriaca,Vicia assyriaca,Fabaceae,meyer_2026
Vicia ciliatula,Vicia ciliatula,Fabaceae,meyer_2026
Vicia dionysiensis,Vicia dionysiensis,Fabaceae,meyer_2026
Vicia eristalioides,Vicia eristalioides,Fabaceae,meyer_2026
Vicia galeata,Vicia galeata,Fabaceae,meyer_2026
Vicia hyaeniscyamus,Vicia hyaeniscyamus,Fabaceae,meyer_2026
Vicia kalakhensis,Vicia kalakhensis,Fabaceae,meyer_2026
Vicia michauxii,Vicia michauxii,Fabaceae,meyer_2026
Vicia montbretii,Vicia montbretii,Fabaceae,meyer_2026
Vicia noeana,Vicia noeana,Fabaceae,meyer_2026
Vicia qatmensis,Vicia qatmensis,Fabaceae,meyer_2026
Vicia sericocarpa,Vicia sericocarpa,Fabaceae,meyer_2026
Vicia tigridis,Vicia tigridis,Fabaceae,meyer_2026
Villarsia parnassifolia,Villarsia parnassifolia,Menyanthaceae,ferrer_2024
Viola caspia,Viola caspia,Violaceae,meyer_2026
Viola egglestonii,Viola egglestonii,Violaceae,meyer_2026
Vochysia guianensis,Vochysia guianensis,Vochysiaceae,meyer_2026
Vriesea bracteosa,Vriesea bracteosa,Bromeliaceae,razanajatovo_2016
Vriesea extensa,Vriesea extensa,Bromeliaceae,razanajatovo_2016
Vriesea hygrometrica,Vriesea hygrometrica,Bromeliaceae,razanajatovo_2016
Vriesea michaelii,Vriesea michaelii,Bromeliaceae,ferrer_2024|meyer_2026
Vriesea paraibica,Vriesea paraibica,Bromeliaceae,meyer_2026
Wachendorfia brachyandra,Wachendorfia brachyandra,Haemodoraceae,goodwillie_2005|meyer_2026
Wachendorfia parviflora,Wachendorfia parviflora,Haemodoraceae,goodwillie_2005
Wachendorfia thyrsiflora,Wachendorfia thyrsiflora,Commelinaceae,ferrer_2024
Wahlenbergia pusilla,Wahlenbergia pusilla,Campanulaceae,ferrer_2024
Walsura temrifolia,Walsura temrifolia,Meliaceae,razanajatovo_2016
Waltheria preslii,Waltheria preslii,Malvaceae,ferrer_2024
Walwhalleya proluta,Walwhalleya proluta,Poaceae,meyer_2026
Warmingia eugenii,Warmingia eugenii,Orchidaceae,meyer_2026
Weddellina squamulosa,Weddellina squamulosa,Commelinaceae,ferrer_2024
Witheringia macrantha,Witheringia macrantha,Solanaceae,ferrer_2024
Yucca brevifolia,Yucca brevifolia,Asparagaceae,meyer_2026
Zanthoxylum melanostictum,Zanthoxylum melanostictum,Rutaceae,ferrer_2024
Zapoteca alinae,Zapoteca alinae,Fabaceae,ferrer_2024
Zapoteca media,Zapoteca media,Fabaceae,ferrer_2024
Zeltnera gentryi,Zeltnera gentryi,Gentianaceae,ferrer_2024
Zeltnera setaceae,Zeltnera setaceae,Gentianaceae,ferrer_2024
Zenobia pulverulenta,Zenobia pulverulenta,Ericaceae,ferrer_2024
Zephyranthes drummondii,Zephyranthes drummondii,Amaryllidaceae,ferrer_2024
Zephyranthes texana,Zephyranthes texana,Amaryllidaceae,ferrer_2024
Ziziphus celata,Ziziphus celata,Rhamnaceae,razanajatovo_2016
Zornia brasiliensis,Zornia brasiliensis,Fabaceae,meyer_2026
Zornia cearensis,Zornia cearensis,Fabaceae,meyer_2026
Zornia echinocarpa,Zornia echinocarpa,Fabaceae,meyer_2026
Zornia orbiculata,Zornia orbiculata,Fabaceae,meyer_2026
Zornia pratensis,Zornia pratensis,Fabaceae,meyer_2026
Zornia trachycarpa,Zornia trachycarpa,Fabaceae,meyer_2026
Zuccagnia punctata,Zuccagnia punctata,Fabaceae,meyer_2026
Zygophyllum atriplicoides,Zygophyllum atriplicoides,Zygophyllaceae,meyer_2026
Zygostigma australe,Zygostigma australe,Gentianaceae,meyer_2026
