island_id,species,n_records,n_unique_gbif_ids,basis_of_record_set,review_status
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Abrus,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Abrus precatorius,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Adansonia digitata,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Adenia lobata,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Aerangis megaphylla,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Agelaea pentagyna,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Alternanthera littoralis,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Amaranthus dubius,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Ananas comosus,4,4,OCCURRENCE|PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Annona reticulata,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Antidesma vogelianum,17,17,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Arthropteris orientalis,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Artocarpus heterophyllus,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Asplenium africanum,3,3,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Asplenium annobonense,2,2,PRESERVED_SPECIMEN,unresolved_taxonomy
gshhg_2.3.7_h_abdf97ccd87beceb55f6,Asplenium nigritianum,1,1,PRESERVED_SPECIMEN,unresolved_taxonomy
