block_id,download_key,doi,n_block_member_islands,n_islands_available_for_assignment,archive_path,archive_sha256,archive_bytes,n_source_rows,n_valid_coordinate_rows,n_exact_island_rows_before_dedup,n_buffer_only_rows,n_rows_retained_after_global_dedup,collection_status,error
gbif_block_cell_w+150.0_s-30.0_003,0016721-260623161305970,10.15468/dl.bbsh8x,24,24,data/v2/staging/gbif/archives/0016721-260623161305970.zip,1294f2cc06493e48943c14f8726beaeefbc68be41711222dd8e9e3d72eb95f8a,95144,1350,1350,581,769,581,collected,
gbif_block_cell_w+150.0_s-60.0_001,0016080-260623161305970,10.15468/dl.xapt7g,44,44,data/v2/staging/gbif/archives/0016080-260623161305970.zip,1874184ad93f04ee18b559615b7305f6a6b0d5390b1e2dc89c823b6ca82f1127,400690867,3609814,3609814,3468150,141664,3468150,collected,
gbif_block_cell_w-030.0_s+00.0_001,0016302-260623161305970,10.15468/dl.9zyfm4,75,75,data/v2/staging/gbif/archives/0016302-260623161305970.zip,a89e3d51d29bd5e981e6c8eec4eefef1c25a8ce944ede8a81394f6c9d70ff0bf,44533788,366217,366217,342477,23740,342477,collected,
gbif_block_cell_w-030.0_s+30.0_001,0016725-260623161305970,10.15468/dl.cwvedm,118,118,data/v2/staging/gbif/archives/0016725-260623161305970.zip,5ffed17adf7b63dcf158c65938d26b248b37af6cf27f0b8a6c16165f761a3586,11360827752,86068010,86068010,82744533,3323477,82744533,collected,
gbif_block_cell_w-030.0_s+60.0_001,0016967-260623161305970,10.15468/dl.rw2m9a,125,125,data/v2/staging/gbif/archives/0016967-260623161305970.zip,3ee0d29f6a3557a7f87c3c5200a139acfa666114c082298c6b99325d7690bac4,53026873,575830,575830,524858,50972,524858,collected,
gbif_block_cell_w-030.0_s+60.0_002,0017205-260623161305970,10.15468/dl.5bm56f,5,5,data/v2/staging/gbif/archives/0017205-260623161305970.zip,996ee788b5702b259f93e1d93bbba0dd01bafa3882c1c0c8efbdb95bdd41cfc4,215799,3084,3084,1864,1220,1864,collected,
gbif_block_cell_w-030.0_s-30.0_001,0016968-260623161305970,10.15468/dl.x82hs6,3,3,data/v2/staging/gbif/archives/0016968-260623161305970.zip,f18f3dd95d9302aa5586f0c299714711f3cc21d856e289ecdac47a6e6a0c8408,344522,4221,4221,4177,44,4177,collected,
gbif_block_cell_w-030.0_s-60.0_001,0017206-260623161305970,10.15468/dl.h3s36h,11,11,data/v2/staging/gbif/archives/0017206-260623161305970.zip,df0a597f9ba88c687dc086ec64e1b2a6f03350adb574293a26ceb80b9bffea2a,264890,3752,3752,1742,2010,1742,collected,
gbif_block_cell_w-060.0_s+00.0_001,0017207-260623161305970,10.15468/dl.htg9j6,25,25,data/v2/staging/gbif/archives/0017207-260623161305970.zip,4bbafcae4cdcbb0e0dc19fdc6e2783c4f57f5a0f482db55a9741694be1a66a20,359123,4058,4058,3972,86,3972,collected,
gbif_block_cell_w-060.0_s+30.0_001,0017393-260623161305970,10.15468/dl.fnm9fa,125,125,data/v2/staging/gbif/archives/0017393-260623161305970.zip,ef4bad6f505f0f7c556e327c34ccff4ecd7bfc60953e337315ca6f227390eaec,21412151,200319,200319,178166,22153,178166,collected,
