accepted_species,genus,family,n_islands,n_records
"""Pentanema ensifolium × salicinum """,Pentanema,Asteraceae,2,215
Abacopteris afra,Abacopteris,Thelypteridaceae,1,8
Abacopteris aspera,Abacopteris,Thelypteridaceae,14,60
Abacopteris birii,Abacopteris,Thelypteridaceae,1,2
Abacopteris gymnopteridifrons,Abacopteris,Thelypteridaceae,3,80
Abacopteris nitida,Abacopteris,Thelypteridaceae,5,110
Abacopteris nudata,Abacopteris,Thelypteridaceae,1,1
Abacopteris peltochlamys,Abacopteris,Thelypteridaceae,3,8
Abacopteris repanda,Abacopteris,Thelypteridaceae,8,19
Abarema cochliacarpos,Abarema,Fabaceae,2,2
Abarema langsdorfii,Abarema,Fabaceae,1,1
Abarema maestrensis,Abarema,Fabaceae,1,1
Abatia parviflora,Abatia,Salicaceae,1,2
Abdra brachycarpa,Abdra,Brassicaceae,1,1
Abelia chinensis,Abelia,Caprifoliaceae,21,230
Abelia macrotera,Abelia,Caprifoliaceae,2,2
Abelia uniflora,Abelia,Caprifoliaceae,4,9
Abeliophyllum distichum,Abeliophyllum,Oleaceae,2,2
Abelmoschus angulosus,Abelmoschus,Malvaceae,2,18
Abelmoschus crinitus,Abelmoschus,Malvaceae,3,22
Abelmoschus esculentus,Abelmoschus,Malvaceae,86,414
Abelmoschus ficulneus,Abelmoschus,Malvaceae,4,29
Abelmoschus manihot,Abelmoschus,Malvaceae,59,237
Abelmoschus moschatus,Abelmoschus,Malvaceae,102,673
Abelmoschus sagittifolius,Abelmoschus,Malvaceae,21,116
Abies alba,Abies,Pinaceae,117,5302
Abies amabilis,Abies,Pinaceae,5,41
Abies balsamea,Abies,Pinaceae,77,3864
Abies borisii-regis,Abies,Pinaceae,3,6
Abies bracteata,Abies,Pinaceae,4,17
Abies cephalonica,Abies,Pinaceae,12,160
Abies chensiensis,Abies,Pinaceae,3,4
Abies cilicica,Abies,Pinaceae,5,12
Abies concolor,Abies,Pinaceae,20,179
Abies delavayi,Abies,Pinaceae,4,16
Abies durangensis,Abies,Pinaceae,1,1
Abies fabri,Abies,Pinaceae,2,3
Abies fargesii,Abies,Pinaceae,4,15
Abies firma,Abies,Pinaceae,14,2575
Abies forrestii,Abies,Pinaceae,5,6
Abies fraseri,Abies,Pinaceae,5,12
Abies grandis,Abies,Pinaceae,36,5496
Abies guatemalensis,Abies,Pinaceae,1,4
Abies holophylla,Abies,Pinaceae,11,48
Abies homolepis,Abies,Pinaceae,9,2654
Abies insignis,Abies,Pinaceae,3,11
Abies kawakamii,Abies,Pinaceae,5,768
Abies koreana,Abies,Pinaceae,15,184
Abies lasiocarpa,Abies,Pinaceae,7,23
Abies magnifica,Abies,Pinaceae,3,10
Abies mariesii,Abies,Pinaceae,4,6403
Abies nebrodensis,Abies,Pinaceae,3,46
Abies nephrolepis,Abies,Pinaceae,3,3
