accepted_species,genus,family,n_islands,n_records
Serapias cordigera,Serapias,Orchidaceae,33,3481
Justicia californica,Justicia,Acanthaceae,11,41
Seseli libanotis,Seseli,Apiaceae,36,2702
Bulbinella angustifolia,Bulbinella,Asphodelaceae,2,630
Terminalia prunioides,Terminalia,Combretaceae,3,3
Vaccinium praestans,Vaccinium,Ericaceae,20,308
Libertia ixioides,Libertia,Iridaceae,10,1380
Linum campanulatum,Linum,Linaceae,1,1
Malva verticillata,Malva,Malvaceae,30,287
Trillium recurvatum,Trillium,Melanthiaceae,1,1
Leptospermum lanigerum,Leptospermum,Myrtaceae,17,4342
Agalinis fasciculata,Agalinis,Orobanchaceae,19,97
Myrsine divaricata,Myrsine,Primulaceae,13,18268
Cenarrhenes nitida,Cenarrhenes,Proteaceae,3,2047
Salix richardsonii,Salix,Salicaceae,19,301
Iochroma arborescens,Iochroma,Solanaceae,18,150
Ophrys insectifera,Ophrys,Orchidaceae,32,8699
