source_name,source_family,source_provider_keys
Abies alba,,floraweb_biolflor
Abronia alpina,Nyctaginaceae,glopl_2025
Acacia tortilis,Fabaceae,glopl_2025
Acanthorrhinum rivas-martinezii,Plantaginaceae,glopl_2025
Achillea atrata,,floraweb_biolflor
Achillea clavenae,,floraweb_biolflor
Achillea crithmifolia,,floraweb_biolflor
Achillea pratensis,,floraweb_biolflor
Acinos alpinus,,floraweb_biolflor
Acinos arvensis,,floraweb_biolflor
Acourtia runcinata,Asteraceae,glopl_2025
Acroptilon repens,,floraweb_biolflor
Afrocalathea rhizantha,Marantaceae,glopl_2025
Agalinis acuta,Orobanchaceae,glopl_2025
Agave mckelveyana,Asparagaceae,glopl_2025
Agelanthus djurensis,Loranthaceae,glopl_2025
Agrostis alpina,,floraweb_biolflor
Agrostis schleicheri,,floraweb_biolflor
Agrostis schraderiana,,floraweb_biolflor
Allium suaveolens,,floraweb_biolflor
Aloe pluridens,Xanthorrhoeaceae,glopl_2025
Aloe pruinosa,Xanthorrhoeaceae,glopl_2025
Amelanchier spicata,,floraweb_biolflor
Ammodendron bifolium,Fabaceae,glopl_2025
Ammophila arenaria,,floraweb_biolflor
Anagallis arvensis,,floraweb_biolflor
Anagallis foemina,,floraweb_biolflor
Anagallis minima,,floraweb_biolflor
Anchusa arvensis,,floraweb_biolflor
Andropogon gerardii,Poaceae,glopl_2025
Androsace hausmannii,,floraweb_biolflor
Androsace helvetica,,floraweb_biolflor
Androsace lactea,,floraweb_biolflor
Anemone obtusiloba,Ranunculaceae,glopl_2025
Anemone rivularis,Ranunculaceae,glopl_2025
Anisodus carniolicoides,Solanaceae,glopl_2025
Anisodus luridus,Solanaceae,glopl_2025
Anisodus tanguticus,Solanaceae,glopl_2025
Anthriscus nitidus,,floraweb_biolflor
Aplectrum hyemale,Orchidaceae,glopl_2025
Apocynum venetum,Apocynaceae,glopl_2025
Aquilegia einseleana,,floraweb_biolflor
Arabis caerulea,,floraweb_biolflor
Arabis soyeri,,floraweb_biolflor
Arenaria biflora,,floraweb_biolflor
Aristea torulosa,Iridaceae,glopl_2025
Arnebia szechenyi,Boraginaceae,glopl_2025
Asimina obovata,Annonaceae,glopl_2025
Aspalathus uniflora,Convolvulaceae,glopl_2025
Asperula cynanchica,,floraweb_biolflor
Asplenium adiantum-nigrum,,floraweb_biolflor
Asplenium adulterinum,,floraweb_biolflor
Asplenium ruta-muraria,,floraweb_biolflor
Asplenium septentrionale,,floraweb_biolflor
Asplenium trichomanes,,floraweb_biolflor
Astragalus exscapus,Fabaceae,floraweb_biolflor|glopl_2025
Astrantia bavarica,,floraweb_biolflor
Athyrium filix-femina,,floraweb_biolflor
Atriplex acanthocarpa,Amaranthaceae,glopl_2025
Atriplex pedunculata,,floraweb_biolflor
Atriplex portulacoides,,floraweb_biolflor
Atropa bella-donna,,floraweb_biolflor
Audouinia capitata,Bruniaceae,glopl_2025
Babiana avicularis,Iridaceae,glopl_2025
Babiana hirsuta,Iridaceae,glopl_2025
